id,name,short_name,full_name,gender,name_code,national,type,color_primary,color_secondary,color_text,hash_image,country_id,country_name,country_hash_image,class_id,class_name,class_hash_image,tournament_id,tournament_name,primary_league_id,primary_league_name,primary_league_hash_image,team_player_info_id
2492,Wales,Wales,Wales,M,WAL,True,0,#ff0000,#00813c,#00813c,d50ab8ad24f79eb96c521051718647bb6b9eaf96c2dbd7ffc89ad6a6d00d6ea0,22.0,Wales,d8689b62711dced3f13e45048ffff01759c9f65cc55206b3e95c054826f7f596,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,1295.0,"World Cup of Darts 2022, Teams",,,,
318213,Last 32 P19,Last 32 P19,Last 32 P19,,LAS,False,1,#52b030,#52b030,#ffffff,9fab45875624d9e22908e2f923668db9fe4715910b21fad42dfdf3fa2754a42b,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
318214,Last 32 P20,Last 32 P20,Last 32 P20,,LAS,False,1,#52b030,#52b030,#ffffff,19b4b8695d3c15a6edfc119b1a60564cbda19d8e47d190c3f7ed05cc7733a1b0,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
318270,Last 16 P7,Last 16 P7,Last 16 P7,,LAS,False,1,#52b030,#52b030,#ffffff,e8f170afcececcac8998655701d3e13746e5d87cf7079e53680ff2bf03116396,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
318278,QF8,QF8,QF8,M,QF8,False,1,#52b030,#52b030,#ffffff,2649edd6e84401ad54f6122572f279441131a6c86e34f7ba245ad7093e81cfe2,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,11410.0,World Matchplay 2022,,,,
326127,Leeksma I.,Leeksma I.,Ivo Leeksma,,LIV,False,1,#52b030,#52b030,#ffffff,be750624f1be6635a74494f35997ee87452da4105c8b496f334515dbdc38b001,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
382609,Last 96 P14,Last 96 P14,Last 96 P14,,LAS,False,1,#374df5,#374df5,#ffffff,26f11e6fcd4e7853c49dad110b4bf9b29cae16f23232c773b7449137752a14fd,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
382623,Last 128 P41,Last 128 P41,Last 128 P41,,LAS,False,1,#374df5,#374df5,#ffffff,b29645ab9b99ec71a87adfbc635023afa39532b6a69afafd0be4c419c9fed7e3,,,,,,,,,,,,
382634,Last 128 P19,Last 128 P19,Last 128 P19,,LAS,False,1,#374df5,#374df5,#ffffff,c70ca870f19a8622c6a38144bd56a7031e313826249590c1a103ba61801c7800,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
382641,Last 128 P63,Last 128 P63,Last 128 P63,,LAS,False,1,#374df5,#374df5,#ffffff,b7d4fa90eca92eef225ead1ccacaff1664cbaa7850f1fdeef1d3213f50ace2f9,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
258713,Inoue S.,Inoue S.,Shintaro Inoue,,INO,False,1,#52b030,#52b030,#ffffff,85b2ba25c4ede2a09ba86e96c87b8df33b5eaaa2418016bdcc0f17d8db8db986,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,64356.0,Tokyo Darts Masters 2016,,,,
382678,Last 64 P29,Last 64 P29,Last 64 P29,X,LAS,False,1,#374df5,#374df5,#ffffff,867e758906b68b4a8c33778e0b09e0abd9a93b82144f3919c433c4d6483872e4,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
382682,Last 64 P37,Last 64 P37,Last 64 P37,X,LAS,False,1,#374df5,#374df5,#ffffff,1c3549d4d4413f08a4f952cde9c728dab936ec01caf6e94a0a859d7dc7bcaa7e,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
382697,Last 64 P36,Last 64 P36,Last 64 P36,X,LAS,False,1,#374df5,#374df5,#ffffff,67259277ef8c5e53c1abcdfe80e3e780c32303027a4ca6e1be6aad36cce44778,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
382699,Last 64 P30,Last 64 P30,Last 64 P30,X,LAS,False,1,#374df5,#374df5,#ffffff,b84f82898b7142038fbcf18ffa88fd3834065cf338fd2b72e14d3814b8faf21a,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
382717,Last 64 P64,Last 64 P64,Last 64 P64,X,LAS,False,1,#374df5,#374df5,#ffffff,eb954eeb60b2d69f7ef6542766ec80b5ee81b74a379bbd7f51e5cdb2d110c07e,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
382719,Last 64 P59,Last 64 P59,Last 64 P59,X,LAS,False,1,#374df5,#374df5,#ffffff,190fbabdd92497d1a4ada17a99ad673f5f162816e62ca093ac35e3943bfa3a6a,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,,,,
47494,Bunting S.,Bunting S.,Stephen Bunting,M,BUN,False,1,#52b030,#52b030,#ffffff,331288b28d34ca1c774e8fabab6139107f72ce84bc0719e2878720982eaf86e3,4.0,England,69374b09b1681162ba2d6bba92d6a167ea5ca5921eb172eb173e999e3be5d8ba,108.0,England,4771f9c89bf8072f0a3947f7abca6d49af4fc8e1929d040bd3b84c96640fb064,945.0,European Tour 10 - Hungarian Darts Trophy 2022,2875.0,Premier League Darts,96cd11affc7dda52b6348b0d54d158a67cee178c7fae03e76b935147f33217c5,
47482,Clemens G.,Clemens G.,Gabriel Clemens,M,CLE,False,1,#52b030,#52b030,#ffffff,3c8884a4ffa09979eb6c4ea8144dad7be6266b2e226f1ccb10ed297879fdd3c1,3.0,Germany,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,945.0,European Tour 10 - Hungarian Darts Trophy 2022,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641,
264315,Wedemeier C.,Wedemeier C.,Chris Wedemeier,,WCH,False,1,#52b030,#52b030,#ffffff,d96907e9600c280ce7e92ab02bc391021f3c4d6dfb2163cd9226f82274ac2008,,,,109.0,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,64826.0,Sportradar Finals 2019,,,,
