Rank,Player,Country,Stat,Stat Category,Year
1,Phil Taylor,ENG,63.79%,Pcnt Legs Won,2012
2,Michael van Gerwen,NED,57.14%,Pcnt Legs Won,2012
3,Brendan Dolan,NIR,54.41%,Pcnt Legs Won,2012
4,Wes Newton,ENG,53.27%,Pcnt Legs Won,2012
5,Raymond van Barneveld,NED,52.55%,Pcnt Legs Won,2012
6,Simon Whitlock,AUS,52.48%,Pcnt Legs Won,2012
7,Adrian Lewis,ENG,51.68%,Pcnt Legs Won,2012
8,Justin Pipe,ENG,51.61%,Pcnt Legs Won,2012
9,Andy Hamilton,ENG,51.14%,Pcnt Legs Won,2012
10,Terry Jenkins,ENG,50.99%,Pcnt Legs Won,2012
11,Mervyn King,ENG,50.94%,Pcnt Legs Won,2012
12,James Wade,ENG,50.88%,Pcnt Legs Won,2012
13,Gary Anderson,SCO,47.66%,Pcnt Legs Won,2012
14,Kevin Painter,ENG,47.35%,Pcnt Legs Won,2012
1,Phil Taylor,ENG,62.77%,Pcnt Legs Won,2013
2,Michael van Gerwen,NED,58.73%,Pcnt Legs Won,2013
3,Raymond van Barneveld,NED,54.16%,Pcnt Legs Won,2013
4,Simon Whitlock,AUS,51.9%,Pcnt Legs Won,2013
5,Adrian Lewis,ENG,51.71%,Pcnt Legs Won,2013
6,Peter Wright,SCO,51.68%,Pcnt Legs Won,2013
7,Gary Anderson,SCO,51.37%,Pcnt Legs Won,2013
8,Justin Pipe,ENG,50.79%,Pcnt Legs Won,2013
9,Robert Thornton,SCO,50.45%,Pcnt Legs Won,2013
10,Wes Newton,ENG,49.85%,Pcnt Legs Won,2013
11,James Wade,ENG,49.74%,Pcnt Legs Won,2013
12,Andy Hamilton,ENG,49.6%,Pcnt Legs Won,2013
13,Dave Chisnall,ENG,44.95%,Pcnt Legs Won,2013
1,Phil Taylor,ENG,59.01%,Pcnt Legs Won,2014
2,Michael van Gerwen,NED,57.04%,Pcnt Legs Won,2014
3,Gary Anderson,SCO,55.99%,Pcnt Legs Won,2014
4,Stephen Bunting,ENG,53.61%,Pcnt Legs Won,2014
5,Adrian Lewis,ENG,53.31%,Pcnt Legs Won,2014
6,James Wade,ENG,52.98%,Pcnt Legs Won,2014
7,Mervyn King,ENG,52.54%,Pcnt Legs Won,2014
8,Peter Wright,SCO,52.41%,Pcnt Legs Won,2014
9,Raymond van Barneveld,NED,52.36%,Pcnt Legs Won,2014
10,Terry Jenkins,ENG,52.21%,Pcnt Legs Won,2014
11,Kim Huybrechts,BEL,50%,Pcnt Legs Won,2014
12,Robert Thornton,SCO,49.42%,Pcnt Legs Won,2014
13,Dave Chisnall,ENG,49.33%,Pcnt Legs Won,2014
14,Michael Smith,ENG,47%,Pcnt Legs Won,2014
15,Wes Newton,ENG,46.97%,Pcnt Legs Won,2014
16,Simon Whitlock,AUS,44.93%,Pcnt Legs Won,2014
1,Michael van Gerwen,NED,61.06%,Pcnt Legs Won,2015
2,Phil Taylor,ENG,56.76%,Pcnt Legs Won,2015
3,Mensur Suljović,AUT,53.81%,Pcnt Legs Won,2015
4,Gary Anderson,SCO,53.77%,Pcnt Legs Won,2015
5,Dave Chisnall,ENG,52.81%,Pcnt Legs Won,2015
6,Raymond van Barneveld,NED,52.4%,Pcnt Legs Won,2015
7,Peter Wright,SCO,52.33%,Pcnt Legs Won,2015
8,Adrian Lewis,ENG,50.8%,Pcnt Legs Won,2015
9,James Wade,ENG,49.9%,Pcnt Legs Won,2015
10,Ian White,ENG,49.29%,Pcnt Legs Won,2015
11,Robert Thornton,SCO,48.35%,Pcnt Legs Won,2015
12,Kim Huybrechts,BEL,43.37%,Pcnt Legs Won,2015
13,Stephen Bunting,ENG,43.02%,Pcnt Legs Won,2015
1,Michael van Gerwen,NED,64.72%,Pcnt Legs Won,2016
2,Phil Taylor,ENG,59.22%,Pcnt Legs Won,2016
3,Gary Anderson,SCO,57.02%,Pcnt Legs Won,2016
4,Mensur Suljović,AUT,54.88%,Pcnt Legs Won,2016
5,Peter Wright,SCO,54.85%,Pcnt Legs Won,2016
6,Kim Huybrechts,BEL,53.58%,Pcnt Legs Won,2016
7,Benito van de Pas,NED,52.93%,Pcnt Legs Won,2016
8,Jelle Klaasen,NED,52.76%,Pcnt Legs Won,2016
9,James Wade,ENG,52.15%,Pcnt Legs Won,2016
10,Dave Chisnall,ENG,52.14%,Pcnt Legs Won,2016
11,Raymond van Barneveld,NED,51.58%,Pcnt Legs Won,2016
12,Adrian Lewis,ENG,51.51%,Pcnt Legs Won,2016
13,James Wilson,ENG,50.91%,Pcnt Legs Won,2016
14,Daryl Gurney,NIR,50.63%,Pcnt Legs Won,2016
15,Gerwyn Price,WAL,50%,Pcnt Legs Won,2016
16,Joe Cullen,ENG,49.84%,Pcnt Legs Won,2016
17,Alan Norris,ENG,49.57%,Pcnt Legs Won,2016
18,Mervyn King,ENG,49.41%,Pcnt Legs Won,2016
19,Chris Dobey,ENG,48.8%,Pcnt Legs Won,2016
20,Stephen Bunting,ENG,48.53%,Pcnt Legs Won,2016
