Rank,Player,Country,Hit,Single,Outside,Other,Pcnt,Double,Year
1,Rob Cross,ENG,12,6,6,0,50%,1,2017
2,Darren Webster,ENG,12,3,9,0,50%,1,2017
3,Michael van Gerwen,NED,15,6,12,0,45.45%,1,2017
4,Jelle Klaasen,NED,9,3,9,0,42.86%,1,2017
5,Peter Wright,SCO,18,3,21,0,42.86%,1,2017
6,Michael Smith,ENG,12,3,18,3,33.33%,1,2017
7,Dave Chisnall,ENG,9,9,9,0,33.33%,1,2017
8,Daryl Gurney,NIR,9,9,12,0,30%,1,2017
9,Martin Schindler,GER,6,9,6,0,28.57%,1,2017
10,Jonny Clayton,WAL,6,3,9,3,28.57%,1,2017
11,Simon Whitlock,AUS,15,12,39,0,22.73%,1,2017
12,Mensur Suljović,AUT,3,0,18,0,14.29%,1,2017
1,Joe Cullen,ENG,18,6,0,0,75%,2,2017
2,Justin Pipe,ENG,15,6,3,0,62.5%,2,2017
3,Kyle Anderson,AUS,12,6,6,0,50%,2,2017
4,Phil Taylor,ENG,15,3,12,0,50%,2,2017
5,Michael Smith,ENG,27,18,9,3,47.37%,2,2017
6,Dave Chisnall,ENG,27,18,12,0,47.37%,2,2017
7,Daryl Gurney,NIR,27,18,15,0,45%,2,2017
8,Gerwyn Price,WAL,9,3,9,0,42.86%,2,2017
9,Toni Alcinas,ESP,9,6,6,0,42.86%,2,2017
10,Michael van Gerwen,NED,27,18,21,0,40.91%,2,2017
11,Kim Huybrechts,BEL,9,9,6,0,37.5%,2,2017
12,Peter Wright,SCO,24,24,21,0,34.78%,2,2017
13,Mervyn King,ENG,15,6,24,0,33.33%,2,2017
14,Rob Cross,ENG,9,9,9,3,30%,2,2017
15,Martin Schindler,GER,9,9,12,0,30%,2,2017
16,Gary Anderson,SCO,21,27,21,3,29.17%,2,2017
17,Alan Norris,ENG,6,9,3,3,28.57%,2,2017
18,Mensur Suljović,AUT,6,6,9,0,28.57%,2,2017
19,James Wade,ENG,9,6,21,0,25%,2,2017
20,Darren Webster,ENG,6,15,6,0,22.22%,2,2017
21,Nathan Aspinall,ENG,6,9,12,0,22.22%,2,2017
22,Jonny Clayton,WAL,6,6,15,0,22.22%,2,2017
23,Simon Whitlock,AUS,12,24,21,0,21.05%,2,2017
24,Jelle Klaasen,NED,6,15,18,0,15.38%,2,2017
1,Justin Pipe,ENG,12,0,9,0,57.14%,3,2017
2,Michael van Gerwen,NED,12,9,15,0,33.33%,3,2017
3,Robert Thornton,SCO,6,3,12,0,28.57%,3,2017
4,Gary Anderson,SCO,6,0,18,0,25%,3,2017
5,Mensur Suljović,AUT,6,9,12,0,22.22%,3,2017
6,Simon Whitlock,AUS,6,6,15,0,22.22%,3,2017
7,Glen Durrant,ENG,0,3,18,0,0%,3,2017
1,Jan Dekker,NED,18,9,0,0,66.67%,4,2017
2,Chris Dobey,ENG,27,0,15,0,64.29%,4,2017
3,Robert Thornton,SCO,21,9,3,0,63.64%,4,2017
4,Jamie Lewis,WAL,12,3,6,0,57.14%,4,2017
5,Joe Cullen,ENG,27,18,3,0,56.25%,4,2017
6,Keegan Brown,ENG,15,3,9,0,55.56%,4,2017
7,Robbie Green,ENG,18,0,15,0,54.55%,4,2017
8,Cristo Reyes,ESP,21,6,12,0,53.85%,4,2017
9,Michael van Gerwen,NED,90,33,45,0,53.57%,4,2017
10,Gary Anderson,SCO,45,30,12,0,51.72%,4,2017
11,Rob Cross,ENG,87,33,54,0,50%,4,2017
12,Jonny Clayton,WAL,21,12,9,0,50%,4,2017
13,Raymond van Barneveld,NED,27,12,18,0,47.37%,4,2017
14,Peter Wright,SCO,72,36,45,0,47.06%,4,2017
15,Benito van de Pas,NED,21,6,15,3,46.67%,4,2017
16,Ian White,ENG,21,12,9,3,46.67%,4,2017
17,James Wade,ENG,15,6,12,0,45.45%,4,2017
18,Jermaine Wattimena,NED,12,6,9,0,44.44%,4,2017
19,Michael Smith,ENG,21,21,6,0,43.75%,4,2017
20,Kyle Anderson,AUS,21,12,15,0,43.75%,4,2017
21,Christian Kist,NED,18,0,24,0,42.86%,4,2017
22,Mensur Suljović,AUT,18,15,9,0,42.86%,4,2017
23,Dimitri Van den Bergh,BEL,9,6,6,0,42.86%,4,2017
24,Mervyn King,ENG,27,30,6,0,42.86%,4,2017
25,Darren Webster,ENG,24,21,12,0,42.11%,4,2017
26,Daryl Gurney,NIR,36,21,30,0,41.38%,4,2017
27,Peter Jacques,ENG,12,6,12,0,40%,4,2017
28,Gerwyn Price,WAL,9,0,15,0,37.5%,4,2017
29,Justin Pipe,ENG,15,18,9,0,35.71%,4,2017
30,Stephen Bunting,ENG,18,6,24,3,35.29%,4,2017
31,Steve Beaton,ENG,21,15,24,0,35%,4,2017
32,Adrian Lewis,ENG,9,15,3,0,33.33%,4,2017
33,John Henderson,SCO,9,0,18,0,33.33%,4,2017
34,Jelle Klaasen,NED,21,18,24,0,33.33%,4,2017
35,Dave Chisnall,ENG,27,39,15,0,33.33%,4,2017
36,Phil Taylor,ENG,18,24,12,0,33.33%,4,2017
37,Alan Norris,ENG,9,6,12,0,33.33%,4,2017
38,James Wilson,ENG,9,6,12,0,33.33%,4,2017
39,Simon Whitlock,AUS,39,36,45,0,32.5%,4,2017
40,Kim Huybrechts,BEL,21,21,27,0,30.43%,4,2017
41,Toni Alcinas,ESP,9,9,12,0,30%,4,2017
42,Nathan Aspinall,ENG,12,15,18,6,23.53%,4,2017
43,Richard North,ENG,12,9,30,0,23.53%,4,2017
44,Vincent van der Voort,NED,21,36,36,0,22.58%,4,2017
45,Krzysztof Ratajski,POL,6,9,15,0,20%,4,2017
46,Kevin Painter,ENG,3,6,15,0,12.5%,4,2017
47,James Richardson,ENG,6,9,42,0,10.53%,4,2017
1,Mervyn King,ENG,18,3,0,0,85.71%,5,2017
2,Vincent van der Voort,NED,15,3,3,0,71.43%,5,2017
3,Cristo Reyes,ESP,18,3,6,0,66.67%,5,2017
4,Mensur Suljović,AUT,42,0,30,0,58.33%,5,2017
5,Steve West,ENG,12,3,3,3,57.14%,5,2017
6,Nathan Aspinall,ENG,12,3,6,0,57.14%,5,2017
7,Darren Webster,ENG,39,9,21,0,56.52%,5,2017
