Rank,Player,Country,Stat,Stat Category,Year
1,Sweden,,46.15%,Checkout Pcnt,2013
2,Ireland,,42.86%,Checkout Pcnt,2013
3,Canada,,41.67%,Checkout Pcnt,2013
4,Australia,,39.29%,Checkout Pcnt,2013
5,Austria,,37.5%,Checkout Pcnt,2013
6,England,,36.59%,Checkout Pcnt,2013
7,Belgium,,36.36%,Checkout Pcnt,2013
8,Scotland,,35.9%,Checkout Pcnt,2013
9,Spain,,34.29%,Checkout Pcnt,2013
10,Wales,,32.61%,Checkout Pcnt,2013
11,Netherlands,,31.71%,Checkout Pcnt,2013
12,Germany,,31.25%,Checkout Pcnt,2013
13,Finland,,30.23%,Checkout Pcnt,2013
14,Croatia,,28.21%,Checkout Pcnt,2013
15,South Africa,,27.66%,Checkout Pcnt,2013
16,United States,,26.92%,Checkout Pcnt,2013
17,Northern Ireland,,26.42%,Checkout Pcnt,2013
18,New Zealand,,26.32%,Checkout Pcnt,2013
19,Poland,,25%,Checkout Pcnt,2013
20,Japan,,23.81%,Checkout Pcnt,2013
21,Italy,,23.08%,Checkout Pcnt,2013
22,Denmark,,17.24%,Checkout Pcnt,2013
23,Hungary,,14.29%,Checkout Pcnt,2013
24,Gibraltar,,9.09%,Checkout Pcnt,2013
1,William O'Connor,IRL,66.67%,Checkout Pcnt,2016
2,Cody Harris,NZL,66.67%,Checkout Pcnt,2016
3,Denmark,,62.5%,Checkout Pcnt,2016
4,Kim Huybrechts,BEL,58.33%,Checkout Pcnt,2016
5,Robert Thornton,SCO,50%,Checkout Pcnt,2016
6,Gerwyn Price,WAL,50%,Checkout Pcnt,2016
7,Haruki Muramatsu,JPN,50%,Checkout Pcnt,2016
8,John Michael,GRE,50%,Checkout Pcnt,2016
9,Ioannis Selachoglou,,50%,Checkout Pcnt,2016
10,Phil Taylor,ENG,50%,Checkout Pcnt,2016
11,Kim Viljanen,FIN,50%,Checkout Pcnt,2016
12,Paul Lim,SNG,50%,Checkout Pcnt,2016
13,Pavel Drtil,CZE,50%,Checkout Pcnt,2016
14,Scott MacKenzie,,50%,Checkout Pcnt,2016
15,Michal Kocik,,50%,Checkout Pcnt,2016
16,Czechia,,50%,Checkout Pcnt,2016
17,Greece,,50%,Checkout Pcnt,2016
18,Harith Lim,SNG,50%,Checkout Pcnt,2016
19,England,,50%,Checkout Pcnt,2016
20,Mariusz Paul,,50%,Checkout Pcnt,2016
21,Gilbert Ulang,,50%,Checkout Pcnt,2016
22,Singapore,,45.45%,Checkout Pcnt,2016
23,Netherlands,,44.83%,Checkout Pcnt,2016
24,Hong Kong,,44.44%,Checkout Pcnt,2016
25,Raymond van Barneveld,NED,44.44%,Checkout Pcnt,2016
26,John Part,CAN,43.48%,Checkout Pcnt,2016
27,Ireland,,41.67%,Checkout Pcnt,2016
28,Simon Whitlock,AUS,41.18%,Checkout Pcnt,2016
29,Wales,,41.18%,Checkout Pcnt,2016
30,Canada,,40.91%,Checkout Pcnt,2016
31,Daniel Jensen,DEN,40%,Checkout Pcnt,2016
32,Mensur Suljović,AUT,40%,Checkout Pcnt,2016
33,Max Hopp,GER,40%,Checkout Pcnt,2016
34,Cristo Reyes,ESP,40%,Checkout Pcnt,2016
35,Toni Alcinas,ESP,40%,Checkout Pcnt,2016
36,Per Laursen,DEN,40%,Checkout Pcnt,2016
37,Spain,,40%,Checkout Pcnt,2016
38,Adrian Lewis,ENG,39.13%,Checkout Pcnt,2016
39,Australia,,38.71%,Checkout Pcnt,2016
40,New Zealand,,37.5%,Checkout Pcnt,2016
41,Nándor Bezzeg,HUN,36.36%,Checkout Pcnt,2016
42,Belgium,,35.71%,Checkout Pcnt,2016
43,Cor Dekker,NOR,34.78%,Checkout Pcnt,2016
44,Daryl Gurney,NIR,33.33%,Checkout Pcnt,2016
45,Boris Koltsov,RUS,33.33%,Checkout Pcnt,2016
46,Austria,,33.33%,Checkout Pcnt,2016
47,Russia,,33.33%,Checkout Pcnt,2016
48,Mick McGowan,,33.33%,Checkout Pcnt,2016
49,Scotland,,33.33%,Checkout Pcnt,2016
50,Michael van Gerwen,NED,31.34%,Checkout Pcnt,2016
1,William O'Connor,IRL,66.67%,Checkout Pcnt,2016
2,Cody Harris,NZL,66.67%,Checkout Pcnt,2016
3,Denmark,,62.5%,Checkout Pcnt,2016
4,Kim Huybrechts,BEL,58.33%,Checkout Pcnt,2016
5,Robert Thornton,SCO,50%,Checkout Pcnt,2016
6,Gerwyn Price,WAL,50%,Checkout Pcnt,2016
7,Haruki Muramatsu,JPN,50%,Checkout Pcnt,2016
8,John Michael,GRE,50%,Checkout Pcnt,2016
9,Ioannis Selachoglou,,50%,Checkout Pcnt,2016
10,Phil Taylor,ENG,50%,Checkout Pcnt,2016
11,Kim Viljanen,FIN,50%,Checkout Pcnt,2016
12,Paul Lim,SNG,50%,Checkout Pcnt,2016
13,Pavel Drtil,CZE,50%,Checkout Pcnt,2016
14,Scott MacKenzie,,50%,Checkout Pcnt,2016
15,Michal Kocik,,50%,Checkout Pcnt,2016
16,Czechia,,50%,Checkout Pcnt,2016
17,Greece,,50%,Checkout Pcnt,2016
18,Harith Lim,SNG,50%,Checkout Pcnt,2016
19,England,,50%,Checkout Pcnt,2016
20,Mariusz Paul,,50%,Checkout Pcnt,2016
21,Gilbert Ulang,,50%,Checkout Pcnt,2016
22,Singapore,,45.45%,Checkout Pcnt,2016
23,Netherlands,,44.83%,Checkout Pcnt,2016
24,Hong Kong,,44.44%,Checkout Pcnt,2016
25,Raymond van Barneveld,NED,44.44%,Checkout Pcnt,2016
26,John Part,CAN,43.48%,Checkout Pcnt,2016
27,Ireland,,41.67%,Checkout Pcnt,2016
28,Simon Whitlock,AUS,41.18%,Checkout Pcnt,2016
29,Wales,,41.18%,Checkout Pcnt,2016
30,Canada,,40.91%,Checkout Pcnt,2016
31,Daniel Jensen,DEN,40%,Checkout Pcnt,2016
32,Mensur Suljović,AUT,40%,Checkout Pcnt,2016
33,Max Hopp,GER,40%,Checkout Pcnt,2016
34,Cristo Reyes,ESP,40%,Checkout Pcnt,2016
35,Toni Alcinas,ESP,40%,Checkout Pcnt,2016
36,Per Laursen,DEN,40%,Checkout Pcnt,2016
37,Spain,,40%,Checkout Pcnt,2016
38,Adrian Lewis,ENG,39.13%,Checkout Pcnt,2016
39,Australia,,38.71%,Checkout Pcnt,2016
40,New Zealand,,37.5%,Checkout Pcnt,2016
41,Nándor Bezzeg,HUN,36.36%,Checkout Pcnt,2016
42,Belgium,,35.71%,Checkout Pcnt,2016
43,Cor Dekker,NOR,34.78%,Checkout Pcnt,2016
44,Daryl Gurney,NIR,33.33%,Checkout Pcnt,2016
45,Boris Koltsov,RUS,33.33%,Checkout Pcnt,2016
46,Austria,,33.33%,Checkout Pcnt,2016
47,Russia,,33.33%,Checkout Pcnt,2016
48,Mick McGowan,,33.33%,Checkout Pcnt,2016
49,Scotland,,33.33%,Checkout Pcnt,2016
50,Michael van Gerwen,NED,31.34%,Checkout Pcnt,2016
1,František Humpula,,100%,Checkout Pcnt,2017
2,Tytus Kanik,POL,100%,Checkout Pcnt,2017
3,Czechia,,100%,Checkout Pcnt,2017
4,Marko Kantele,FIN,66.67%,Checkout Pcnt,2017
5,Wales,,66.67%,Checkout Pcnt,2017
6,Poland,,60%,Checkout Pcnt,2017
7,Larry Butler,USA,60%,Checkout Pcnt,2017
8,Finland,,57.14%,Checkout Pcnt,2017
9,Daryl Gurney,NIR,57.14%,Checkout Pcnt,2017
10,Patrick Rey,SUI,57.14%,Checkout Pcnt,2017
11,Australia,,55.56%,Checkout Pcnt,2017
12,Mark Webster,WAL,52.78%,Checkout Pcnt,2017
13,Netherlands,,51.52%,Checkout Pcnt,2017
14,Kim Viljanen,FIN,50%,Checkout Pcnt,2017
15,Adrian Lewis,ENG,50%,Checkout Pcnt,2017
16,Krzysztof Ratajski,POL,50%,Checkout Pcnt,2017
17,Per Laursen,DEN,50%,Checkout Pcnt,2017
18,Kyle Anderson,AUS,46.15%,Checkout Pcnt,2017
19,John Michael,GRE,45.45%,Checkout Pcnt,2017
20,Boris Koltsov,RUS,45.45%,Checkout Pcnt,2017
21,Northern Ireland,,44.44%,Checkout Pcnt,2017
22,Dave Chisnall,ENG,43.24%,Checkout Pcnt,2017
23,Rowby-John Rodriguez,AUT,42.86%,Checkout Pcnt,2017
24,Russia,,42.86%,Checkout Pcnt,2017
25,Raymond van Barneveld,NED,42.11%,Checkout Pcnt,2017
26,Mensur Suljović,AUT,41.94%,Checkout Pcnt,2017
27,United States,,41.67%,Checkout Pcnt,2017
28,Michael van Gerwen,NED,41.18%,Checkout Pcnt,2017
29,England,,40.91%,Checkout Pcnt,2017
30,Leung Kai Fan,HKG,40%,Checkout Pcnt,2017
31,Ronny Huybrechts,BEL,40%,Checkout Pcnt,2017
32,John Part,CAN,40%,Checkout Pcnt,2017
33,Max Hopp,GER,37.14%,Checkout Pcnt,2017
34,Austria,,36.84%,Checkout Pcnt,2017
35,Belgium,,36%,Checkout Pcnt,2017
36,South Africa,,35.71%,Checkout Pcnt,2017
37,Singapore,,35.48%,Checkout Pcnt,2017
38,William O'Connor,IRL,35.29%,Checkout Pcnt,2017
39,Harith Lim,SNG,35%,Checkout Pcnt,2017
40,Gerwyn Price,WAL,33.96%,Checkout Pcnt,2017
41,Simon Whitlock,AUS,33.33%,Checkout Pcnt,2017
42,Cristo Reyes,ESP,33.33%,Checkout Pcnt,2017
43,Cody Harris,NZL,33.33%,Checkout Pcnt,2017
44,Daniele Petri,ITA,33.33%,Checkout Pcnt,2017
45,Aleksandr Oreshkin,RUS,33.33%,Checkout Pcnt,2017
46,Paul Lim,SNG,33.33%,Checkout Pcnt,2017
47,Darin Young,USA,33.33%,Checkout Pcnt,2017
48,Switzerland,,33.33%,Checkout Pcnt,2017
49,Zoltán Mester,,33.33%,Checkout Pcnt,2017
50,Kim Huybrechts,BEL,32.69%,Checkout Pcnt,2017
1,František Humpula,,100%,Checkout Pcnt,2017
2,Tytus Kanik,POL,100%,Checkout Pcnt,2017
3,Czechia,,100%,Checkout Pcnt,2017
4,Marko Kantele,FIN,66.67%,Checkout Pcnt,2017
5,Wales,,66.67%,Checkout Pcnt,2017
6,Poland,,60%,Checkout Pcnt,2017
7,Larry Butler,USA,60%,Checkout Pcnt,2017
8,Finland,,57.14%,Checkout Pcnt,2017
9,Daryl Gurney,NIR,57.14%,Checkout Pcnt,2017
10,Patrick Rey,SUI,57.14%,Checkout Pcnt,2017
11,Australia,,55.56%,Checkout Pcnt,2017
12,Mark Webster,WAL,52.78%,Checkout Pcnt,2017
13,Netherlands,,51.52%,Checkout Pcnt,2017
14,Kim Viljanen,FIN,50%,Checkout Pcnt,2017
15,Adrian Lewis,ENG,50%,Checkout Pcnt,2017
16,Krzysztof Ratajski,POL,50%,Checkout Pcnt,2017
17,Per Laursen,DEN,50%,Checkout Pcnt,2017
18,Kyle Anderson,AUS,46.15%,Checkout Pcnt,2017
19,John Michael,GRE,45.45%,Checkout Pcnt,2017
20,Boris Koltsov,RUS,45.45%,Checkout Pcnt,2017
21,Northern Ireland,,44.44%,Checkout Pcnt,2017
22,Dave Chisnall,ENG,43.24%,Checkout Pcnt,2017
23,Rowby-John Rodriguez,AUT,42.86%,Checkout Pcnt,2017
24,Russia,,42.86%,Checkout Pcnt,2017
25,Raymond van Barneveld,NED,42.11%,Checkout Pcnt,2017
26,Mensur Suljović,AUT,41.94%,Checkout Pcnt,2017
27,United States,,41.67%,Checkout Pcnt,2017
28,Michael van Gerwen,NED,41.18%,Checkout Pcnt,2017
29,England,,40.91%,Checkout Pcnt,2017
30,Leung Kai Fan,HKG,40%,Checkout Pcnt,2017
31,Ronny Huybrechts,BEL,40%,Checkout Pcnt,2017
32,John Part,CAN,40%,Checkout Pcnt,2017
33,Max Hopp,GER,37.14%,Checkout Pcnt,2017
34,Austria,,36.84%,Checkout Pcnt,2017
35,Belgium,,36%,Checkout Pcnt,2017
36,South Africa,,35.71%,Checkout Pcnt,2017
37,Singapore,,35.48%,Checkout Pcnt,2017
38,William O'Connor,IRL,35.29%,Checkout Pcnt,2017
39,Harith Lim,SNG,35%,Checkout Pcnt,2017
40,Gerwyn Price,WAL,33.96%,Checkout Pcnt,2017
41,Simon Whitlock,AUS,33.33%,Checkout Pcnt,2017
42,Cristo Reyes,ESP,33.33%,Checkout Pcnt,2017
43,Cody Harris,NZL,33.33%,Checkout Pcnt,2017
44,Daniele Petri,ITA,33.33%,Checkout Pcnt,2017
45,Aleksandr Oreshkin,RUS,33.33%,Checkout Pcnt,2017
46,Paul Lim,SNG,33.33%,Checkout Pcnt,2017
47,Darin Young,USA,33.33%,Checkout Pcnt,2017
48,Switzerland,,33.33%,Checkout Pcnt,2017
49,Zoltán Mester,,33.33%,Checkout Pcnt,2017
50,Kim Huybrechts,BEL,32.69%,Checkout Pcnt,2017
1,Daniel Larsson,SWE,100%,Checkout Pcnt,2018
2,Dennis Nilsson,SWE,100%,Checkout Pcnt,2018
3,Sweden,,100%,Checkout Pcnt,2018
4,Attapol Eupakaree,THA,100%,Checkout Pcnt,2018
5,Mensur Suljović,AUT,80%,Checkout Pcnt,2018
6,Thailand,,60%,Checkout Pcnt,2018
7,Kim Huybrechts,BEL,55.56%,Checkout Pcnt,2018
8,Cody Harris,NZL,50%,Checkout Pcnt,2018
9,Krzysztof Ratajski,POL,50%,Checkout Pcnt,2018
10,Karel Sedláček,CZE,50%,Checkout Pcnt,2018
11,Czechia,,50%,Checkout Pcnt,2018
12,John Part,CAN,50%,Checkout Pcnt,2018
13,Roman Benecky,CZE,50%,Checkout Pcnt,2018
14,Michael van Gerwen,NED,48.15%,Checkout Pcnt,2018
15,Daryl Gurney,NIR,47.62%,Checkout Pcnt,2018
16,Raymond van Barneveld,NED,47.62%,Checkout Pcnt,2018
17,Netherlands,,47.37%,Checkout Pcnt,2018
18,Germany,,45%,Checkout Pcnt,2018
19,Simon Whitlock,AUS,43.18%,Checkout Pcnt,2018
20,Boris Koltsov,RUS,42.86%,Checkout Pcnt,2018
21,Brazil,,41.67%,Checkout Pcnt,2018
22,Belgium,,40.91%,Checkout Pcnt,2018
23,Poland,,40%,Checkout Pcnt,2018
24,Max Hopp,GER,40%,Checkout Pcnt,2018
25,Peter Wright,SCO,39.66%,Checkout Pcnt,2018
26,Cristo Reyes,ESP,38.89%,Checkout Pcnt,2018
27,Finland,,38.46%,Checkout Pcnt,2018
28,Scotland,,38.46%,Checkout Pcnt,2018
29,New Zealand,,37.5%,Checkout Pcnt,2018
30,Liam O Brien,IRL,37.5%,Checkout Pcnt,2018
31,Australia,,37.21%,Checkout Pcnt,2018
32,Toni Alcinas,ESP,36%,Checkout Pcnt,2018
33,Japan,,35.71%,Checkout Pcnt,2018
34,Brendan Dolan,NIR,35.29%,Checkout Pcnt,2018
35,Gerwyn Price,WAL,34.48%,Checkout Pcnt,2018
36,Gary Anderson,SCO,34.43%,Checkout Pcnt,2018
37,Jonny Clayton,WAL,33.33%,Checkout Pcnt,2018
38,Steve Lennon,IRL,33.33%,Checkout Pcnt,2018
39,William O'Connor,IRL,33.33%,Checkout Pcnt,2018
40,Ireland,,33.33%,Checkout Pcnt,2018
41,Russia,,33.33%,Checkout Pcnt,2018
42,Warren Parry,NZL,33.33%,Checkout Pcnt,2018
43,Larry Butler,USA,33.33%,Checkout Pcnt,2018
44,Thanawat Gaweenuntavong,THA,33.33%,Checkout Pcnt,2018
45,Benny Simeonidis,GRE,33.33%,Checkout Pcnt,2018
46,Northern Ireland,,33.33%,Checkout Pcnt,2018
47,Paul Lim,SNG,32.14%,Checkout Pcnt,2018
48,Spain,,32%,Checkout Pcnt,2018
49,Rob Cross,ENG,31.91%,Checkout Pcnt,2018
50,Switzerland,,31.58%,Checkout Pcnt,2018
1,Daniel Larsson,SWE,100%,Checkout Pcnt,2018
2,Dennis Nilsson,SWE,100%,Checkout Pcnt,2018
3,Sweden,,100%,Checkout Pcnt,2018
4,Attapol Eupakaree,THA,100%,Checkout Pcnt,2018
5,Mensur Suljović,AUT,80%,Checkout Pcnt,2018
6,Thailand,,60%,Checkout Pcnt,2018
