Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,0-1,,501,401,0,100,Cullen J.,Littler L.
1,0-1,,401,401,100,0,Cullen J.,Littler L.
2,0-1,,401,305,0,96,Cullen J.,Littler L.
3,0-1,,261,305,140,0,Cullen J.,Littler L.
4,0-1,,261,167,0,138,Cullen J.,Littler L.
5,0-1,,220,167,41,0,Cullen J.,Littler L.
6,0-1,,220,40,0,127,Cullen J.,Littler L.
7,0-1,,120,40,100,0,Cullen J.,Littler L.
0,1-1,,417,501,84,0,Cullen J.,Littler L.
1,1-1,,417,361,0,140,Cullen J.,Littler L.
2,1-1,,292,361,125,0,Cullen J.,Littler L.
3,1-1,,292,221,0,140,Cullen J.,Littler L.
4,1-1,,158,221,134,0,Cullen J.,Littler L.
5,1-1,,158,124,0,97,Cullen J.,Littler L.
6,1-1,,92,124,66,0,Cullen J.,Littler L.
7,1-1,,92,43,0,81,Cullen J.,Littler L.
0,1-2,,501,443,0,58,Cullen J.,Littler L.
1,1-2,,401,443,100,0,Cullen J.,Littler L.
2,1-2,,401,309,0,134,Cullen J.,Littler L.
3,1-2,,286,309,115,0,Cullen J.,Littler L.
4,1-2,,286,170,0,139,Cullen J.,Littler L.
5,1-2,,186,170,100,0,Cullen J.,Littler L.
6,1-2,,186,74,0,96,Cullen J.,Littler L.
7,1-2,,159,74,27,0,Cullen J.,Littler L.
0,2-2,,453,501,48,0,Cullen J.,Littler L.
1,2-2,,453,402,0,99,Cullen J.,Littler L.
2,2-2,,330,402,123,0,Cullen J.,Littler L.
3,2-2,,330,306,0,96,Cullen J.,Littler L.
4,2-2,,270,306,60,0,Cullen J.,Littler L.
5,2-2,,270,248,0,58,Cullen J.,Littler L.
6,2-2,,226,248,44,0,Cullen J.,Littler L.
7,2-2,,226,108,0,140,Cullen J.,Littler L.
8,2-2,,167,108,59,0,Cullen J.,Littler L.
9,2-2,,167,20,0,88,Cullen J.,Littler L.
10,2-2,,28,20,139,0,Cullen J.,Littler L.
11,2-2,,28,10,0,10,Cullen J.,Littler L.
0,2-3,,501,421,0,80,Cullen J.,Littler L.
1,2-3,,459,421,42,0,Cullen J.,Littler L.
2,2-3,,459,281,0,140,Cullen J.,Littler L.
3,2-3,,399,281,60,0,Cullen J.,Littler L.
4,2-3,,399,146,0,135,Cullen J.,Littler L.
5,2-3,,303,146,96,0,Cullen J.,Littler L.
6,2-3,,303,25,0,121,Cullen J.,Littler L.
7,2-3,,244,25,59,0,Cullen J.,Littler L.
0,3-3,,441,501,60,0,Cullen J.,Littler L.
1,3-3,,441,367,0,134,Cullen J.,Littler L.
2,3-3,,381,367,60,0,Cullen J.,Littler L.
3,3-3,,381,270,0,97,Cullen J.,Littler L.
4,3-3,,241,270,140,0,Cullen J.,Littler L.
5,3-3,,241,135,0,135,Cullen J.,Littler L.
6,3-3,,61,135,180,0,Cullen J.,Littler L.
7,3-3,,61,20,0,115,Cullen J.,Littler L.
0,3-4,,501,361,0,140,Cullen J.,Littler L.
1,3-4,,424,361,77,0,Cullen J.,Littler L.
2,3-4,,424,261,0,100,Cullen J.,Littler L.
3,3-4,,328,261,96,0,Cullen J.,Littler L.
4,3-4,,328,81,0,180,Cullen J.,Littler L.
5,3-4,,271,81,57,0,Cullen J.,Littler L.
6,3-4,,271,40,0,41,Cullen J.,Littler L.
7,3-4,,138,40,133,0,Cullen J.,Littler L.
0,3-5,VERLORENER ANWURF Home,462,501,39,0,Cullen J.,Littler L.
1,3-5,VERLORENER ANWURF Home,462,443,0,58,Cullen J.,Littler L.
2,3-5,VERLORENER ANWURF Home,403,443,59,0,Cullen J.,Littler L.
3,3-5,VERLORENER ANWURF Home,403,263,0,180,Cullen J.,Littler L.
4,3-5,VERLORENER ANWURF Home,346,263,57,0,Cullen J.,Littler L.
5,3-5,VERLORENER ANWURF Home,346,167,0,96,Cullen J.,Littler L.
6,3-5,VERLORENER ANWURF Home,306,167,40,0,Cullen J.,Littler L.
