Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,1-0,VERLORENER ANWURF Away,501,501,0,0,Humphries L.,De Decker M.
1,1-0,VERLORENER ANWURF Away,449,501,52,0,Humphries L.,De Decker M.
2,1-0,VERLORENER ANWURF Away,449,392,0,109,Humphries L.,De Decker M.
3,1-0,VERLORENER ANWURF Away,309,392,140,0,Humphries L.,De Decker M.
4,1-0,VERLORENER ANWURF Away,309,296,0,96,Humphries L.,De Decker M.
5,1-0,VERLORENER ANWURF Away,138,296,171,0,Humphries L.,De Decker M.
6,1-0,VERLORENER ANWURF Away,138,156,0,140,Humphries L.,De Decker M.
7,1-0,VERLORENER ANWURF Away,32,156,106,0,Humphries L.,De Decker M.
8,1-0,VERLORENER ANWURF Away,32,76,0,80,Humphries L.,De Decker M.
0,2-0,,469,501,32,0,Humphries L.,De Decker M.
1,2-0,,469,501,0,0,Humphries L.,De Decker M.
2,2-0,,335,501,134,0,Humphries L.,De Decker M.
3,2-0,,335,450,0,51,Humphries L.,De Decker M.
4,2-0,,275,450,60,0,Humphries L.,De Decker M.
5,2-0,,275,357,0,93,Humphries L.,De Decker M.
6,2-0,,135,357,140,0,Humphries L.,De Decker M.
7,2-0,,135,217,0,140,Humphries L.,De Decker M.
8,2-0,,92,217,43,0,Humphries L.,De Decker M.
9,2-0,,92,92,0,125,Humphries L.,De Decker M.
0,2-1,,501,430,0,71,Humphries L.,De Decker M.
1,2-1,,392,430,109,0,Humphries L.,De Decker M.
2,2-1,,392,294,0,136,Humphries L.,De Decker M.
3,2-1,,258,294,134,0,Humphries L.,De Decker M.
4,2-1,,258,197,0,97,Humphries L.,De Decker M.
5,2-1,,162,197,96,0,Humphries L.,De Decker M.
6,2-1,,162,57,0,140,Humphries L.,De Decker M.
7,2-1,,32,57,130,0,Humphries L.,De Decker M.
0,2-2,VERLORENER ANWURF Home,461,501,40,0,Humphries L.,De Decker M.
1,2-2,VERLORENER ANWURF Home,461,430,0,71,Humphries L.,De Decker M.
2,2-2,VERLORENER ANWURF Home,402,430,59,0,Humphries L.,De Decker M.
3,2-2,VERLORENER ANWURF Home,402,370,0,60,Humphries L.,De Decker M.
4,2-2,VERLORENER ANWURF Home,343,370,59,0,Humphries L.,De Decker M.
5,2-2,VERLORENER ANWURF Home,343,230,0,140,Humphries L.,De Decker M.
6,2-2,VERLORENER ANWURF Home,284,230,59,0,Humphries L.,De Decker M.
7,2-2,VERLORENER ANWURF Home,284,50,0,180,Humphries L.,De Decker M.
8,2-2,VERLORENER ANWURF Home,202,50,82,0,Humphries L.,De Decker M.
9,2-2,VERLORENER ANWURF Home,202,16,0,34,Humphries L.,De Decker M.
10,2-2,VERLORENER ANWURF Home,97,16,105,0,Humphries L.,De Decker M.
0,3-2,VERLORENER ANWURF Away,501,469,0,32,Humphries L.,De Decker M.
1,3-2,VERLORENER ANWURF Away,409,469,92,0,Humphries L.,De Decker M.
2,3-2,VERLORENER ANWURF Away,409,373,0,96,Humphries L.,De Decker M.
3,3-2,VERLORENER ANWURF Away,284,373,125,0,Humphries L.,De Decker M.
4,3-2,VERLORENER ANWURF Away,284,233,0,140,Humphries L.,De Decker M.
5,3-2,VERLORENER ANWURF Away,150,233,134,0,Humphries L.,De Decker M.
6,3-2,VERLORENER ANWURF Away,150,100,0,133,Humphries L.,De Decker M.
7,3-2,VERLORENER ANWURF Away,55,100,95,0,Humphries L.,De Decker M.
8,3-2,VERLORENER ANWURF Away,55,20,0,80,Humphries L.,De Decker M.
0,1-0,VERLORENER ANWURF Away,501,485,0,16,Humphries L.,Joyce R.
1,1-0,VERLORENER ANWURF Away,409,485,92,0,Humphries L.,Joyce R.
2,1-0,VERLORENER ANWURF Away,409,385,0,100,Humphries L.,Joyce R.
3,1-0,VERLORENER ANWURF Away,350,385,59,0,Humphries L.,Joyce R.
4,1-0,VERLORENER ANWURF Away,350,339,0,46,Humphries L.,Joyce R.
5,1-0,VERLORENER ANWURF Away,216,339,134,0,Humphries L.,Joyce R.
6,1-0,VERLORENER ANWURF Away,216,243,0,96,Humphries L.,Joyce R.
7,1-0,VERLORENER ANWURF Away,36,243,180,0,Humphries L.,Joyce R.
8,1-0,VERLORENER ANWURF Away,36,103,0,140,Humphries L.,Joyce R.
0,2-0,,469,501,32,0,Humphries L.,Joyce R.
1,2-0,,469,455,0,46,Humphries L.,Joyce R.
2,2-0,,373,455,96,0,Humphries L.,Joyce R.
3,2-0,,373,359,0,96,Humphries L.,Joyce R.
4,2-0,,288,359,85,0,Humphries L.,Joyce R.
5,2-0,,288,225,0,134,Humphries L.,Joyce R.
6,2-0,,154,225,134,0,Humphries L.,Joyce R.
7,2-0,,154,160,0,65,Humphries L.,Joyce R.
8,2-0,,60,160,94,0,Humphries L.,Joyce R.
9,2-0,,60,64,0,96,Humphries L.,Joyce R.
0,3-0,VERLORENER ANWURF Away,501,430,0,71,Humphries L.,Joyce R.
1,3-0,VERLORENER ANWURF Away,449,430,52,0,Humphries L.,Joyce R.
2,3-0,VERLORENER ANWURF Away,449,290,0,140,Humphries L.,Joyce R.
3,3-0,VERLORENER ANWURF Away,354,290,95,0,Humphries L.,Joyce R.
4,3-0,VERLORENER ANWURF Away,354,233,0,57,Humphries L.,Joyce R.
5,3-0,VERLORENER ANWURF Away,214,233,140,0,Humphries L.,Joyce R.
6,3-0,VERLORENER ANWURF Away,214,176,0,57,Humphries L.,Joyce R.
7,3-0,VERLORENER ANWURF Away,122,176,92,0,Humphries L.,Joyce R.
8,3-0,VERLORENER ANWURF Away,122,76,0,100,Humphries L.,Joyce R.
9,3-0,VERLORENER ANWURF Away,25,76,97,0,Humphries L.,Joyce R.
10,3-0,VERLORENER ANWURF Away,25,36,0,40,Humphries L.,Joyce R.
0,0-1,,501,469,0,32,De Decker M.,Van den Bergh D.
1,0-1,,501,469,0,0,De Decker M.,Van den Bergh D.
2,0-1,,501,372,0,97,De Decker M.,Van den Bergh D.
3,0-1,,430,372,71,0,De Decker M.,Van den Bergh D.
4,0-1,,430,272,0,100,De Decker M.,Van den Bergh D.
5,0-1,,330,272,100,0,De Decker M.,Van den Bergh D.
6,0-1,,330,132,0,140,De Decker M.,Van den Bergh D.
7,0-1,,253,132,77,0,De Decker M.,Van den Bergh D.
8,0-1,,253,32,0,100,De Decker M.,Van den Bergh D.
9,0-1,,196,32,57,0,De Decker M.,Van den Bergh D.
0,0-2,VERLORENER ANWURF Home,431,501,70,0,De Decker M.,Van den Bergh D.
1,0-2,VERLORENER ANWURF Home,431,449,0,52,De Decker M.,Van den Bergh D.
2,0-2,VERLORENER ANWURF Home,331,449,100,0,De Decker M.,Van den Bergh D.
3,0-2,VERLORENER ANWURF Home,331,337,0,112,De Decker M.,Van den Bergh D.
