Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,0-1,VERLORENER ANWURF Home,361,501,140,0,Humphries L.,van Gerwen M.
1,0-1,VERLORENER ANWURF Home,361,416,0,85,Humphries L.,van Gerwen M.
2,0-1,VERLORENER ANWURF Home,265,416,96,0,Humphries L.,van Gerwen M.
3,0-1,VERLORENER ANWURF Home,265,276,0,140,Humphries L.,van Gerwen M.
4,0-1,VERLORENER ANWURF Home,182,276,83,0,Humphries L.,van Gerwen M.
5,0-1,VERLORENER ANWURF Home,182,155,0,121,Humphries L.,van Gerwen M.
6,0-1,VERLORENER ANWURF Home,42,155,140,0,Humphries L.,van Gerwen M.
7,0-1,VERLORENER ANWURF Home,42,74,0,81,Humphries L.,van Gerwen M.
8,0-1,VERLORENER ANWURF Home,16,74,26,0,Humphries L.,van Gerwen M.
0,1-1,VERLORENER ANWURF Away,501,443,0,58,Humphries L.,van Gerwen M.
1,1-1,VERLORENER ANWURF Away,408,443,93,0,Humphries L.,van Gerwen M.
2,1-1,VERLORENER ANWURF Away,408,303,0,140,Humphries L.,van Gerwen M.
3,1-1,VERLORENER ANWURF Away,274,303,134,0,Humphries L.,van Gerwen M.
4,1-1,VERLORENER ANWURF Away,274,244,0,59,Humphries L.,van Gerwen M.
5,1-1,VERLORENER ANWURF Away,178,244,96,0,Humphries L.,van Gerwen M.
6,1-1,VERLORENER ANWURF Away,178,184,0,60,Humphries L.,van Gerwen M.
7,1-1,VERLORENER ANWURF Away,53,184,125,0,Humphries L.,van Gerwen M.
8,1-1,VERLORENER ANWURF Away,53,44,0,140,Humphries L.,van Gerwen M.
0,2-1,,321,501,180,0,Humphries L.,van Gerwen M.
1,2-1,,321,457,0,44,Humphries L.,van Gerwen M.
2,2-1,,187,457,134,0,Humphries L.,van Gerwen M.
3,2-1,,187,317,0,140,Humphries L.,van Gerwen M.
4,2-1,,50,317,137,0,Humphries L.,van Gerwen M.
5,2-1,,50,218,0,99,Humphries L.,van Gerwen M.
0,2-2,,501,401,0,100,Humphries L.,van Gerwen M.
1,2-2,,364,401,137,0,Humphries L.,van Gerwen M.
2,2-2,,364,261,0,140,Humphries L.,van Gerwen M.
3,2-2,,269,261,95,0,Humphries L.,van Gerwen M.
4,2-2,,269,203,0,58,Humphries L.,van Gerwen M.
5,2-2,,98,203,171,0,Humphries L.,van Gerwen M.
6,2-2,,98,146,0,57,Humphries L.,van Gerwen M.
7,2-2,,24,146,74,0,Humphries L.,van Gerwen M.
8,2-2,,24,41,0,105,Humphries L.,van Gerwen M.
9,2-2,,6,41,18,0,Humphries L.,van Gerwen M.
0,2-3,VERLORENER ANWURF Home,367,501,134,0,Humphries L.,van Gerwen M.
1,2-3,VERLORENER ANWURF Home,367,382,0,119,Humphries L.,van Gerwen M.
2,2-3,VERLORENER ANWURF Home,267,382,100,0,Humphries L.,van Gerwen M.
3,2-3,VERLORENER ANWURF Home,267,324,0,58,Humphries L.,van Gerwen M.
4,2-3,VERLORENER ANWURF Home,167,324,100,0,Humphries L.,van Gerwen M.
5,2-3,VERLORENER ANWURF Home,167,201,0,123,Humphries L.,van Gerwen M.
6,2-3,VERLORENER ANWURF Home,70,201,97,0,Humphries L.,van Gerwen M.
7,2-3,VERLORENER ANWURF Home,70,62,0,139,Humphries L.,van Gerwen M.
8,2-3,VERLORENER ANWURF Home,16,62,54,0,Humphries L.,van Gerwen M.
0,3-3,VERLORENER ANWURF Away,501,458,0,43,Humphries L.,van Gerwen M.
1,3-3,VERLORENER ANWURF Away,404,458,97,0,Humphries L.,van Gerwen M.
2,3-3,VERLORENER ANWURF Away,404,400,0,58,Humphries L.,van Gerwen M.
3,3-3,VERLORENER ANWURF Away,264,400,140,0,Humphries L.,van Gerwen M.
4,3-3,VERLORENER ANWURF Away,264,307,0,93,Humphries L.,van Gerwen M.
5,3-3,VERLORENER ANWURF Away,124,307,140,0,Humphries L.,van Gerwen M.
6,3-3,VERLORENER ANWURF Away,124,210,0,97,Humphries L.,van Gerwen M.
7,3-3,VERLORENER ANWURF Away,24,210,100,0,Humphries L.,van Gerwen M.
8,3-3,VERLORENER ANWURF Away,24,116,0,94,Humphries L.,van Gerwen M.
0,4-3,,405,501,96,0,Humphries L.,van Gerwen M.
1,4-3,,405,459,0,42,Humphries L.,van Gerwen M.
2,4-3,,265,459,140,0,Humphries L.,van Gerwen M.
3,4-3,,265,400,0,59,Humphries L.,van Gerwen M.
4,4-3,,85,400,180,0,Humphries L.,van Gerwen M.
5,4-3,,85,343,0,57,Humphries L.,van Gerwen M.
6,4-3,,40,343,45,0,Humphries L.,van Gerwen M.
7,4-3,,40,203,0,140,Humphries L.,van Gerwen M.
0,5-3,VERLORENER ANWURF Away,501,321,0,180,Humphries L.,van Gerwen M.
1,5-3,VERLORENER ANWURF Away,405,321,96,0,Humphries L.,van Gerwen M.
2,5-3,VERLORENER ANWURF Away,405,181,0,140,Humphries L.,van Gerwen M.
3,5-3,VERLORENER ANWURF Away,270,181,135,0,Humphries L.,van Gerwen M.
4,5-3,VERLORENER ANWURF Away,270,81,0,100,Humphries L.,van Gerwen M.
5,5-3,VERLORENER ANWURF Away,170,81,100,0,Humphries L.,van Gerwen M.
6,5-3,VERLORENER ANWURF Away,170,32,0,49,Humphries L.,van Gerwen M.
7,5-3,VERLORENER ANWURF Away,74,32,96,0,Humphries L.,van Gerwen M.
8,5-3,VERLORENER ANWURF Away,74,16,0,16,Humphries L.,van Gerwen M.
0,6-3,,321,501,180,0,Humphries L.,van Gerwen M.
1,6-3,,321,405,0,96,Humphries L.,van Gerwen M.
2,6-3,,277,405,44,0,Humphries L.,van Gerwen M.
3,6-3,,277,271,0,134,Humphries L.,van Gerwen M.
4,6-3,,137,271,140,0,Humphries L.,van Gerwen M.
5,6-3,,137,145,0,126,Humphries L.,van Gerwen M.
6,6-3,,54,145,83,0,Humphries L.,van Gerwen M.
7,6-3,,54,88,0,57,Humphries L.,van Gerwen M.
