Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,0-1,,501,441,0,60,Littler L.,Smith M.
1,0-1,,361,441,140,0,Littler L.,Smith M.
2,0-1,,361,383,0,58,Littler L.,Smith M.
3,0-1,,264,383,97,0,Littler L.,Smith M.
4,0-1,,264,243,0,140,Littler L.,Smith M.
5,0-1,,204,243,60,0,Littler L.,Smith M.
6,0-1,,204,103,0,140,Littler L.,Smith M.
7,0-1,,66,103,138,0,Littler L.,Smith M.
8,0-1,,66,20,0,83,Littler L.,Smith M.
9,0-1,,12,20,54,0,Littler L.,Smith M.
0,1-1,,321,501,180,0,Littler L.,Smith M.
1,1-1,,321,441,0,60,Littler L.,Smith M.
2,1-1,,181,441,140,0,Littler L.,Smith M.
3,1-1,,181,261,0,180,Littler L.,Smith M.
4,1-1,,87,261,94,0,Littler L.,Smith M.
5,1-1,,87,81,0,180,Littler L.,Smith M.
6,1-1,,7,81,80,0,Littler L.,Smith M.
7,1-1,,7,12,0,69,Littler L.,Smith M.
0,1-2,,501,401,0,100,Littler L.,Smith M.
1,1-2,,361,401,140,0,Littler L.,Smith M.
2,1-2,,361,301,0,100,Littler L.,Smith M.
3,1-2,,301,301,60,0,Littler L.,Smith M.
4,1-2,,301,121,0,180,Littler L.,Smith M.
5,1-2,,121,121,180,0,Littler L.,Smith M.
6,1-2,,121,59,0,62,Littler L.,Smith M.
7,1-2,,25,59,96,0,Littler L.,Smith M.
8,1-2,,25,10,0,49,Littler L.,Smith M.
9,1-2,,5,10,20,0,Littler L.,Smith M.
0,2-2,,442,501,59,0,Littler L.,Smith M.
1,2-2,,442,438,0,63,Littler L.,Smith M.
2,2-2,,398,438,44,0,Littler L.,Smith M.
3,2-2,,398,304,0,134,Littler L.,Smith M.
4,2-2,,258,304,140,0,Littler L.,Smith M.
5,2-2,,258,247,0,57,Littler L.,Smith M.
6,2-2,,198,247,60,0,Littler L.,Smith M.
7,2-2,,198,107,0,140,Littler L.,Smith M.
8,2-2,,140,107,58,0,Littler L.,Smith M.
9,2-2,,140,52,0,55,Littler L.,Smith M.
0,3-2,VERLORENER ANWURF Away,501,421,0,80,Littler L.,Smith M.
1,3-2,VERLORENER ANWURF Away,361,421,140,0,Littler L.,Smith M.
2,3-2,VERLORENER ANWURF Away,361,321,0,100,Littler L.,Smith M.
3,3-2,VERLORENER ANWURF Away,261,321,100,0,Littler L.,Smith M.
4,3-2,VERLORENER ANWURF Away,261,221,0,100,Littler L.,Smith M.
5,3-2,VERLORENER ANWURF Away,130,221,131,0,Littler L.,Smith M.
6,3-2,VERLORENER ANWURF Away,130,140,0,81,Littler L.,Smith M.
0,3-3,VERLORENER ANWURF Home,361,501,140,0,Littler L.,Smith M.
1,3-3,VERLORENER ANWURF Home,361,321,0,180,Littler L.,Smith M.
2,3-3,VERLORENER ANWURF Home,279,321,82,0,Littler L.,Smith M.
3,3-3,VERLORENER ANWURF Home,279,221,0,100,Littler L.,Smith M.
4,3-3,VERLORENER ANWURF Home,220,221,59,0,Littler L.,Smith M.
5,3-3,VERLORENER ANWURF Home,220,87,0,134,Littler L.,Smith M.
6,3-3,VERLORENER ANWURF Home,80,87,140,0,Littler L.,Smith M.
0,4-3,VERLORENER ANWURF Away,501,361,0,140,Littler L.,Smith M.
1,4-3,VERLORENER ANWURF Away,361,361,140,0,Littler L.,Smith M.
2,4-3,VERLORENER ANWURF Away,361,334,0,27,Littler L.,Smith M.
3,4-3,VERLORENER ANWURF Away,221,334,140,0,Littler L.,Smith M.
4,4-3,VERLORENER ANWURF Away,221,213,0,121,Littler L.,Smith M.
5,4-3,VERLORENER ANWURF Away,128,213,93,0,Littler L.,Smith M.
6,4-3,VERLORENER ANWURF Away,128,113,0,100,Littler L.,Smith M.
7,4-3,VERLORENER ANWURF Away,40,113,88,0,Littler L.,Smith M.
8,4-3,VERLORENER ANWURF Away,40,56,0,57,Littler L.,Smith M.
0,5-3,,321,501,180,0,Littler L.,Smith M.
1,5-3,,321,401,0,100,Littler L.,Smith M.
2,5-3,,181,401,140,0,Littler L.,Smith M.
3,5-3,,181,306,0,95,Littler L.,Smith M.
4,5-3,,81,306,100,0,Littler L.,Smith M.
5,5-3,,81,264,0,42,Littler L.,Smith M.
6,5-3,,20,264,61,0,Littler L.,Smith M.
7,5-3,,20,208,0,56,Littler L.,Smith M.
8,5-3,,20,208,0,0,Littler L.,Smith M.
9,5-3,,20,80,0,128,Littler L.,Smith M.
0,6-3,VERLORENER ANWURF Away,501,444,0,57,Littler L.,Smith M.
1,6-3,VERLORENER ANWURF Away,367,444,134,0,Littler L.,Smith M.
2,6-3,VERLORENER ANWURF Away,367,384,0,60,Littler L.,Smith M.
3,6-3,VERLORENER ANWURF Away,227,384,140,0,Littler L.,Smith M.
4,6-3,VERLORENER ANWURF Away,227,343,0,41,Littler L.,Smith M.
5,6-3,VERLORENER ANWURF Away,87,343,140,0,Littler L.,Smith M.
6,6-3,VERLORENER ANWURF Away,87,243,0,100,Littler L.,Smith M.
7,6-3,VERLORENER ANWURF Away,8,243,79,0,Littler L.,Smith M.
8,6-3,VERLORENER ANWURF Away,8,143,0,100,Littler L.,Smith M.
9,6-3,VERLORENER ANWURF Away,2,143,6,0,Littler L.,Smith M.
10,6-3,VERLORENER ANWURF Away,2,84,0,59,Littler L.,Smith M.
0,7-3,,401,501,100,0,Littler L.,Smith M.
1,7-3,,401,412,0,89,Littler L.,Smith M.
2,7-3,,301,412,100,0,Littler L.,Smith M.
3,7-3,,301,272,0,140,Littler L.,Smith M.
4,7-3,,161,272,140,0,Littler L.,Smith M.
5,7-3,,161,132,0,140,Littler L.,Smith M.
6,7-3,,24,132,137,0,Littler L.,Smith M.
7,7-3,,24,23,0,109,Littler L.,Smith M.
0,8-3,VERLORENER ANWURF Away,501,441,0,60,Littler L.,Smith M.
1,8-3,VERLORENER ANWURF Away,401,441,100,0,Littler L.,Smith M.
2,8-3,VERLORENER ANWURF Away,401,362,0,79,Littler L.,Smith M.
3,8-3,VERLORENER ANWURF Away,270,362,131,0,Littler L.,Smith M.
4,8-3,VERLORENER ANWURF Away,270,304,0,58,Littler L.,Smith M.
5,8-3,VERLORENER ANWURF Away,210,304,60,0,Littler L.,Smith M.
6,8-3,VERLORENER ANWURF Away,210,221,0,83,Littler L.,Smith M.
7,8-3,VERLORENER ANWURF Away,30,221,180,0,Littler L.,Smith M.
8,8-3,VERLORENER ANWURF Away,30,132,0,89,Littler L.,Smith M.
0,9-3,,361,501,140,0,Littler L.,Smith M.
1,9-3,,361,411,0,90,Littler L.,Smith M.
2,9-3,,227,411,134,0,Littler L.,Smith M.
3,9-3,,227,353,0,58,Littler L.,Smith M.
4,9-3,,127,353,100,0,Littler L.,Smith M.
5,9-3,,127,295,0,58,Littler L.,Smith M.
6,9-3,,48,295,79,0,Littler L.,Smith M.
7,9-3,,48,195,0,100,Littler L.,Smith M.
0,10-3,VERLORENER ANWURF Away,501,425,0,76,Littler L.,Smith M.
1,10-3,VERLORENER ANWURF Away,401,425,100,0,Littler L.,Smith M.
2,10-3,VERLORENER ANWURF Away,401,285,0,140,Littler L.,Smith M.
3,10-3,VERLORENER ANWURF Away,308,285,93,0,Littler L.,Smith M.
4,10-3,VERLORENER ANWURF Away,308,145,0,140,Littler L.,Smith M.
5,10-3,VERLORENER ANWURF Away,170,145,138,0,Littler L.,Smith M.
6,10-3,VERLORENER ANWURF Away,170,114,0,31,Littler L.,Smith M.
7,10-3,VERLORENER ANWURF Away,65,114,105,0,Littler L.,Smith M.
8,10-3,VERLORENER ANWURF Away,65,72,0,42,Littler L.,Smith M.
9,10-3,VERLORENER ANWURF Away,20,72,45,0,Littler L.,Smith M.
10,10-3,VERLORENER ANWURF Away,20,40,0,32,Littler L.,Smith M.
0,10-4,VERLORENER ANWURF Home,321,501,180,0,Littler L.,Smith M.
1,10-4,VERLORENER ANWURF Home,321,410,0,91,Littler L.,Smith M.
2,10-4,VERLORENER ANWURF Home,181,410,140,0,Littler L.,Smith M.
3,10-4,VERLORENER ANWURF Home,181,310,0,100,Littler L.,Smith M.
4,10-4,VERLORENER ANWURF Home,84,310,97,0,Littler L.,Smith M.
5,10-4,VERLORENER ANWURF Home,84,170,0,140,Littler L.,Smith M.
6,10-4,VERLORENER ANWURF Home,25,170,59,0,Littler L.,Smith M.
0,11-4,VERLORENER ANWURF Away,501,361,0,140,Littler L.,Smith M.
1,11-4,VERLORENER ANWURF Away,416,361,85,0,Littler L.,Smith M.
2,11-4,VERLORENER ANWURF Away,416,318,0,43,Littler L.,Smith M.
3,11-4,VERLORENER ANWURF Away,319,318,97,0,Littler L.,Smith M.
4,11-4,VERLORENER ANWURF Away,319,218,0,100,Littler L.,Smith M.
5,11-4,VERLORENER ANWURF Away,139,218,180,0,Littler L.,Smith M.
6,11-4,VERLORENER ANWURF Away,139,38,0,180,Littler L.,Smith M.
7,11-4,VERLORENER ANWURF Away,22,38,117,0,Littler L.,Smith M.
8,11-4,VERLORENER ANWURF Away,22,38,0,0,Littler L.,Smith M.
0,0-1,,501,361,0,140,Wright P.,Smith M.
1,0-1,,458,361,43,0,Wright P.,Smith M.
2,0-1,,458,240,0,121,Wright P.,Smith M.
3,0-1,,358,240,100,0,Wright P.,Smith M.
4,0-1,,358,155,0,85,Wright P.,Smith M.
5,0-1,,313,155,45,0,Wright P.,Smith M.
6,0-1,,313,55,0,100,Wright P.,Smith M.
7,0-1,,270,55,43,0,Wright P.,Smith M.
0,0-2,VERLORENER ANWURF Home,401,501,100,0,Wright P.,Smith M.
1,0-2,VERLORENER ANWURF Home,401,424,0,77,Wright P.,Smith M.
2,0-2,VERLORENER ANWURF Home,316,424,85,0,Wright P.,Smith M.
3,0-2,VERLORENER ANWURF Home,316,368,0,56,Wright P.,Smith M.
4,0-2,VERLORENER ANWURF Home,256,368,60,0,Wright P.,Smith M.
5,0-2,VERLORENER ANWURF Home,256,274,0,94,Wright P.,Smith M.
6,0-2,VERLORENER ANWURF Home,175,274,81,0,Wright P.,Smith M.
7,0-2,VERLORENER ANWURF Home,175,145,0,129,Wright P.,Smith M.
8,0-2,VERLORENER ANWURF Home,132,145,43,0,Wright P.,Smith M.
9,0-2,VERLORENER ANWURF Home,132,24,0,121,Wright P.,Smith M.
10,0-2,VERLORENER ANWURF Home,48,24,84,0,Wright P.,Smith M.
0,0-3,,501,370,0,131,Wright P.,Smith M.
1,0-3,,406,370,95,0,Wright P.,Smith M.
2,0-3,,406,313,0,57,Wright P.,Smith M.
3,0-3,,321,313,85,0,Wright P.,Smith M.
4,0-3,,321,220,0,93,Wright P.,Smith M.
5,0-3,,221,220,100,0,Wright P.,Smith M.
6,0-3,,221,80,0,140,Wright P.,Smith M.
7,0-3,,136,80,85,0,Wright P.,Smith M.
0,1-3,,361,501,140,0,Wright P.,Smith M.
1,1-3,,361,406,0,95,Wright P.,Smith M.
2,1-3,,221,406,140,0,Wright P.,Smith M.
3,1-3,,221,286,0,120,Wright P.,Smith M.
4,1-3,,121,286,100,0,Wright P.,Smith M.
5,1-3,,121,230,0,56,Wright P.,Smith M.
6,1-3,,32,230,89,0,Wright P.,Smith M.
7,1-3,,32,170,0,60,Wright P.,Smith M.
0,2-3,VERLORENER ANWURF Away,501,445,0,56,Wright P.,Smith M.
1,2-3,VERLORENER ANWURF Away,361,445,140,0,Wright P.,Smith M.
2,2-3,VERLORENER ANWURF Away,361,345,0,100,Wright P.,Smith M.
3,2-3,VERLORENER ANWURF Away,301,345,60,0,Wright P.,Smith M.
4,2-3,VERLORENER ANWURF Away,301,300,0,45,Wright P.,Smith M.
5,2-3,VERLORENER ANWURF Away,167,300,134,0,Wright P.,Smith M.
6,2-3,VERLORENER ANWURF Away,167,240,0,60,Wright P.,Smith M.
7,2-3,VERLORENER ANWURF Away,107,240,60,0,Wright P.,Smith M.
8,2-3,VERLORENER ANWURF Away,107,194,0,46,Wright P.,Smith M.
9,2-3,VERLORENER ANWURF Away,16,194,91,0,Wright P.,Smith M.
10,2-3,VERLORENER ANWURF Away,16,54,0,140,Wright P.,Smith M.
0,2-4,VERLORENER ANWURF Home,415,501,86,0,Wright P.,Smith M.
1,2-4,VERLORENER ANWURF Home,415,361,0,140,Wright P.,Smith M.
2,2-4,VERLORENER ANWURF Home,356,361,59,0,Wright P.,Smith M.
3,2-4,VERLORENER ANWURF Home,356,304,0,57,Wright P.,Smith M.
4,2-4,VERLORENER ANWURF Home,256,304,100,0,Wright P.,Smith M.
5,2-4,VERLORENER ANWURF Home,256,124,0,180,Wright P.,Smith M.
6,2-4,VERLORENER ANWURF Home,161,124,95,0,Wright P.,Smith M.
7,2-4,VERLORENER ANWURF Home,161,58,0,66,Wright P.,Smith M.
8,2-4,VERLORENER ANWURF Home,104,58,57,0,Wright P.,Smith M.
0,2-5,,501,366,0,135,Wright P.,Smith M.
1,2-5,,401,366,100,0,Wright P.,Smith M.
2,2-5,,401,272,0,94,Wright P.,Smith M.
3,2-5,,345,272,56,0,Wright P.,Smith M.
4,2-5,,345,152,0,120,Wright P.,Smith M.
5,2-5,,245,152,100,0,Wright P.,Smith M.
0,2-6,VERLORENER ANWURF Home,321,501,180,0,Wright P.,Smith M.
1,2-6,VERLORENER ANWURF Home,321,321,0,180,Wright P.,Smith M.
2,2-6,VERLORENER ANWURF Home,262,321,59,0,Wright P.,Smith M.
3,2-6,VERLORENER ANWURF Home,262,141,0,180,Wright P.,Smith M.
4,2-6,VERLORENER ANWURF Home,126,141,136,0,Wright P.,Smith M.
5,2-6,VERLORENER ANWURF Home,126,58,0,83,Wright P.,Smith M.
6,2-6,VERLORENER ANWURF Home,25,58,101,0,Wright P.,Smith M.
0,2-7,,501,321,0,180,Wright P.,Smith M.
1,2-7,,321,321,180,0,Wright P.,Smith M.
2,2-7,,321,266,0,55,Wright P.,Smith M.
3,2-7,,221,266,100,0,Wright P.,Smith M.
4,2-7,,221,207,0,59,Wright P.,Smith M.
5,2-7,,139,207,82,0,Wright P.,Smith M.
6,2-7,,139,107,0,100,Wright P.,Smith M.
7,2-7,,86,107,53,0,Wright P.,Smith M.
8,2-7,,86,64,0,43,Wright P.,Smith M.
9,2-7,,25,64,61,0,Wright P.,Smith M.
0,3-7,,418,501,83,0,Wright P.,Smith M.
1,3-7,,418,421,0,80,Wright P.,Smith M.
2,3-7,,358,421,60,0,Wright P.,Smith M.
3,3-7,,358,326,0,95,Wright P.,Smith M.
4,3-7,,218,326,140,0,Wright P.,Smith M.
5,3-7,,218,241,0,85,Wright P.,Smith M.
6,3-7,,124,241,94,0,Wright P.,Smith M.
7,3-7,,124,107,0,134,Wright P.,Smith M.
0,4-7,VERLORENER ANWURF Away,501,405,0,96,Wright P.,Smith M.
1,4-7,VERLORENER ANWURF Away,321,405,180,0,Wright P.,Smith M.
2,4-7,VERLORENER ANWURF Away,321,265,0,140,Wright P.,Smith M.
3,4-7,VERLORENER ANWURF Away,181,265,140,0,Wright P.,Smith M.
4,4-7,VERLORENER ANWURF Away,181,132,0,133,Wright P.,Smith M.
5,4-7,VERLORENER ANWURF Away,116,132,65,0,Wright P.,Smith M.
6,4-7,VERLORENER ANWURF Away,116,28,0,104,Wright P.,Smith M.
7,4-7,VERLORENER ANWURF Away,56,28,60,0,Wright P.,Smith M.
8,4-7,VERLORENER ANWURF Away,56,28,0,0,Wright P.,Smith M.
0,4-8,VERLORENER ANWURF Home,361,501,140,0,Wright P.,Smith M.
1,4-8,VERLORENER ANWURF Home,361,409,0,92,Wright P.,Smith M.
2,4-8,VERLORENER ANWURF Home,261,409,100,0,Wright P.,Smith M.
3,4-8,VERLORENER ANWURF Home,261,229,0,180,Wright P.,Smith M.
