Vorige Position,Aktuelle Position,Name,Nationalität,Preisgeld
1,1,"TAYLOR, Phil",England,£884.942
2,2,"BARNEVELD, Raymond van",Netherlands,£245.079
3,3,"WADE, James",England,£240.975
4,4,"PART, John",Canada,£177.611
5,5,"JENKINS, Terry",England,£165.578
6,6,"KING, Mervyn",England,£159.579
7,7,"BAXTER, Ronnie",England,£150.513
8,8,"LEWIS, Adrian",England,£147.429
9,9,"PRIESTLEY, Dennis",England,£141.830
10,10,"LLOYD, Colin",England,£141.064
14,11,"OSBORNE, Colin",England,£137.346
11,12,"WALSH, Mark",England,£137.281
12,13,"TABERN, Alan",England,£134.533
13,14,"HAMILTON, Andy",England,£131.405
15,15,"PAINTER, Kevin",England,£121.286
16,16,"THORNTON, Robert",Scotland,£115.628
17,17,"MARDLE, Wayne",England,£106.863
18,18,"VOORT, Vincent van der",Netherlands,£100.519
19,19,"BEATON, Steve",England,£90.285
20,20,"OVENS, Denis",England,£84.677
22,21,"DUDBRIDGE, Mark",England,£83.804
21,22,"MANLEY, Peter",England,£83.707
23,23,"JONES, Wayne",England,£79.897
24,24,"KLAASEN, Jelle",Netherlands,£78.321
25,25,"CAVEN, Jamie",England,£73.839
29,26,"NEWTON, Wesley",England,£73.364
26,27,"SMITH, Andy",England,£73.258
27,28,"STOMPÉ, Co",Netherlands,£69.239
28,29,"SHEPHERD, Kirk",England,£68.295
31,30,"GERWEN, Michael van",Netherlands,£65.779
30,31,"ECCLES, Tony",England,£62.928
32,32,"SCHOLTEN, Roland",Netherlands,£58.252
33,33,"ANDERSON, Gary",Scotland,£53.550
34,34,"BATES, Barrie",Wales,£52.671
35,35,"JENKINS, Andy",England,£47.175
37,36,"ROY, Alex",England,£46.333
38,37,"NICHOLSON,Paul",Australia,£46.004
39,38,"McDINE, Kevin",England,£45.138
36,39,"MASON, Chris",England,£44.254
40,40,"CLARK, Matt",England,£40.278
41,41,"GRAY, Adrian",England,£34.111
42,42,"MAISH, Steve",England,£32.985
43,43,"BARRY, Jacko",Ireland,£32.158
44,44,"RASSEL, Jan van der",Netherlands,£31.915
45,45,"DOLAN, Brendan",Northern Ireland,£31.675
46,46,"SULJOVIC, Mensur",Austria,£28.958
47,47,"MAWSON, Gary",USA,£28.871
48,48,"McGOWAN, Mick",Ireland,£26.258
51,49,"MAGOWAN, John",Northern Ireland,£25.275
49,50,"RODRIGUEZ, Carlos",Spain,£25.225
50,51,"SMITH, Dennis",England,£24.610
52,52,"MONK, Colin",England,£22.389
53,53,"HINE, Steve",England,£19.939
54,54,"WRIGHT, Peter",England,£19.721
57,55,"BROWN, Steve",England,£17.654
55,56,"THOMPSON, Chris",England,£17.650
56,57,"DAVIS, Bill",USA,£17.546
58,58,"McBREARTY, Felix",Northern Ireland,£16.650
59,59,"FROST, Mark",England,£15.950
60,60,"AYRES, Tony",England,£15.425
61,61,"GREEBE, Toon",Netherlands,£14.640
62,62,"LAWRENCE, Mark",England,£14.571
63,63,"YOUNG, Darin",USA,£14.246
64,64,"CLARK, Jason",Scotland,£13.683
65,65,"HONEY, Dave",England,£12.496
66,66,"BARNARD, Michael",England,£12.400
69,67,"WEBSTER,Mark",Wales,£12.042
68,68,"BLUNDELL,Louis",England,£12.025
67,69,"FATUM, David",Canada,£11.971
70,70,"WARRINER-LITTLE, Alan",England,£11.425
71,71,"ASKEW, Dave",England,£11.146
72,72,"FULWELL, Nick",England,£11.071
73,73,"JOHNSON, Darren",England,£11.032
76,74,"GRUBB, Steve",England,£10.925
74,75,"SAMS, Lionel",England,£10.700
75,76,"ATWOOD, Wayne",Wales,£10.625
78,77,"EVANS, Steve",Wales,£9.983
77,78,"EIJDEN, Remco van",Netherlands,£9.533
79,79,"LOSPER, Charles",South Africa,£9.300
80,80,"CARVER, Ray",USA,£9.271
81,81,"LAURSEN, Per",Denmark,£9.000
81,81,"YONGSHENG, Shi",China,£9.000
84,83,"TURNER, Martyn",England,£8.275
83,84,"WELDING, Gary",England,£8.007
85,85,"EXTERCATTE, Erwin",Netherlands,£7.621
86,86,"STEPHENSON, Mark",England,£6.650
87,87,"CONVERY, Gerry",Canada,£6.600
88,88,"SCHNIER, Hannes",Austria,£6.129
89,89,"PIPE,Justin",England,£6.125
90,90,"STEWART,Russell",Australia,£5.900
93,91,"DOBSON, Kenny",England,£5.850
91,92,"FRENCH, Warren",New Zealand,£5.800
91,92,"KANTELE,Marko",Finland,£5.800
94,94,"DOWLING, Kevin",England,£5.508
95,95,"BEZZEG,Nandor",Hungary,£5.400
96,96,"BUTLER,Larry",USA,£5.275
97,97,"NAGAKAWA, Akihiro",Japan,£5.000
98,98,"WHITLOCK,Simon",Australia,£4.650
99,99,"PARRY, Warren",New Zealand,£4.600
100,100,"ROONEY, Sam",England,£4.575
105,101,"LADLEY, Dave",England,£4.550
101,101,"WHITE, Chris",Canada,£4.550
102,103,"O'CONNOR, Shane",Ireland,£4.525
112,103,"SMITH, Dave",England,£4.525
103,105,"KUCZYNSKI, John",USA,£4.450
104,106,"DOBROMYSLOVA, Anastasia",Russia,£4.400
106,107,"WELGE, Andree",Germany,£4.246
107,108,"SMITH, Steve",England,£4.157
109,109,"FORDE, Anthony",Barbados,£4.000
116,110,"HOOG, de Bryan",Netherlands,£3.996
110,111,"QUANTOCK, John",England,£3.971
111,112,"KNIGHTON, Paul",England,£3.950
119,113,"BARTON, James",England,£3.925
113,114,"CULLEN,Joe",England,£3.875
114,115,"BRENNEMAN,Shawn",Canada,£3.650
115,116,"CARTER, Roger",USA,£3.600
126,116,"WILLIAMS,Lee",England,£3.600
124,118,"SMITH,Michael",England,£3.575
117,119,"HAZEL,Phillip",New Zealand,£3.500
118,120,"HARVEY, Jamie",Scotland,£3.475
121,121,"BURNETT, Scotty",USA,£3.396
119,122,"CAVES, Alan",England,£3.350
122,122,"COOPER,Chris",England,£3.350
123,124,"HARDY,Stephen",England,£3.325
128,125,"BIRCH,Nigel",England,£3.150
125,126,"BURTON, Ben",England,£3.033
126,127,"RIIHONEN,Par",Sweden,£3.000
108,128,"FARRELL,Ray",Ireland,£2.950
131,129,"BOUSFIELD,Stuart",England,£2.900
130,130,"WITHERS,Jim",England,£2.800
129,131,"PLATT, David",England,£2.721
132,132,"VELJIC, Isen",USA,£2.696
136,133,"DUO,Dylan",gibraltar,£2.650
133,134,"CRAVEN, Simon",England,£2.525
134,135,"FITZGERALD,Sudesh",Barbados,£2.500
134,135,"ILAGAN,Lourence",Philippines,£2.500
137,137,"KEOGH, James",Ireland,£2.375
138,138,"JOPLING, Ian",England,£2.225
143,139,"MONK,Aaron",England,£2.175
140,140,"DUTTON, Stuart",England,£2.150
142,141,"LATHAM, Darren",England,£2.075
141,142,"WATSON-LANG, Robert",England,£2.071
139,143,"HARRIS, Kevin",England,£2.025
149,144,"LOUDON,Chris",Scotland,£2.000
144,145,"MacNEIL, Ken",Canada,£1.921
145,146,"LAUBY, Dan",USA,£1.896
157,147,"JODRILL, Mark",England,£1.875
146,148,"BURNETT, Richie",Wales,£1.850
146,148,"PALFREY, Sean",Wales,£1.850
148,150,"PULS, Marko",Germany,£1.825
168,151,"McGARRY, Colin",Northern Ireland,£1.800
150,152,"MASURKA, Mario",Germany,£1.779
153,153,"SEYLER, Tomas",Germany,£1.746
154,154,"PANUNCIALMAN, Stephen",USA,£1.721
151,155,"RONCERO, Braulio",Netherlands,£1.700
155,155,"BLADES, Gary",England,£1.700
155,155,"BULEN,Patrick",Belgium,£1.700
152,158,"WILLIAMS, Ricky",England,£1.696
158,159,"OVERTON, Jonathan",England,£1.625
159,160,"ROSENAUR,Michael",Germany,£1.600
166,161,"ALLEN,Chris",England,£1.575
160,162,"CAFFREY, Owen",Ireland,£1.525
167,162,"MAES, Rocco",Belgium,£1.525
161,164,"LESSIG, Buddy",USA,£1.500
162,165,"LIM, Paul",USA,£1.450
162,165,"PARKER, Robbie",England,£1.450
162,165,"SNIDER, Davis",USA,£1.450
165,168,"PARODY,Dyson",Gibraltar,£1.400
172,168,"PINHORNE, Danny",England,£1.400
168,170,"ROACH,Brian",Australia,£1.300
170,171,"COOPER, Paul",England,£1.275
171,172,"LANGENDORF, Maik",Germany,£1.225
172,173,"ARTUT, Jyhan",Germany,£1.200
186,173,"LEVER,Ian",England,£1.200
172,173,"OKKEN,Johnny",Netherlands,£1.200
175,176,"HULL,Jerry",Canada,£1.150
175,176,"RIEHL, Pete",Canada,£1.150
177,178,"RICE, Colin",Germany,£1.129
178,179,"KIRCHNER, Scott",USA,£1.125
179,180,"HONNER, Johann",Germany,£1.100
179,180,"KOMULA,Jarkko",Finland,£1.100
181,182,"BLAKE, Brian",USA,£1.075
181,182,"BOLDUC, Paul",Canada,£1.075
181,182,"BREWER, Mike",USA,£1.075
181,182,"MUSSON, Steve",England,£1.075
185,186,"KING, Danny",England,£1.050
186,187,"BAECHLER, Robert",USA,£1.000
186,187,"CYR, Brian",Canada,£1.000
186,187,"ESPINOSA, Rick",USA,£1.000
186,187,"FRENCH, Garrett",USA,£1.000
186,187,"HAMMOND, Garret",USA,£1.000
186,187,"HORAN, James K",USA,£1.000
186,187,"MISKE, Robert",USA,£1.000
186,187,"PALFREYMAN,Joey",England,£1.000
186,187,"PRIZEMAN,Craig",Australia,£1.000
186,187,"RELF,Andy",England,£1.000
186,187,"ROITH,Bernd",Germany,£1.000
186,187,"STRODE,Donnie",England,£1.000
186,187,"TIMPONE, George",USA,£1.000
186,187,"WETHINGTON, Brad",USA,£1.000
201,201,"BURGESS, Shayne",England,£975
201,201,"MASON,Russell",England,£975
203,203,"GREEN, Alan",England,£921
204,204,"WYLIE, Geoff",Northern Ireland,£900
204,204,"ZIJDERHAND,Dennis",Netherlands,£900
224,206,"CARTER, Mark",England,£875
206,206,"LOVELY, Eddie",England,£875
206,206,"VUYST, Didier de",Belgium,£875
226,209,"JACKSON,Matt",England,£850
208,209,"TICHOWITSCH,Shane",Australia,£850
209,211,"FORDHAM,Andy",England,£800
209,211,"RENKEMA,Erwin",Netherlands,£800
209,211,"TURNER, Aaron",England,£800
209,211,"WHITWORTH,Geoff",England,£800
213,215,"JENKINSON,John",England,£750
213,215,"WILSON, Tommy",England,£750
215,217,"HOLDEN, Stuart",England,£725
215,217,"HOWARTH, Andrew",England,£725
215,217,"PALFREYMAN, Lee",England,£725
218,220,"KRÖCKEL, Andy",Germany,£721
219,221,"McFARLAND,Ian",England,£700
219,221,"NOONAN, Gary",England,£700
219,221,OVERDIJK Christian van,Netherlands,£700
219,221,"STERK, Andries",Netherlands,£700
219,221,"VOS,Gino",Belgium,£700
224,226,"NEWLAND,Robbie",England,£675
