Vorige Position,Aktuelle Position,,Name,Nationalität,Preisgeld
1,1,↔,"Taylor, Phil",England,£855.100
2,2,↔,"Lewis, Adrian",England,£383.800
3,3,↔,"Wade, James",England,£358.700
4,4,↔,"Anderson, Gary",Scotland,£314.300
5,5,↔,"Whitlock, Simon",Australia,£283.700
6,6,↔,"Webster, Mark",Wales,£237.400
7,7,↔,"Newton, Wesley",England,£215.400
8,8,↔,"Barneveld, Raymond van",Netherlands,£202.300
22,9,↑,"Painter, Kevin",England,£161.700
10,10,↔,"Jenkins, Terry",England,£151.200
11,11,↔,"Walsh, Mark",England,£150.500
16,12,↑,"Voort, Vincent van der",Netherlands,£140.700
14,13,↑,"Baxter, Ronnie",England,£140.100
15,14,↑,"Jones, Wayne",England,£138.600
13,15,↓,"Lloyd, Colin",England,£136.300
12,16,↓,"King, Mervyn",England,£132.000
17,17,↔,"Hamilton, Andy",England,£127.900
18,18,↔,"Caven, Jamie",England,£120.600
19,19,↔,"Ovens, Denis",England,£118.100
20,20,↔,"Smith, Andy",England,£116.700
9,21,↓,"Nicholson, Paul",Australia,£115.850
23,22,↑,"Stompé, Co",Netherlands,£103.000
21,23,↓,"Osborne, Colin",England,£102.700
24,24,↔,"Tabern, Alan",England,£96.300
26,25,↑,"Pipe, Justin",England,£90.500
29,26,↑,"Brown, Steve",England,£87.300
25,27,↓,"Dolan, Brendan",N.-Ireland,£87.200
27,28,↓,"Part, John",Canada,£86.800
30,29,↑,"Wright, Peter",Scotland,£82.900
28,30,↓,"Beaton, Steve",England,£79.800
31,31,↔,"Thornton, Robert",Scotland,£75.400
32,32,↔,"Dudbridge, Mark",England,£69.500
35,33,↑,"Hylton, Mark",England,£66.900
37,34,↑,"Burnett, Richie",Wales,£66.000
33,35,↓,"Klaasen, Jelle",Netherlands,£65.200
36,36,↔,"Bates, Barrie",Wales,£63.300
34,37,↓,"Priestley, Dennis",England,£61.650
39,38,↑,"Chisnall,Dave",England,£59.600
38,39,↓,"Gerwen, Michael van",Netherlands,£55.700
40,40,↔,"Farmer, Steve",England,£47.700
42,41,↑,"McDine, Kevin",England,£45.700
41,42,↓,"Eccles, Tony",England,£44.500
51,43,↑,"Rand, Scott",England,£42.000
45,44,↑,"Henderson,John",Scotland,£38.200
43,45,↓,"Shepherd, Kirk",England,£37.100
46,46,↔,"Heydon, Nigel",England,£34.600
44,47,↓,"Hine, Steve",England,£32.900
47,48,↓,"Maish, Steve",England,£30.950
48,49,↓,"Scholten, Roland",Netherlands,£30.800
49,50,↓,"Smith, Dennis",England,£30.500
50,51,↓,"Suljovic, Mensur",Austria,£30.300
52,52,↔,"Cullen, Joe",England,£24.500
53,53,↔,"Roy, Alex",England,£24.000
54,54,↔,"Artut, Jyhan",Germany,£22.200
55,55,↔,"Clark, Matt",England,£21.700
55,55,↔,"O'Connor, William",Ireland,£21.700
57,57,↔,"Evans, Steve",Wales,£21.600
57,57,↔,"Thompson, Chris",England,£21.600
59,59,↔,"Alcinas, Antonio",Spain,£21.100
60,60,↔,"Ayres, Tony",England,£21.000
61,61,↔,"Smith, Michael",England,£20.800
62,62,↔,"Jenkins, Andy",England,£20.000
64,63,↑,"Welge, Andree",Germany,£18.900
65,64,↑,"Young, Darin",USA,£18.700
66,65,↑,"White, Ian",England,£17.500
63,66,↓,"Manley, Peter",England,£16.100
67,66,↑,"Johnson, Darren",England,£16.100
68,68,↔,"Roith, Bernd",Germany,£14.700
69,69,↔,"Huybrechts,Kim",Belgium,£14.100
70,70,↔,"Frost, Mark",England,£14.000
70,70,↔,"Monk, Colin",England,£14.000
72,72,↔,"Mardle, Wayne",England,£13.800
73,73,↔,"Fullwell, Nick",England,£12.400
74,74,↔,"Caris, Magnus",Sweden,£12.300
75,75,↔,"Monk, Arron",England,£11.800
76,76,↔,"O'Neill, Aodhagan",Ireland,£11.400
77,77,↔,"Mawson, Gary",USA,£11.100
78,78,↔,"Duo, Dylan",Gibraltar,£10.000
78,78,↔,"MacNeil, Ken",Canada,£10.000
80,80,↔,"Barnard, Michael",England,£9.800
81,81,↔,"Atwood, Wayne",Wales,£9.600
82,82,↔,"Magowan, John",N.-Ireland,£9.100
83,83,↔,"Padgett, Matt",England,£8.800
84,84,↔,"Gray, Adrian",England,£8.700
85,85,↔,"Richardson,James",England,£8.600
86,86,↔,"McGowan, Mick",Ireland,£8.300
87,87,↔,"Rodriguez, Carlos",Spain,£7.900
88,88,↔,"Griffiths,Shaun",England,£7.600
89,89,↔,"Seyler, Tomas",Germany,£7.500
90,90,↔,"Mansell,Micky",N.-Ireland,£7.000
91,91,↔,"Blundell, Louis",England,£6.800
92,92,↔,"Turner, Martyn",England,£6.700
93,93,↔,"Aubrey,Chris",England,£6.400
94,94,↔,"Smith, Dave",England,£6.300
95,95,↔,"Hudson, Peter",England,£6.200
96,96,↔,"Edgar,Matthew",England,£6.000
97,97,↔,"Welding, Gary",England,£5.900
98,98,↔,"Hardy, Stephen",England,£5.400
99,99,↔,"Lawrence, Mark",England,£5.200
99,99,↔,"Woods,Brian",England,£5.200
101,101,↔,"Robinson,Reece",England,£5.000
101,101,↔,"Temple, Terry",England,£5.000
103,103,↔,"Rosenauer, Michael",Germany,£4.800
104,104,↔,"Michael, John",Greece,£4.700
105,105,↔,"Ladley, Dave",England,£4.300
106,106,↔,"Michels, Mareno",Netherlands,£4.200
106,106,↔,"O'Connor,Shane",Ireland,£4.200
108,108,↔,"Jiwa,Prakash",India,£3.800
108,108,↔,"Jones, Mark",England,£3.800
108,108,↔,Todd.Mick,England,£3.800
111,111,↔,"Grubb, Steve",England,£3.700
112,112,↔,"Dowling, Kevin",England,£3.500
113,113,↔,"Parody, Dyson",Gibraltar,£3.400
114,114,↔,"Smith-Neale,Adam",England,£3.200
115,115,↔,"Stephenson, Mark",England,£3.100
116,116,↔,"Petersen,Devon",RSA,£3.000
117,117,↔,"Rijk, van de Kurt",Belgium,£2.600
118,118,↔,"Clark, Jason",Scotland,£2.400
118,118,↔,"Honey, Dave",England,£2.400
120,120,↔,"Brown,Andy",England,£2.000
120,120,↔,"Laursen, Per",Denmark,£2.000
120,120,↔,"Riihonen, Par",Sweden,£2.000
123,123,↔,"Jackson,Matt",England,£1.800
123,123,↔,"Whittingham,Darren",England,£1.800
125,125,↔,"Crawley,Jason",England,£1.600
125,125,↔,"Hunt,Adam",England,£1.600
125,125,↔,"Hutchings, Andy",England,£1.600
125,125,↔,"Maes, Rocco",Belgium,£1.600
129,129,↔,"Jopling, Ian",England,£1.400
129,129,↔,"Kantele, Marko",Finland,£1.400
129,129,↔,"Mann, Jimmy",England,£1.400
132,132,↔,"Bache,Nick",England,£1.200
132,132,↔,"Whitworth, Geoff",England,£1.200
134,134,↔,"Bezzeg, Nandor",Hungary,£1.000
134,134,↔,"Birch, Nigel",England,£1.000
134,134,↔,"Burt, Simon",England,£1.000
134,134,↔,"Eastwood, Gary",England,£1.000
134,134,↔,"O'Shea,John",Ireland,£1.000
134,134,↔,"Rowley, Paul",England,£1.000
134,134,↔,"Tremblay,Norman",Canada,£1.000
141,141,↔,"Davey,Bruce",Canada,£800
141,141,↔,"Dobson, Kenny",England,£800
141,141,↔,"Krcmar,Boris",Croatia,£800
141,141,↔,"Munch,Kevin",Germany,£800
145,145,↔,"Eijden,Van Remco",Netherlands,£600
145,145,↔,"Hoffmann, Jann",Denmark,£600
145,145,↔,"Okken,Johnny",Netherlands,£600
145,145,↔,"Sinnaeve,Robert",Canada,£600
145,145,↔,"Smith,Jeff",Canada,£600
145,145,↔,"Snook,Ross",Canada,£600
145,145,↔,"Viinikka,Veijo",Finland,£600
152,152,↔,"Adler,Jonas",Switzerland,£400
152,152,↔,"Bolitho,Adrian",England,£400
152,152,↔,"Bulen,Patrick",Belgium,£400
152,152,↔,"Cameron,Dave",Canada,£400
152,152,↔,"Clifford,Darren",Ireland,£400
152,152,↔,"Coyne,David",Ireland,£400
152,152,↔,"Davis, Bill",USA,£400
152,152,↔,"Glidden,Garry",Canada,£400
152,152,↔,"Harrington,Ryan",England,£400
152,152,↔,"Hendriks, Jerry",Netherlands,£400
152,152,↔,"Holmes,Nick",Canada,£400
152,152,↔,"Hopic, Ruzdya",Netherlands,£400
152,152,↔,"Jasinski,Russell",USA,£400
152,152,↔,"Kehoe, Kieran",Ireland,£400
152,152,↔,"Kelliher,Jamie",Ireland,£400
152,152,↔,"Langendorf,Maik",Austria,£400
152,152,↔,"Lauby II, Dan",USA,£400
152,152,↔,"Long,Jim",Canada,£400
152,152,↔,"Meijden, van der Gilbert",Netherlands,£400
152,152,↔,"Molyneux,Pat",Ireland,£400
152,152,↔,"Palfreyman,Lee",England,£400
152,152,↔,"Pearce, Andy",England,£400
152,152,↔,"Quinn,Peter",Ireland,£400
152,152,↔,"Relf, Andy",England,£400
152,152,↔,"Renkema,Erwin",Netherlands,£400
152,152,↔,"Restovic,Tonci",Croatia,£400
152,152,↔,"Rice, Colin",Germany,£400
152,152,↔,"Scutt,Chris",Canada,£400
152,152,↔,"Tremblay,Martin",Canada,£400
152,152,↔,"Wagner,Robert",Austria,£400
182,182,↔,"Allen, Sam",England,£200
182,182,↔,"Archer, Jon",England,£200
182,182,↔,"Atkins, Jamie",England,£200
182,182,↔,"Barlow,Jayson",Canada,£200
182,182,↔,"Biemans, Bobby",Netherlands,£200
182,182,↔,"Bolduc,Paul",Canada,£200
182,182,↔,"Brenneman,Shawn",Canada,£200
182,182,↔,"Brown,Stuart",Canada,£200
182,182,↔,"Byrne,Joe",Ireland,£200
182,182,↔,"Byrne,Stephen",Ireland,£200
182,182,↔,"Carlson,Paul",Canada,£200
182,182,↔,"Claydon,Darrell",England,£200
182,182,↔,"Collins,Augustus",Canada,£200
182,182,↔,"Corner,Richie",England,£200
182,182,↔,"Dowdall,John-Paul",,£200
182,182,↔,"Dragstra,Wayne",Canada,£200
182,182,↔,"Duivenbode, van Dirk",Netherlands,£200
182,182,↔,"Fick,Wayne",Canada,£200
182,182,↔,"Gibson,Bill",Canada,£200
182,182,↔,"Gorjup,Gregor",Slovenia,£200
182,182,↔,"Harrington,Todd",USA,£200
182,182,↔,"Henderson,John",Canada,£200
182,182,↔,"Herlihy,John",Ireland,£200
182,182,↔,"Herrington,Ryan",England,£200
182,182,↔,"Hewetson,Pete",Canada,£200
182,182,↔,"Hibbert,Andrew",England,£200
182,182,↔,"Holland,Stephen",,£200
182,182,↔,"Hope,Tim",England,£200
182,182,↔,"Hurley,Mark",Ireland,£200
182,182,↔,"Jackson,Campbell",N.-Ireland,£200
182,182,↔,"Jones,Dean",England,£200
182,182,↔,"Jones,Simon",England,£200
182,182,↔,"Kallinger,Christian",Austria,£200
182,182,↔,"Kavanagh,Jason",Ireland,£200
182,182,↔,"Kelly,Robert",Ireland,£200
182,182,↔,"Knoops,Wichard",Netherlands,£200
182,182,↔,"Kruger,Christian",Germany,£200
182,182,↔,"Kuczynski,John",USA,£200
182,182,↔,"Latimer,Dennis",Canada,£200
182,182,↔,"Lim,Paul",USA,£200
182,182,↔,"Logan,Gobby",Canada,£200
182,182,↔,"Luck,Stefanie",Germany,£200
