Aktuelle Position,Name,Preisgeld
1,Michael Smith,"£1,271,250"
2,Michael van Gerwen,"£1,107,250"
3,Luke Humphries,"£1,045,500"
4,Peter Wright,"£996,250"
5,Gerwyn Price,"£662,250"
6,Nathan Aspinall,"£647,500"
7,Danny Noppert,"£537,750"
8,Rob Cross,"£525,500"
9,Jonny Clayton,"£490,000"
10,Damon Heta,"£468,250"
11,Dave Chisnall,"£464,500"
12,Dirk van Duijvenbode,"£458,750"
13,James Wade,"£434,000"
14,Joe Cullen,"£430,750"
15,Dimitri Van den Bergh,"£408,000"
16,Ross Smith,"£371,000"
17,Chris Dobey,"£363,750"
18,Stephen Bunting,"£351,250"
19,Ryan Searle,"£344,750"
20,Andrew Gilding,"£343,000"
21,Gary Anderson,"£332,250"
22,Gabriel Clemens,"£321,000"
23,Josh Rock,"£309,500"
24,Krzysztof Ratajski,"£288,500"
25,Jose de Sousa,"£284,000"
26,Martin Schindler,"£282,750"
27,Daryl Gurney,"£259,250"
28,Brendan Dolan,"£224,000"
29,Raymond van Barneveld,"£210,500"
30,Callan Rydz,"£205,750"
31,Kim Huybrechts,"£196,750"
32,Madars Razma,"£158,250"
33,Luke Woodhouse,"£157,750"
34,Alan Soutar,"£153,500"
35,Ryan Joyce,"£151,250"
36,Martin Lukeman,"£148,500"
37,Mike De Decker,"£139,000"
38,William O’Connor,"£138,250"
39,Ricardo Pietreczko,"£132,250"
40,Mervyn King,"£131,750"
41,Keane Barry,"£128,500"
42,Vincent van der Voort,"£122,000"
43,Simon Whitlock,"£120,250"
44,Adrian Lewis,"£116,250"
45,Gian van Veen,"£115,000"
46,Martijn Kleermaker,"£115,000"
47,Jim Williams,"£112,750"
48,Rowby-John Rodriguez,"£111,500"
49,Steve Beaton,"£111,250"
50,Mensur Suljovic,"£109,000"
51,Jermaine Wattimena,"£106,000"
52,Scott Williams,"£105,750"
53,Ricky Evans,"£105,500"
54,Ryan Meikle,"£102,000"
55,Ian White,"£98,250"
56,Ritchie Edhouse,"£97,000"
57,Matt Campbell,"£88,250"
58,Steve Lennon,"£88,000"
59,Florian Hempel,"£86,750"
60,Adam Gawlas,"£86,500"
61,Boris Krcmar,"£84,250"
62,Jamie Hughes,"£83,750"
63,Cameron Menzies,"£79,500"
64,Mickey Mansell,"£78,500"
65,Nathan Rafferty,"£69,250"
66,Kevin Doets,"£68,500"
67,Mario Vandenbogaerde,"£67,500"
68,Danny Jansen,"£59,250"
69,Radek Szaganski,"£59,000"
70,Darius Labanauskas,"£58,750"
71,Connor Scutt,"£55,250"
72,Lewy Williams,"£55,250"
73,Jeff Smith,"£50,250"
74,Scott Waites,"£49,500"
75,Richie Burnett,"£48,500"
76,John O’Shea,"£47,750"
77,Joe Murnan,"£47,000"
78,Ted Evetts,"£43,500"
79,Richard Veenstra,"£42,500"
80,Jules van Dongen,"£38,500"
81,George Killington,"£38,500"
82,Brian Raman,"£36,750"
83,Niels Zonneveld,"£36,500"
84,Jimmy Hendriks,"£36,500"
85,Devon Petersen,"£36,500"
86,Bradley Brooks,"£35,750"
87,Jose Justicia,"£35,500"
88,Dylan Slevin,"£35,250"
89,Rusty-Jake Rodriguez,"£34,250"
90,Krzysztof Kciuk,"£32,500"
91,Christian Kist,"£31,250"
92,Lee Evans,"£30,000"
93,Maik Kuivenhoven,"£29,750"
94,James Wilson,"£28,750"
95,Stowe Buntz,"£28,500"
96,Jeffrey de Zwaan,"£28,500"
97,Stephen Burton,"£27,250"
98,Daniel Klose,"£26,000"
99,Ross Montgomery,"£25,250"
100,Keegan Brown,"£25,250"
101,Chris Landman,"£24,250"
102,Tony Martinez,"£23,500"
103,Shaun Wilkinson,"£22,500"
104,Andy Boulton,"£22,250"
105,Karel Sedlacek,"£22,000"
106,Damian Mol,"£21,250"
107,Berry van Peer,"£20,750"
108,Arron Monk,"£20,000"
109,Jurjen van der Velde,"£19,750"
110,Luc Peters,"£18,500"
111,Robert Owen,"£18,000"
112,Jeffrey Sparidaans,"£18,000"
113,Pascal Rupprecht,"£18,000"
114,Cam Crabtree,"£17,000"
115,Kevin Burness,"£16,750"
116,Jamie Clark,"£16,000"
117,Graham Usher,"£15,750"
118,Josh Payne,"£15,500"
119,Graham Hall,"£15,500"
120,Darren Webster,"£15,000"
121,Owen Bates,"£14,000"
122,Nick Kenny,"£13,750"
123,Adam Smith-Neale,"£13,750"
124,Geert Nentjes,"£13,500"
125,Wesley Plaisier,"£13,250"
126,Darryl Pilgrim,"£12,750"
127,Ronny Huybrechts,"£12,250"
128,Dom Taylor,"£11,250"
129,Owen Roelofs,"£11,000"
130,Nick Fullwell,"£10,250"
131,Adam Warner,"£10,000"
132,Danny van Trijp,"£9,500"
133,Vladimir Andersen,"£9,500"
134,Jelle Klaasen,"£9,000"
135,Robbie Knops,"£8,750"
136,Beau Greaves,"£8,000"
137,Fallon Sherrock,"£8,000"
138,Callum Goffin,"£7,750"
139,Nico Kurz,"£7,750"
140,Stefan Bellmont,"£7,500"
141,Liam Maendl-Lawrance,"£7,500"
142,John Henderson,"£7,250"
143,Robert Grundy,"£7,000"
144,Niko Springer,"£6,500"
145,Marko Kantele,"£6,250"
146,Thibault Tricole,"£6,000"
147,Danny Lauby,"£5,500"
148,Martijn Dragt,"£5,250"
149,Haruki Muramatsu,"£5,000"
150,Nathan Girvan,"£5,000"
151,Vitezslav Sedlak,"£5,000"
152,Scott Mitchell,"£4,750"
153,Jacques Labre,"£4,750"
154,Lukas Wenig,"£4,750"
155,James Hurrell,"£4,250"
156,Andy Baetens,"£4,000"
157,Patrik Kovacs,"£3,750"
158,Roman Benecky,"£3,750"
159,Dalibor Smolik,"£3,750"
160,Roy van de Griendt,"£3,250"
161,Jarred Cole,"£3,000"
162,Christian Perez,"£3,000"
163,Ron Meulenkamp,"£2,750"
164,Jeffrey de Graaf,"£2,500"
165,Anton Ostlund,"£2,500"
166,Nandor Major,"£2,500"
167,Sebastian Bialecki,"£2,500"
168,Dennis Nilsson,"£2,500"
169,Hannes Schnier,"£2,500"
