Date, Tournament, Rank, Winner_Name, Average
10/11/1992,PDC Lada UK Masters,2,Mike Gregory,
02/07/1993,Dutch Open,2,Alan Warriner-Little,
03/13/1993,PDC UK Matchplay,2,Dennis Priestley,
04/16/1993,PDC Samson Darts Classic,2,Bob Anderson,
05/30/1993,Finnish Open,2,Alan Warriner-Little,
11/15/1993,PDC Lada UK Masters,2,Mike Gregory,
01/02/1994,World Championship,WC,Dennis Priestley,91.27
04/04/1994,Isle Of Man Open,2,Mick Manning,
04/10/1994,PDC UK Matchplay,2,Dennis Priestley,88.66
04/14/1994,Antwerp Open,U,Dennis Priestley,
06/30/1994,PDC Samson Darts Classic,2,Peter Evison,
07/29/1994,World Matchplay,MJ,Larry Butler,
11/15/1994,PDC Lada UK Masters,2,Phil Taylor,
01/02/1995,World Championship,WC,Phil Taylor,90.28
04/10/1995,PDC UK Matchplay,2,Alan Warriner-Little,
04/14/1995,Antwerp Open,U,Dennis Priestley,
07/29/1995,World Matchplay,MJ,Phil Taylor,
10/15/1995,PDC World Pairs,U,,
01/02/1996,WDC National Pro Dart League,U,Dennis Smith,
01/02/1996,World Championship,WC,Phil Taylor,96.41
04/10/1996,PDC UK Matchplay,2,Phil Taylor,101.49
04/14/1996,Antwerp Open,U,Bob Anderson,
05/23/1996,Golden Harvest North American Cup,2,Dennis Priestley,
06/30/1996,Atlantic City Open,2,Alan Warriner-Little,
06/30/1996,Gem City Open,2,Dennis Priestley,
07/29/1996,World Matchplay,MJ,Peter Evison,
10/15/1996,PDC World Pairs,U,,
11/20/1996,Sunparks Masters,2,Phil Taylor,
01/05/1997,World Championship,WC,Phil Taylor,94.28
04/14/1997,Antwerp Open,U,Phil Taylor,
05/23/1997,Golden Harvest North American Cup,2,Rod Harrington,96.75
06/07/1997,News of the World Tournament,U,Phil Taylor,
06/30/1997,PDC Scottish Masters,2,Alan Warriner-Little,
07/29/1997,World Matchplay,MJ,Phil Taylor,
10/15/1997,PDC World Pairs,U,,
01/04/1998,World Championship,WC,Phil Taylor,97.18
02/08/1998,Dutch Open,2,Alan Warriner-Little,
03/22/1998,German Open,2,Alan Warriner-Little,
04/14/1998,Antwerp Open,U,Phil Taylor,
05/23/1998,Golden Harvest North American Cup,2,Rod Harrington,
06/07/1998,England Open,2,Alan Warriner-Little,
06/14/1998,Swiss Open,2,Rod Harrington,
06/30/1998,Calgary Golden Harvest,2,Rod Harrington,
07/29/1998,World Matchplay,MJ,Rod Harrington,
08/30/1998,Denmark Open,2,Rod Harrington,
10/04/1998,Swedish Open,2,Raymond van Barneveld,
10/18/1998,World Grand Prix,MJ,Phil Taylor,94.85
01/02/1999,World Championship,WC,Phil Taylor,99.94
03/21/1999,German Open,2,Steve Coote,
04/14/1999,Antwerp Open,U,Mervyn King,
05/23/1999,Golden Harvest North American Cup,2,Rod Harrington,
06/26/1999,England Open,2,Peter Manley,
06/30/1999,Cleveland Darts Extraveganza,2,Alan Warriner-Little,
06/30/1999,Scania Open,2,Martin Adams,
07/29/1999,World Matchplay,MJ,Rod Harrington,85.95
10/18/1999,World Grand Prix,MJ,Phil Taylor,94.08
11/14/1999,Jersey Festival Of Darts,2,Phil Taylor,
01/04/2000,World Championship,WC,Phil Taylor,102.5
01/30/2000,Lancashire Open,2,Les Fitton,
02/06/2000,Las Vegas Open,2,Mark Goodwin,
02/06/2000,PDC Eastbourne Open,2,John Part,
02/20/2000,Scottish Open,2,Bob Aldous,
02/27/2000,Irish Masters,2,Chris Mason,
03/12/2000,Isle Of Man Open,2,Ronnie Baxter,
03/19/2000,German Open,2,Shayne Burgess,
04/23/2000,Antwerp Open,2,Jamie Harvey,
05/14/2000,Le Skratch Montreal Open,2,Peter Manley,
05/21/2000,Golden Harvest North American Cup,2,Phil Taylor,102.39
05/29/2000,Welsh Open,2,John Walton,
06/04/2000,Swiss Open,2,Raymond van Barneveld,100.89
06/25/2000,England Open,2,Andy Jenkins,
06/30/2000,PDC Northern Ireland Open,2,Shayne Burgess,
07/29/2000,World Matchplay,MJ,Phil Taylor,99.47
08/13/2000,North American Open,2,Luis Martinez,
08/27/2000,Denmark Open,2,Martin Adams,
09/24/2000,Windy City Open,2,Dave Askew,
10/18/2000,World Grand Prix,MJ,Phil Taylor,92.78
11/03/2000,Jersey Festival Of Darts,2,Alan Warriner-Little,
11/18/2000,Witch City Open,2,Alan Warriner-Little,
11/19/2000,Boston Pro,2,Alan Warriner-Little,
11/20/2000,Sunparks Masters,2,Martin Adams,
11/26/2000,Vauxhall Autumn Open,2,Andy Jenkins,
01/03/2001,World Championship,WC,Phil Taylor,100.89
02/03/2001,Eastbourne Pro,1,Keith Deller,
