Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
,,,Philippinen,Rechtshänder,,Alain Abiabi,Abiabi A.
04.07.1956,1981,1988,England,Rechtshänder,Engraved Datadart M3 22g,Martin Adams,Adams M.
06.11.1967,,,Südafrika,Rechtshänder,,Simon Adams,Adams S.
05.01.1994,,,Ungarn,Rechtshänder,,Tamás Alexits,Alexits T.
25.03.1978,2018,,England,Rechtshänder,Adrian Lewis Gen 1,Antony Allen,Allen A.
08.09.1991,2014,,Deutschland,Rechtshänder,Evo Darts,Robert Allenstein,Allenstein R.
17.12.1993,2018,,Deutschland,Rechtshänder,Josh Rock 22g,Marcel Althaus,Althaus M.
27.02.1991,,,Portugal,Rechtshänder,,Luis Ameixa,Ameixa L.
24.04.1989,2003,2022,Dänemark,Rechtshänder,21g,Vladimir Andersen,Andersen V.
25.12.1982,1991,,Australien,Rechtshänder,21g Tigers,Beau Anderson,Anderson B.
07.11.1947,,,England,,,Bob Anderson,Anderson B.
22.12.1970,1995,2006,Schottland,Rechtshänder,Unicorn Maestro Phase 3 23g,Gary Anderson,Anderson G.
,1993,2006,Australien,Rechtshänder,Shot Darts 23g,Kyle Anderson,Anderson K.
03.12.1999,2018,,Deutschland,Rechtshänder,One80 JetStream Stealth 23g,Jonas Aplowski,Aplowski J.
16.12.1968,1995,,Südafrika,Rechtshänder,22g Unicorn,Nolan Arendse,Arendse N.
09.10.1976,,2012,Deutschland,Rechtshänder,,Jyhan Artut,Artut J.
06.03.1980,,2012,Japan,Rechtshänder,19g,Seigo Asada,Asada S.
03.04.1963,1980er,,England,Rechtshänder,19g Phil Taylor,Dave Askew,Askew D.
14.10.1984,,,England,Rechtshänder,,Jason Askew,Askew J.
15.07.1991,,2012,England,Rechtshänder,Target 27g,Nathan Aspinall,Aspinall N.
27.04.1988,2009,,England,Rechtshänder,Target 23g,Jamie Atkins,Atkins J.
24.12.1965,1983,2002,England,Rechtshänder,Red Dragon Martin Atkins 24g,Martin Atkins,Atkins M.
,2015,,England,Rechtshänder,Winmau 23g,Daniel Ayres,Ayres D.
03.10.1995,,,Japan,Rechtshänder,TIGA Darts 21g,Ryusei Azemoto,Azemoto R.
15.09.1987,,,Japan,Rechtshänder,Cosmo Yoshihisa Baba Signature Model,Yoshihisa Baba,Baba Y.
,,,Belgien,Rechtshänder,,Patrick De Backer,De Backer P.
