Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,0-1,,501,443,0,58,Anderson G.,Smith R.
1,0-1,,321,443,180,0,Anderson G.,Smith R.
2,0-1,,321,386,0,57,Anderson G.,Smith R.
3,0-1,,181,386,140,0,Anderson G.,Smith R.
4,0-1,,181,246,0,140,Anderson G.,Smith R.
5,0-1,,122,246,59,0,Anderson G.,Smith R.
6,0-1,,122,106,0,140,Anderson G.,Smith R.
7,0-1,,84,106,38,0,Anderson G.,Smith R.
0,0-2,VERLORENER ANWURF Home,401,501,100,0,Anderson G.,Smith R.
1,0-2,VERLORENER ANWURF Home,401,420,0,81,Anderson G.,Smith R.
2,0-2,VERLORENER ANWURF Home,344,420,57,0,Anderson G.,Smith R.
3,0-2,VERLORENER ANWURF Home,344,324,0,96,Anderson G.,Smith R.
4,0-2,VERLORENER ANWURF Home,244,324,100,0,Anderson G.,Smith R.
5,0-2,VERLORENER ANWURF Home,244,144,0,180,Anderson G.,Smith R.
6,0-2,VERLORENER ANWURF Home,64,144,180,0,Anderson G.,Smith R.
7,0-2,VERLORENER ANWURF Home,64,18,0,126,Anderson G.,Smith R.
8,0-2,VERLORENER ANWURF Home,20,18,44,0,Anderson G.,Smith R.
0,1-2,VERLORENER ANWURF Away,501,408,0,93,Anderson G.,Smith R.
1,1-2,VERLORENER ANWURF Away,367,408,134,0,Anderson G.,Smith R.
2,1-2,VERLORENER ANWURF Away,367,351,0,57,Anderson G.,Smith R.
3,1-2,VERLORENER ANWURF Away,230,351,137,0,Anderson G.,Smith R.
4,1-2,VERLORENER ANWURF Away,230,230,0,121,Anderson G.,Smith R.
5,1-2,VERLORENER ANWURF Away,130,230,100,0,Anderson G.,Smith R.
6,1-2,VERLORENER ANWURF Away,130,90,0,140,Anderson G.,Smith R.
7,1-2,VERLORENER ANWURF Away,36,90,94,0,Anderson G.,Smith R.
8,1-2,VERLORENER ANWURF Away,36,46,0,44,Anderson G.,Smith R.
0,2-2,,401,501,100,0,Anderson G.,Smith R.
1,2-2,,401,401,0,100,Anderson G.,Smith R.
2,2-2,,261,401,140,0,Anderson G.,Smith R.
3,2-2,,261,221,0,180,Anderson G.,Smith R.
4,2-2,,170,221,91,0,Anderson G.,Smith R.
5,2-2,,170,136,0,85,Anderson G.,Smith R.
6,2-2,,72,136,98,0,Anderson G.,Smith R.
7,2-2,,72,101,0,35,Anderson G.,Smith R.
0,2-3,,501,321,0,180,Anderson G.,Smith R.
1,2-3,,460,321,41,0,Anderson G.,Smith R.
2,2-3,,460,181,0,140,Anderson G.,Smith R.
3,2-3,,363,181,97,0,Anderson G.,Smith R.
4,2-3,,363,51,0,130,Anderson G.,Smith R.
5,2-3,,268,51,95,0,Anderson G.,Smith R.
6,2-3,,268,16,0,35,Anderson G.,Smith R.
7,2-3,,185,16,83,0,Anderson G.,Smith R.
0,3-3,,401,501,100,0,Anderson G.,Smith R.
1,3-3,,401,327,0,174,Anderson G.,Smith R.
2,3-3,,301,327,100,0,Anderson G.,Smith R.
3,3-3,,301,286,0,41,Anderson G.,Smith R.
4,3-3,,241,286,60,0,Anderson G.,Smith R.
5,3-3,,241,190,0,96,Anderson G.,Smith R.
6,3-3,,144,190,97,0,Anderson G.,Smith R.
7,3-3,,144,130,0,60,Anderson G.,Smith R.
8,3-3,,22,130,122,0,Anderson G.,Smith R.
9,3-3,,22,25,0,105,Anderson G.,Smith R.
0,3-4,,501,321,0,180,Anderson G.,Smith R.
