Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,1-0,,376,501,125,0,Humphries L.,Clayton J.
1,1-0,,376,441,0,60,Humphries L.,Clayton J.
2,1-0,,276,441,100,0,Humphries L.,Clayton J.
3,1-0,,276,396,0,45,Humphries L.,Clayton J.
4,1-0,,161,396,115,0,Humphries L.,Clayton J.
5,1-0,,161,296,0,100,Humphries L.,Clayton J.
6,1-0,,56,296,105,0,Humphries L.,Clayton J.
7,1-0,,56,236,0,60,Humphries L.,Clayton J.
8,1-0,,40,236,16,0,Humphries L.,Clayton J.
9,1-0,,40,154,0,82,Humphries L.,Clayton J.
0,1-1,,501,401,0,100,Humphries L.,Clayton J.
1,1-1,,406,401,95,0,Humphries L.,Clayton J.
2,1-1,,406,261,0,140,Humphries L.,Clayton J.
3,1-1,,266,261,140,0,Humphries L.,Clayton J.
4,1-1,,266,161,0,100,Humphries L.,Clayton J.
5,1-1,,167,161,99,0,Humphries L.,Clayton J.
6,1-1,,167,25,0,136,Humphries L.,Clayton J.
7,1-1,,74,25,93,0,Humphries L.,Clayton J.
0,1-2,VERLORENER ANWURF Home,441,501,60,0,Humphries L.,Clayton J.
1,1-2,VERLORENER ANWURF Home,441,441,0,60,Humphries L.,Clayton J.
2,1-2,VERLORENER ANWURF Home,301,441,140,0,Humphries L.,Clayton J.
3,1-2,VERLORENER ANWURF Home,301,301,0,140,Humphries L.,Clayton J.
4,1-2,VERLORENER ANWURF Home,243,301,58,0,Humphries L.,Clayton J.
5,1-2,VERLORENER ANWURF Home,243,201,0,100,Humphries L.,Clayton J.
6,1-2,VERLORENER ANWURF Home,147,201,96,0,Humphries L.,Clayton J.
7,1-2,VERLORENER ANWURF Home,147,24,0,177,Humphries L.,Clayton J.
8,1-2,VERLORENER ANWURF Home,24,24,123,0,Humphries L.,Clayton J.
0,1-0,VERLORENER ANWURF Away,501,460,0,41,Clayton J.,Van den Bergh D.
1,1-0,VERLORENER ANWURF Away,361,460,140,0,Clayton J.,Van den Bergh D.
2,1-0,VERLORENER ANWURF Away,361,364,0,96,Clayton J.,Van den Bergh D.
3,1-0,VERLORENER ANWURF Away,316,364,45,0,Clayton J.,Van den Bergh D.
4,1-0,VERLORENER ANWURF Away,316,264,0,100,Clayton J.,Van den Bergh D.
5,1-0,VERLORENER ANWURF Away,232,264,84,0,Clayton J.,Van den Bergh D.
6,1-0,VERLORENER ANWURF Away,232,124,0,140,Clayton J.,Van den Bergh D.
7,1-0,VERLORENER ANWURF Away,177,124,55,0,Clayton J.,Van den Bergh D.
8,1-0,VERLORENER ANWURF Away,177,64,0,60,Clayton J.,Van den Bergh D.
9,1-0,VERLORENER ANWURF Away,40,64,137,0,Clayton J.,Van den Bergh D.
10,1-0,VERLORENER ANWURF Away,40,16,0,48,Clayton J.,Van den Bergh D.
0,2-0,,406,501,95,0,Clayton J.,Van den Bergh D.
1,2-0,,406,429,0,72,Clayton J.,Van den Bergh D.
2,2-0,,309,429,97,0,Clayton J.,Van den Bergh D.
3,2-0,,309,290,0,139,Clayton J.,Van den Bergh D.
4,2-0,,170,290,139,0,Clayton J.,Van den Bergh D.
5,2-0,,170,232,0,58,Clayton J.,Van den Bergh D.
6,2-0,,110,232,60,0,Clayton J.,Van den Bergh D.
7,2-0,,110,92,0,140,Clayton J.,Van den Bergh D.
8,2-0,,16,92,94,0,Clayton J.,Van den Bergh D.
9,2-0,,16,25,0,67,Clayton J.,Van den Bergh D.
0,0-1,VERLORENER ANWURF Home,401,501,100,0,Humphries L.,Noppert D.
1,0-1,VERLORENER ANWURF Home,401,441,0,60,Humphries L.,Noppert D.
2,0-1,VERLORENER ANWURF Home,301,441,100,0,Humphries L.,Noppert D.
3,0-1,VERLORENER ANWURF Home,301,301,0,140,Humphries L.,Noppert D.
4,0-1,VERLORENER ANWURF Home,204,301,97,0,Humphries L.,Noppert D.
5,0-1,VERLORENER ANWURF Home,204,121,0,180,Humphries L.,Noppert D.
6,0-1,VERLORENER ANWURF Home,108,121,96,0,Humphries L.,Noppert D.
7,0-1,VERLORENER ANWURF Home,108,68,0,53,Humphries L.,Noppert D.
8,0-1,VERLORENER ANWURF Home,32,68,76,0,Humphries L.,Noppert D.
9,0-1,VERLORENER ANWURF Home,32,4,0,64,Humphries L.,Noppert D.
10,0-1,VERLORENER ANWURF Home,8,4,24,0,Humphries L.,Noppert D.
0,0-2,,501,401,0,100,Humphries L.,Noppert D.
1,0-2,,366,401,135,0,Humphries L.,Noppert D.
2,0-2,,366,341,0,60,Humphries L.,Noppert D.
3,0-2,,306,341,60,0,Humphries L.,Noppert D.
4,0-2,,306,241,0,100,Humphries L.,Noppert D.
5,0-2,,210,241,96,0,Humphries L.,Noppert D.
6,0-2,,210,101,0,140,Humphries L.,Noppert D.
7,0-2,,70,101,140,0,Humphries L.,Noppert D.
0,1-0,,476,501,25,0,Van den Bergh D.,Aspinall N.
1,1-0,,476,441,0,60,Van den Bergh D.,Aspinall N.
2,1-0,,361,441,115,0,Van den Bergh D.,Aspinall N.
