Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,1-0,,361,501,140,0,Littler L.,Wade J.
1,1-0,,361,420,0,81,Littler L.,Wade J.
2,1-0,,261,420,100,0,Littler L.,Wade J.
3,1-0,,261,280,0,140,Littler L.,Wade J.
4,1-0,,164,280,97,0,Littler L.,Wade J.
5,1-0,,88,120,76,160,Littler L.,Wade J.
0,2-0,VERLORENER ANWURF Away,501,401,0,100,Littler L.,Wade J.
1,2-0,VERLORENER ANWURF Away,456,401,45,0,Littler L.,Wade J.
2,2-0,VERLORENER ANWURF Away,456,261,0,140,Littler L.,Wade J.
3,2-0,VERLORENER ANWURF Away,316,261,140,0,Littler L.,Wade J.
4,2-0,VERLORENER ANWURF Away,316,216,0,45,Littler L.,Wade J.
5,2-0,VERLORENER ANWURF Away,136,216,180,0,Littler L.,Wade J.
6,2-0,VERLORENER ANWURF Away,136,76,0,140,Littler L.,Wade J.
7,2-0,VERLORENER ANWURF Away,91,76,45,0,Littler L.,Wade J.
8,2-0,VERLORENER ANWURF Away,91,16,0,60,Littler L.,Wade J.
0,3-0,,370,501,131,0,Littler L.,Wade J.
1,3-0,,370,401,0,100,Littler L.,Wade J.
2,3-0,,230,401,140,0,Littler L.,Wade J.
3,3-0,,230,305,0,96,Littler L.,Wade J.
4,3-0,,50,305,180,0,Littler L.,Wade J.
5,3-0,,50,207,0,98,Littler L.,Wade J.
0,4-0,VERLORENER ANWURF Away,501,441,0,60,Littler L.,Wade J.
1,4-0,VERLORENER ANWURF Away,361,441,140,0,Littler L.,Wade J.
2,4-0,VERLORENER ANWURF Away,361,341,0,100,Littler L.,Wade J.
3,4-0,VERLORENER ANWURF Away,221,341,140,0,Littler L.,Wade J.
4,4-0,VERLORENER ANWURF Away,221,258,0,83,Littler L.,Wade J.
5,4-0,VERLORENER ANWURF Away,41,258,180,0,Littler L.,Wade J.
6,4-0,VERLORENER ANWURF Away,41,118,0,140,Littler L.,Wade J.
7,4-0,VERLORENER ANWURF Away,20,118,21,0,Littler L.,Wade J.
8,4-0,VERLORENER ANWURF Away,20,19,0,99,Littler L.,Wade J.
9,4-0,VERLORENER ANWURF Away,20,19,0,0,Littler L.,Wade J.
10,4-0,VERLORENER ANWURF Away,20,8,0,11,Littler L.,Wade J.
11,4-0,VERLORENER ANWURF Away,5,8,15,0,Littler L.,Wade J.
12,4-0,VERLORENER ANWURF Away,5,8,0,0,Littler L.,Wade J.
0,5-0,,401,501,100,0,Littler L.,Wade J.
1,5-0,,401,406,0,95,Littler L.,Wade J.
2,5-0,,261,406,140,0,Littler L.,Wade J.
3,5-0,,261,310,0,96,Littler L.,Wade J.
4,5-0,,81,310,180,0,Littler L.,Wade J.
5,5-0,,81,267,0,43,Littler L.,Wade J.
6,5-0,,40,267,41,0,Littler L.,Wade J.
7,5-0,,40,208,0,59,Littler L.,Wade J.
0,6-0,VERLORENER ANWURF Away,501,441,0,60,Littler L.,Wade J.
1,6-0,VERLORENER ANWURF Away,361,441,140,0,Littler L.,Wade J.
2,6-0,VERLORENER ANWURF Away,361,341,0,100,Littler L.,Wade J.
3,6-0,VERLORENER ANWURF Away,261,341,100,0,Littler L.,Wade J.
4,6-0,VERLORENER ANWURF Away,261,281,0,60,Littler L.,Wade J.
5,6-0,VERLORENER ANWURF Away,81,281,180,0,Littler L.,Wade J.
6,6-0,VERLORENER ANWURF Away,81,181,0,100,Littler L.,Wade J.
7,6-0,VERLORENER ANWURF Away,12,181,69,0,Littler L.,Wade J.
8,6-0,VERLORENER ANWURF Away,12,82,0,99,Littler L.,Wade J.
0,7-0,,376,501,125,0,Littler L.,Wade J.
1,7-0,,376,442,0,59,Littler L.,Wade J.
2,7-0,,236,442,140,0,Littler L.,Wade J.
3,7-0,,236,302,0,140,Littler L.,Wade J.
4,7-0,,151,302,85,0,Littler L.,Wade J.
5,7-0,,151,229,0,73,Littler L.,Wade J.
6,7-0,,60,229,91,0,Littler L.,Wade J.
7,7-0,,60,170,0,59,Littler L.,Wade J.
