Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
06.12.1970,2001,,,,, Irina Armstrong,Armstrong I.
,2014,,England,Linkshänderin,, Lindsey Ashton,Ashton L.
27.08.1970,1999,2007,England,Rechtshänderin,Red Dragon Lisa Ashton 23g, Lisa Ashton,Ashton L.
16.11.1966,1995,,England,Rechtshänderin,24g Elkadart, Dee Bateman,Bateman D.
11.01.1980,1988,,,Rechtshänderin,24g Tungsten Davey Davey, Mieke de Boer,de Boer M.
,,,England,Rechtshänderin,, Sarah Brent,Brent S.
28.11.1989,2008,,England,Rechtshänderin,23g, Claire Brookin,Brookin C.
30.09.1963,2009,2012,Engländerin,Rechtshänderin,Puma Darts Legend 24g, Rachel Brooks,Brooks R.
04.05.1979,2014,2018,England,Rechtshänderin,22g, Roz Bulmer,Bulmer R.
,1990,,Schottland,Rechtshänderin,, Olive Byamukama ,Byamukama O.
23.05.1997,2001,,Irland,Rechtshänder,Winmau 23g, Robyn Byrne,Byrne R.
15.04.2004,,,England,Rechtshänderin,24g Phil Taylor Phase 1, Eleanor Cairns,Cairns E.
,,,Kanada,Rechtshänderin,, Maria Carli-Mason,Carli-Mason M.
14.03.1975,2015,,Tschechien,Rechtshänderin,, Jitka Cisarova,Cisarova J.
,,,England,Rechtshänderin,, Steph Clarke,Clarke S.
,2008,,England,Linkshänderin,, Jo Clements,Clements J.
28.09.1976,2002,,Norwegen,Rechtshänderin,22g Eric Bristow, Rachna David,David R.
25.04.1990,2007,2011,Niederlande,Rechtshänderin,Jelle Klaasen 25g, Aileen de Graaf,de Graaf A.
,,,England,Rechtshänderin,, Jane Densley,Densley J.
26.09.1984,1995,2008,Russland,Rechtshänderin,Unicorn World Champion Anastasia Signature Silver 22g, Anastasia Dobromyslova,Dobromyslova A.
28.02.1968,1988,,England,Rechtshänderin,Tungsten 22g, Sue Edwards,Edwards S.
04.11.1984,2004,,Niederlande,Rechtshänder,24g Winmau Signature, Rilana Erades,Erades R.
,1983,,Deutschland,Rechtshänderin,Powerpoints 26g, Heike Ernst,Ernst H.
11.08.1996,2017,,Spanien,Rechtshänderin,Mission Signature, Almudena Fajardo,Fajardo A.
,1982,,Kanada,Rechtshänderin,, Patricia Farrell,Farrell P.
01.01.2006,2017,,Italien,Rechtshänderin,Winmau 20g, Aurora Fochesato,Fochesato A.
25.04.1973,2009,,Schweden,Rechtshänderin,, Anna Forsmark,Forsmark A.
13.02.2009,,,Belgien,Rechtshänderin,, Jentl Fransen,Fransen J.
02.08.1996,2012,,England,Rechtshänderin,, Casey Gallagher,Gallagher C.
05.07.1983,2013,,England,Rechtshänderin,Superdarts Signature 23g, Natalie Gilbert,Gilbert N.
05.08.1958,2002,,Wales,Rechtshänder,25g, Julie Gore,Gore J.
09.01.2004,2014,,England,Rechtshänderin,One80 20g, Beau Greaves,Greaves B.
11.12.1980,2013,2013,Wales,Rechtshänderin,, Rhian Griffiths,Griffiths R.
30.11.1969,1983,1996,England,Rechtshänderin,Winmau 23g, Trina Gulliver,Gulliver T.
,,,Australien,Rechtshänderin,, Joanne Hadley,Hadley J.
18.02.1977,2006,,Australien,Rechtshänderin,Tungsten 25g Puma, Corrine Hammond,Hammond C.
05.01.1960,,,Neuseeland,Rechtshänderin,, Wendy Harper,Harper W.
28.09.1974,2007,,England,Rechtshänder,24g Mission, Amanda Harwood,Harwood A.
03.07.1993,2009,,England,Rechtshänderin,, Gemma Hayter,Hayter G.
14.11.1959,1973,,England,,One80 Deta Hedman 28g, Deta Hedman,Hedman D.
15.01.1965,1982,,Niederländerin,,Datadart, Francis Hoenselaar,Hoenselaar F.
,,,England,Rechtshänder,, Kim Holden,Holden K.
