Jahr,Austragungsort,Sieger,Ergebnis,Finalist,Gesamt,Sieger.1,Nationalität,Tournament
2019,"Multiversum, Schwechat",Mensur Suljović,8 : 7,Michael van Gerwen,0£ 140.000,0£ 25.000,Österreich,Austrian Darts Championship
2012,"Arena Nova, Wiener Neustadt",Justin Pipe,6 : 3,James Wade,0£ 82.100,0£ 15.000,England,Austrian Darts Open
2013,"Arena Nova, Wiener Neustadt",Michael van Gerwen,6 : 3,Mervyn King,0£ 100.000,0£ 20.000,Niederlande,Austrian Darts Open
2014,"Salzburgarena, Salzburg",Vincent van der Voort,6 : 5,Jamie Caven,0£ 100.000,0£ 20.000,Niederlande,Austrian Darts Open
2015,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,,Austrian Darts Open
2016,"Multiversum, Schwechat",Phil Taylor,6 : 4,Michael Smith,0£115.000,0£ 25.000,England,Austrian Darts Open
2017,"Multiversum, Schwechat",Michael van Gerwen,6 : 5,Michael Smith,0£ 135.000,0£ 25.000,Niederlande,Austrian Darts Open
2018,"Steiermarkhalle, Premstätten",Jonny Clayton,8 : 5,Gerwyn Price,0£ 135.000,0£ 25.000,Wales,Austrian Darts Open
2019,"Steiermarkhalle, Premstätten",Michael van Gerwen,8 : 7,Ian White,0£ 140.000,0£ 25.000,Niederlande,Austrian Darts Open
2020,"Steiermarkhalle, Premstätten",Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,,Austrian Darts Open
2021,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,,Austrian Darts Open
2022,"Steiermarkhalle, Premstätten",Michael van Gerwen,8 : 5,Danny Noppert,0£ 140.000,0£ 25.000,Niederlande,Austrian Darts Open
2023,"Steiermarkhalle, Premstätten",Jonny Clayton,8 : 6,Josh Rock,0£ 175.000,0£ 30.000,Wales,Austrian Darts Open
2024,"Steiermarkhalle, Premstätten",Luke Littler,8 : 4,Joe Cullen,0£ 175.000,0£ 30.000,England,Austrian Darts Open
2025,"Steiermarkhalle, Premstätten",,:,,0£ 175.000,0£ 30.000,,Austrian Darts Open
2023,"Wunderino Arena, Kiel",Dave Chisnall,8 : 5,Luke Humphries,0£ 175.000,0£ 30.000,England,Baltic Sea Darts Open
2024,"Wunderino Arena, Kiel",Rob Cross,8 : 6,Luke Humphries,0£ 175.000,0£ 30.000,England,Baltic Sea Darts Open
2025,"Wunderino Arena, Kiel",,:,,0£ 175.000,0£ 30.000,,Baltic Sea Darts Open
2020,"Ethias Arena, Hasselt",Gerwyn Price,8 : 3,Michael Smith,0£ 140.000,0£ 25.000,Wales,Belgian Darts Championship
2022,"Oktoberhallen, Lebbeke",Dave Chisnall,8 : 6,Andrew Gilding,0£ 140.000,0£ 25.000,England,Belgian Darts Open
2023,"Oktoberhallen, Lebbeke",Michael van Gerwen,8 : 6,Luke Humphries,0£ 175.000,0£ 30.000,Niederlande,Belgian Darts Open
2024,"Oktoberhallen, Lebbeke",Luke Littler,8 : 7,Rob Cross,0£ 175.000,0£ 30.000,England,Belgian Darts Open
2025,"Oktoberhallen, Lebbeke",,:,,0£ 175.000,0£ 30.000,,Belgian Darts Open
2019,"PVA Expo, Prag",Jamie Hughes,8 : 3,Stephen Bunting,0£ 140.000,0£ 25.000,,Czech Darts Open
2020,"Královka Arena, Prag",Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,,Czech Darts Open
2021,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,,Czech Darts Open
2022,"Královka Arena, Prag",Luke Humphries,8 : 5,Rob Cross,0£ 140.000,0£ 25.000,,Czech Darts Open
2023,"Královka Arena, Prag",Peter Wright,8 : 6,Dave Chisnall,0£ 175.000,0£ 30.000,Schottland,Czech Darts Open
2024,"PVA Expo, Prag",Luke Humphries,8 : 1,Kim Huybrechts,0£ 175.000,0£ 30.000,,Czech Darts Open
2025,"PVA Expo, Prag",,:,,0£ 175.000,0£ 30.000,,Czech Darts Open
2018,"Brøndby Hallen, Brøndby",Mensur Suljović,8 : 3,Simon Whitlock,0£ 135.000,0£ 25.000,Österreich,Danish Darts Open
2019,"Brøndby Hallen, Brøndby",Dave Chisnall,8 : 3,Chris Dobey,0£ 140.000,0£ 25.000,England,Danish Darts Open
2018,"MECC, Maastricht",Ian White,8 : 5,Ricky Evans,0£ 135.000,0£ 25.000,,Dutch Darts Championship
2019 bis 2021,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,,Dutch Darts Championship
2022,"IJsselhallen, Zwolle",Michael Smith,8 : 7,Danny Noppert,0£ 140.000,0£ 25.000,,Dutch Darts Championship
2023,"WTC Expo, Leeuwarden",Dave Chisnall,8 : 5,Luke Humphries,0£ 175.000,0£ 30.000,England,Dutch Darts Championship
2024,"Autotron, Rosmalen",Josh Rock,8 : 4,Jonny Clayton,0£ 175.000,0£ 30.000,,Dutch Darts Championship
2025,"Autotron, Rosmalen",,:,,0£ 175.000,0£ 30.000,,Dutch Darts Championship
"Autotron, Rosmalen",,,,,,,,Dutch Darts Championship
2012,"Van der Valk Hotel, Nuland",Simon Whitlock,6 : 1,Paul Nicholson,0£ 82.100,0£ 15.000,,Dutch Darts Masters
2013,"Koningshof Hotel, Veldhoven",Kim Huybrechts,6 : 3,Brendan Dolan,0£ 100.000,0£ 20.000,,Dutch Darts Masters
