Tournament,Total Legs Start with 180,Wins After 180 at first throw,Probability (%)
Average,34.14,26.33,72.42
European Tour 1,39.0,32.0,82.05128205128204
European Tour 10,48.0,36.0,75.0
European Tour 11,26.0,14.0,53.84615384615385
European Tour 12,22.0,19.0,86.36363636363636
European Tour 13,34.0,30.0,88.23529411764706
European Tour 2,34.0,30.0,88.23529411764706
European Tour 3,25.0,22.0,88.0
European Tour 4,41.0,33.0,80.48780487804879
European Tour 5,44.0,37.0,84.0909090909091
European Tour 6,34.0,22.0,64.70588235294117
European Tour 7,32.0,25.0,78.125
European Tour 8,27.0,21.0,77.77777777777779
European Tour 9,26.0,18.0,69.23076923076923
Grand Slam,65.0,52.0,80.0
Pdc World Masters,4.0,2.0,50.0
Players Championship Finals,49.0,35.0,71.42857142857143
Premier League,37.0,28.0,75.67567567567568
Uk Open,44.0,33.0,75.0
World Matchplay,52.0,35.0,67.3076923076923
World Series Finals,34.0,29.0,85.29411764705883
