,Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away,Prev Leg Value,Home Score,Away Score,Prev Home Score,Prev Away Score,Leg Winner,First
0,0,0-1,,501,441,0,60,Littler L.,Smith M.,0-0,0,1,0,0,Away,True
1,1,0-1,,361,441,140,0,Littler L.,Smith M.,0-0,0,1,0,0,Away,False
2,2,0-1,,361,383,0,58,Littler L.,Smith M.,0-0,0,1,0,0,Away,False
3,3,0-1,,264,383,97,0,Littler L.,Smith M.,0-0,0,1,0,0,Away,False
4,4,0-1,,264,243,0,140,Littler L.,Smith M.,0-0,0,1,0,0,Away,False
5,5,0-1,,204,243,60,0,Littler L.,Smith M.,0-0,0,1,0,0,Away,False
6,6,0-1,,204,103,0,140,Littler L.,Smith M.,0-0,0,1,0,0,Away,False
7,7,0-1,,66,103,138,0,Littler L.,Smith M.,0-0,0,1,0,0,Away,False
8,8,0-1,,66,20,0,83,Littler L.,Smith M.,0-0,0,1,0,0,Away,False
9,9,0-1,,12,20,54,0,Littler L.,Smith M.,0-0,0,1,0,0,Away,False
10,0,1-1,,321,501,180,0,Littler L.,Smith M.,0-1,1,1,0,1,Home,True
11,1,1-1,,321,441,0,60,Littler L.,Smith M.,0-1,1,1,0,1,Home,False
12,2,1-1,,181,441,140,0,Littler L.,Smith M.,0-1,1,1,0,1,Home,False
13,3,1-1,,181,261,0,180,Littler L.,Smith M.,0-1,1,1,0,1,Home,False
14,4,1-1,,87,261,94,0,Littler L.,Smith M.,0-1,1,1,0,1,Home,False
15,5,1-1,,87,81,0,180,Littler L.,Smith M.,0-1,1,1,0,1,Home,False
16,6,1-1,,7,81,80,0,Littler L.,Smith M.,0-1,1,1,0,1,Home,False
17,7,1-1,,7,12,0,69,Littler L.,Smith M.,0-1,1,1,0,1,Home,False
18,0,1-2,,501,401,0,100,Littler L.,Smith M.,1-1,1,2,1,1,Away,True
19,1,1-2,,361,401,140,0,Littler L.,Smith M.,1-1,1,2,1,1,Away,False
20,2,1-2,,361,301,0,100,Littler L.,Smith M.,1-1,1,2,1,1,Away,False
21,3,1-2,,301,301,60,0,Littler L.,Smith M.,1-1,1,2,1,1,Away,False
22,4,1-2,,301,121,0,180,Littler L.,Smith M.,1-1,1,2,1,1,Away,False
23,5,1-2,,121,121,180,0,Littler L.,Smith M.,1-1,1,2,1,1,Away,False
24,6,1-2,,121,59,0,62,Littler L.,Smith M.,1-1,1,2,1,1,Away,False
25,7,1-2,,25,59,96,0,Littler L.,Smith M.,1-1,1,2,1,1,Away,False
26,8,1-2,,25,10,0,49,Littler L.,Smith M.,0-1,1,2,0,1,Home,False
27,9,1-2,,5,10,20,0,Littler L.,Smith M.,0-1,1,2,0,1,Home,False
28,0,2-2,,442,501,59,0,Littler L.,Smith M.,1-2,2,2,1,2,Home,True
29,1,2-2,,442,438,0,63,Littler L.,Smith M.,1-2,2,2,1,2,Home,False
30,2,2-2,,398,438,44,0,Littler L.,Smith M.,1-2,2,2,1,2,Home,False
