Tournament,Total 180s,Consecutive 180s,Probability (%)
Average,231.24,18.43,7.81
European Tour 1,242.0,20.0,8.26
European Tour 10,267.0,22.0,8.24
European Tour 11,216.0,15.0,6.94
European Tour 12,185.0,12.0,6.49
European Tour 13,219.0,17.0,7.76
European Tour 2,214.0,20.0,9.35
European Tour 3,224.0,18.0,8.04
European Tour 4,212.0,15.0,7.08
European Tour 5,244.0,23.0,9.43
European Tour 6,202.0,10.0,4.95
European Tour 7,220.0,15.0,6.82
European Tour 8,219.0,15.0,6.85
European Tour 9,217.0,19.0,8.76
Grand Slam,402.0,35.0,8.71
PDC World Masters,34.0,2.0,5.88
Players Championship Finals,360.0,28.0,7.78
Premier League,234.0,17.0,7.26
Uk Open,325.0,33.0,10.15
World Grand Prix,62.0,5.0,8.06
World Matchplay,348.0,25.0,7.18
World Series Finals,210.0,21.0,10.0
