id,name,year,start_time,end_time,league_id,league_name,league_hash_image
56528,PDC World Series of Darts - Dutch Darts Masters 2025,2025,2025-01-25,2025-01-25,4192,PDC World Series of Darts - Dutch Darts Masters,47becd39d82ed73f890d8c8c2eb44891881f48f442518790ad3aa095efa3cec7
43658,PDC European Tour - European Darts Grand Prix 2024,2024,2024-04-21,2024-04-21,3621,PDC European Tour - European Darts Grand Prix,53cd76fb88e87ef9440bf73f7abb2a5919b1d807fb27948f25da57e948362d1f
53018,European Championship 2024,2024,2024-10-27,2024-10-27,3276,European Darts Championship,dce48e5a22edb035ca876820a31dab40157d96707c1f7e3e279749780b4762a9
39959,PDC World Championship 23/24,23/24,2023-12-15,2024-01-03,3928,PDC World Championship,b36d3447d325791b2bee7ba3dc29a0dd30686eadf739b4ac5b2794917bcda980
13318,World Seniors Darts Masters 2023,2023,2023-06-24,2023-06-25,4336,World Seniors Darts Masters,6312c64535440116dfefa3650e4e10a8edb1534b4102165edb8a8f83dd4fb9a2
13365,World Seniors Matchplay 2022,2022,2022-07-01,2022-07-03,3018,World Seniors Matchplay,f07e04b866a6c241827aa51f5812bb6cb26850bcdce3fe12f439630de015b2b7
39961,Super League Darts Germany 2023,2023,,,4262,Super League Darts Germany,c65f8ddfbb33b279d6d0baf28a73bea1d4eeec1db874b220a02e93e73164c6fd
13470,Melbourne Darts Masters 2018,2018,2018-08-10,2018-08-12,3433,PDC World Series of Darts - Melbourne Darts Masters,ec593a227dd74be152df4c44f31f94152200aa42b39403ad65fecdb8752f5859
13501,Premier League 2022,2022,2022-02-03,2022-06-13,2875,Premier League Darts,96cd11affc7dda52b6348b0d54d158a67cee178c7fae03e76b935147f33217c5
13553,European Championship 2022,2022,2022-10-27,2022-10-30,3276,European Darts Championship,dce48e5a22edb035ca876820a31dab40157d96707c1f7e3e279749780b4762a9
13611,World Grand Prix 2022,2022,2022-10-03,2022-10-09,4048,World Grand Prix,060ce4ab82e5f0465faa0310cae567baea78d53d6b6563f48a673904f0bf11ac
13820,PDC European Tour - German Darts Grand Prix 2022,2022,2022-04-16,2022-04-18,3796,PDC European Tour - German Darts Grand Prix,a442a35fe93094ac9708ae8b7075d5a0e757d41fe6076884461a8718d53d8548
14299,NZ Darts Masters 2019,2019,2019-08-23,2019-08-24,3158,PDC World Series of Darts - New Zealand Darts Masters,979ad4199cff59057acbc844bd3e55d4cee9503200da56de76e227654cc5a64b
14349,European Championship 2021,2021,2021-10-14,2021-10-17,3276,European Darts Championship,dce48e5a22edb035ca876820a31dab40157d96707c1f7e3e279749780b4762a9
13739,World Matchplay Women 2022,2022,2022-07-24,2022-07-24,4278,World Matchplay Women,facf1a57df0f9685b6367bed15f4094cccac566e4d38c590123d3cddc847ef7d
13670,PDC European Tour - German Darts Open 2022,2022,2022-09-09,2022-09-11,3829,PDC European Tour - German Darts Open,6df8763c3f995bc0ca908e5ca07f40bd7a229e23640a712dbc622a1b23e361f4
13690,PDC European Tour - Austrian Darts Open 2022,2022,2022-04-29,2022-05-01,3481,PDC European Tour - Austrian Darts Open,ec8a4a985d4b9fc7bbae41515584744edafbf670f87facf364f58f8c92025cf3
13538,World Matchplay 2022,2022,2022-07-16,2022-07-24,4061,World Matchplay,7e1674e1c426f4b9ddc91048869117d8f791ca3f7b4d9c61d266464cbe099d5c
13534,World Series of Darts Finals 2022,2022,2022-09-16,2022-09-18,3333,PDC World Series of Darts - Finals,40ad4fa4cb8c7c1947b3513e5ae2b3e56c0b7a24d9e168e4407705b26ccc3711
12325,Baltic Sea Darts Open 2023,2023,2023-02-24,2023-02-26,4132,PDC European Tour  Baltic Sea Darts Open,4979e5cc02b634d6e9e30e4162fb0cd662a0e66b5ba398686dca0d82e91d91a7
