id,tournament_id,type,name,season_id,season_name,league_id,league_name,league_hash_image,competitors
81408,11397,total,Group A,13639,Champions League of Darts 2018,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 3, 'points': 0, 'matches': 3, 'team_id': 1830, 'position': 4, 'team_name': 'Chisnall D.', 'scores_for': 12, 'scores_against': 30, 'team_hash_image': '38405eac2acf114948b84597cacb98687148240b3c91b3336ab9a1e774c32cd7'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 1810, 'position': 1, 'team_name': 'Van Gerwen M.', 'scores_for': 29, 'scores_against': 19, 'team_hash_image': 'e5281230fc54252da40c3c86448cda06e2b5d422669f501044d58d18aec97b06'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 2032, 'position': 2, 'team_name': 'Anderson G.', 'scores_for': 28, 'scores_against': 22, 'team_hash_image': 'e7695263ce57dff52ab29a0e2cde35f9fd18723ec604026a8c67afc81ab6d4d4'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 47438, 'position': 3, 'team_name': 'Gurney D.', 'scores_for': 27, 'scores_against': 25, 'team_hash_image': '18d642241d01cd1496eac2989362a2d35019d003b1c203bdf96ae377a2384630'}]"
81424,11398,total,Premier League,13501,Premier League 2022,2875,Premier League Darts,96cd11affc7dda52b6348b0d54d158a67cee178c7fae03e76b935147f33217c5,"[{'wins': 1, 'points': 9, 'matches': 16, 'team_id': 2032, 'position': 8, 'team_name': 'Anderson G.', 'team_hash_image': 'e7695263ce57dff52ab29a0e2cde35f9fd18723ec604026a8c67afc81ab6d4d4'}, {'wins': 1, 'points': 21, 'matches': 16, 'team_id': 2093, 'position': 6, 'team_name': 'Smith M.', 'team_hash_image': '7f48531f7f5c9a025bfe2de4398e28a3774de16710fd5be3097641a9bc74d229'}, {'wins': 1, 'points': 22, 'matches': 16, 'team_id': 2154, 'position': 5, 'team_name': 'Wright P.', 'team_hash_image': '28c5a4d61a6acbc8a019a1bb872846e9ea9d43af89ad3fed96264e53710ddbe0'}, {'wins': 2, 'points': 20, 'matches': 16, 'team_id': 2349, 'position': 7, 'team_name': 'Price G.', 'team_hash_image': '07971bdf5d7de2414e532a0ae232a176b9971c7f8ffdd8c4ad0f38d097ca6643'}, {'wins': 2, 'points': 24, 'matches': 16, 'team_id': 47458, 'position': 4, 'team_name': 'Cullen J.', 'team_hash_image': '543eccfaa8c2e3d0b3528cbd45ee5596c9bbe42f3f14499a6f8e89cb8c6e59d7'}, {'wins': 2, 'points': 25, 'matches': 16, 'team_id': 47448, 'position': 3, 'team_name': 'Wade J.', 'team_hash_image': '8405cdc2cc83067a1165e3cb65baed4e3b543f5dca9fd88d85a2b188b031b3d5'}, {'wins': 3, 'points': 31, 'matches': 16, 'team_id': 1810, 'position': 2, 'team_name': 'Van Gerwen M.', 'team_hash_image': 'e5281230fc54252da40c3c86448cda06e2b5d422669f501044d58d18aec97b06'}, {'wins': 4, 'points': 40, 'matches': 16, 'team_id': 47442, 'position': 1, 'team_name': 'Clayton J.', 'team_hash_image': '9133712ffd0e6db0554bf066573229fdc13228c757669c61999619cd5807d77b'}]"
81449,11397,total,Group B,13639,Champions League of Darts 2018,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 3, 'points': 0, 'matches': 3, 'team_id': 47444, 'position': 4, 'team_name': 'Whitlock S.', 'scores_for': 16, 'scores_against': 30, 'team_hash_image': 'd68176627238c4720658fe2f1ab39dacb96e8af510ecda85a964c6044c3ed6dd'}, {'wins': 1, 'losses': 2, 'points': 2, 'matches': 3, 'team_id': 1997, 'position': 3, 'team_name': 'Cross R.', 'scores_for': 21, 'scores_against': 28, 'team_hash_image': '0ee0e38aa04003eee9fcb0ca14eab6218403833a52051e6da44f17788fddc0d9'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 2154, 'position': 2, 'team_name': 'Wright P.', 'scores_for': 27, 'scores_against': 20, 'team_hash_image': '28c5a4d61a6acbc8a019a1bb872846e9ea9d43af89ad3fed96264e53710ddbe0'}, {'wins': 3, 'losses': 0, 'points': 6, 'matches': 3, 'team_id': 2054, 'position': 1, 'team_name': 'Suljović M.', 'scores_for': 30, 'scores_against': 16, 'team_hash_image': 'b293777bbce0e129d220c590f7fb9caf0e9dfa8275a14b25882c6718e6c47d5b'}]"
81453,11399,total,"Grand Slam of Darts 2021, Group A",14085,Grand Slam of Darts 2021,3295,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641,"[{'wins': 1, 'losses': 2, 'points': 2, 'matches': 3, 'team_id': 2408, 'position': 3, 'team_name': 'Ratajski K.', 'scores_for': 9, 'scores_against': 11, 'team_hash_image': 'ba2371ab745fade4ac7d0be5401c862181ab454bc1302c138d90f44a74fba49c'}, {'wins': 1, 'losses': 2, 'points': 2, 'matches': 3, 'team_id': 47459, 'position': 4, 'team_name': 'Schindler M.', 'scores_for': 8, 'scores_against': 14, 'team_hash_image': 'e786b68207f3f578256fe4bb37b456835ac5b92092c44e1cdde04172a4849eb9'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 2349, 'position': 1, 'team_name': 'Price G.', 'scores_for': 14, 'scores_against': 9, 'team_hash_image': '07971bdf5d7de2414e532a0ae232a176b9971c7f8ffdd8c4ad0f38d097ca6643'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 47451, 'position': 2, 'team_name': 'Rafferty N.', 'scores_for': 14, 'scores_against': 11, 'team_hash_image': 'bbffcca4d1690fef1738ea1a84ae07e3c67f68c3a293e683048f6af9274c0f0d'}]"
81455,11397,home,Group A,13639,Champions League of Darts 2018,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 0, 'points': 0, 'matches': 0, 'team_id': 1830, 'position': 0, 'team_name': 'Chisnall D.', 'scores_for': 0, 'scores_against': 0, 'team_hash_image': '38405eac2acf114948b84597cacb98687148240b3c91b3336ab9a1e774c32cd7'}, {'wins': 1, 'losses': 0, 'points': 2, 'matches': 1, 'team_id': 47438, 'position': 0, 'team_name': 'Gurney D.', 'scores_for': 10, 'scores_against': 7, 'team_hash_image': '18d642241d01cd1496eac2989362a2d35019d003b1c203bdf96ae377a2384630'}, {'wins': 1, 'losses': 1, 'points': 2, 'matches': 2, 'team_id': 2032, 'position': 0, 'team_name': 'Anderson G.', 'scores_for': 18, 'scores_against': 13, 'team_hash_image': 'e7695263ce57dff52ab29a0e2cde35f9fd18723ec604026a8c67afc81ab6d4d4'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 1810, 'position': 0, 'team_name': 'Van Gerwen M.', 'scores_for': 29, 'scores_against': 19, 'team_hash_image': 'e5281230fc54252da40c3c86448cda06e2b5d422669f501044d58d18aec97b06'}]"
81456,11400,total,"Grand Slam of Darts 2022, Group A",12163,Grand Slam of Darts 2022,3295,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641,"[{'wins': 0, 'draws': 0, 'losses': 3, 'points': 0, 'matches': 3, 'team_id': 47464, 'position': 4, 'team_name': 'Evetts T.', 'team_hash_image': 'd3fcc309492ca46abb5e6e76c95aa524ece159f796604f48612dcaa5c96916a2'}, {'wins': 1, 'draws': 0, 'losses': 2, 'points': 2, 'matches': 3, 'team_id': 1830, 'position': 3, 'team_name': 'Chisnall D.', 'team_hash_image': '38405eac2acf114948b84597cacb98687148240b3c91b3336ab9a1e774c32cd7'}, {'wins': 2, 'draws': 0, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 2349, 'position': 2, 'team_name': 'Price G.', 'team_hash_image': '07971bdf5d7de2414e532a0ae232a176b9971c7f8ffdd8c4ad0f38d097ca6643'}, {'wins': 3, 'draws': 0, 'losses': 0, 'points': 6, 'matches': 3, 'team_id': 47455, 'position': 1, 'team_name': 'van Barneveld R.', 'team_hash_image': '7f746061efeeedab7ae4ca7c934d0a28bafe5fb02cc111789eae6e51670f07c8'}]"
81457,11397,home,Group B,13639,Champions League of Darts 2018,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 0, 'points': 0, 'matches': 0, 'team_id': 47444, 'position': 0, 'team_name': 'Whitlock S.', 'scores_for': 0, 'scores_against': 0, 'team_hash_image': 'd68176627238c4720658fe2f1ab39dacb96e8af510ecda85a964c6044c3ed6dd'}, {'wins': 1, 'losses': 0, 'points': 2, 'matches': 1, 'team_id': 2054, 'position': 0, 'team_name': 'Suljović M.', 'scores_for': 10, 'scores_against': 1, 'team_hash_image': 'b293777bbce0e129d220c590f7fb9caf0e9dfa8275a14b25882c6718e6c47d5b'}, {'wins': 1, 'losses': 1, 'points': 2, 'matches': 2, 'team_id': 1997, 'position': 0, 'team_name': 'Cross R.', 'scores_for': 18, 'scores_against': 18, 'team_hash_image': '0ee0e38aa04003eee9fcb0ca14eab6218403833a52051e6da44f17788fddc0d9'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 2154, 'position': 0, 'team_name': 'Wright P.', 'scores_for': 27, 'scores_against': 20, 'team_hash_image': '28c5a4d61a6acbc8a019a1bb872846e9ea9d43af89ad3fed96264e53710ddbe0'}]"
81461,11401,total,"World Cup of Darts 2023, Group A",12150,World Cup of Darts 2023,4027,World Cup of Darts,8653388a7b545fbcfba78767bb2be010e3120a39f2fbfeeb500a533e87358bfe,"[{'wins': 0, 'draws': 0, 'losses': 2, 'points': 0, 'matches': 2, 'team_id': 47467, 'position': 3, 'team_name': 'Zong X / Wen L', 'team_hash_image': 'fe7885eff0303142833e37b883d81d324061b727ac7da607af9593bbede746f8'}, {'wins': 1, 'draws': 0, 'losses': 1, 'points': 2, 'matches': 2, 'team_id': 47461, 'position': 2, 'team_name': 'Kantele M / Myller P', 'team_hash_image': 'dd23701a306781b3eb5e0411779b23e575535ad5e56e3d1780d7584d8517135c'}, {'wins': 2, 'draws': 0, 'losses': 0, 'points': 4, 'matches': 2, 'team_id': 47453, 'position': 1, 'team_name': 'Huybrechts K / Van Den Bergh D', 'team_hash_image': 'e735fe5b4fc8898a9e7c16bbdffd872bc09aef6eb058e60887fc87b0f0caa4ab'}]"
81462,11397,away,Group A,13639,Champions League of Darts 2018,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 0, 'points': 0, 'matches': 0, 'team_id': 1810, 'position': 0, 'team_name': 'Van Gerwen M.', 'scores_for': 0, 'scores_against': 0, 'team_hash_image': 'e5281230fc54252da40c3c86448cda06e2b5d422669f501044d58d18aec97b06'}, {'wins': 0, 'losses': 3, 'points': 0, 'matches': 3, 'team_id': 1830, 'position': 0, 'team_name': 'Chisnall D.', 'scores_for': 12, 'scores_against': 30, 'team_hash_image': '38405eac2acf114948b84597cacb98687148240b3c91b3336ab9a1e774c32cd7'}, {'wins': 1, 'losses': 0, 'points': 2, 'matches': 1, 'team_id': 2032, 'position': 0, 'team_name': 'Anderson G.', 'scores_for': 10, 'scores_against': 9, 'team_hash_image': 'e7695263ce57dff52ab29a0e2cde35f9fd18723ec604026a8c67afc81ab6d4d4'}, {'wins': 1, 'losses': 1, 'points': 2, 'matches': 2, 'team_id': 47438, 'position': 0, 'team_name': 'Gurney D.', 'scores_for': 17, 'scores_against': 18, 'team_hash_image': '18d642241d01cd1496eac2989362a2d35019d003b1c203bdf96ae377a2384630'}]"
81463,11398,total,Premier League 2023,12231,Premier League 2023,2875,Premier League Darts,96cd11affc7dda52b6348b0d54d158a67cee178c7fae03e76b935147f33217c5,"[{'wins': 0, 'points': 9, 'matches': 16, 'team_id': 2154, 'position': 8, 'team_name': 'Wright P.', 'team_hash_image': '28c5a4d61a6acbc8a019a1bb872846e9ea9d43af89ad3fed96264e53710ddbe0'}, {'wins': 1, 'points': 14, 'matches': 16, 'team_id': 2463, 'position': 7, 'team_name': 'Dobey C.', 'team_hash_image': 'a9eb485141e05542816256258d824b6eb06bf3d31607e2c1164e2c6f6c2c1754'}, {'wins': 1, 'points': 15, 'matches': 16, 'team_id': 47457, 'position': 6, 'team_name': 'Van Den Bergh D.', 'team_hash_image': 'f11e98bf5cee8c1b35709a04172626fd1880098344f17282db20bdb882760b63'}, {'wins': 1, 'points': 24, 'matches': 16, 'team_id': 2503, 'position': 5, 'team_name': 'Aspinall N.', 'team_hash_image': '1d367b1fad0e1dd324ec1702bb03b3d339199e796563a075988207e26a4b928b'}, {'wins': 2, 'points': 24, 'matches': 16, 'team_id': 47442, 'position': 4, 'team_name': 'Clayton J.', 'team_hash_image': '9133712ffd0e6db0554bf066573229fdc13228c757669c61999619cd5807d77b'}, {'wins': 3, 'points': 33, 'matches': 16, 'team_id': 1810, 'position': 2, 'team_name': 'Van Gerwen M.', 'team_hash_image': 'e5281230fc54252da40c3c86448cda06e2b5d422669f501044d58d18aec97b06'}, {'wins': 4, 'points': 33, 'matches': 16, 'team_id': 2093, 'position': 3, 'team_name': 'Smith M.', 'team_hash_image': '7f48531f7f5c9a025bfe2de4398e28a3774de16710fd5be3097641a9bc74d229'}, {'wins': 4, 'points': 39, 'matches': 16, 'team_id': 2349, 'position': 1, 'team_name': 'Price G.', 'team_hash_image': '07971bdf5d7de2414e532a0ae232a176b9971c7f8ffdd8c4ad0f38d097ca6643'}]"
