Rank,Player,Country,Stat,Stat Category,Year
1,Wales,,78.95%,Pcnt Legs Won,2013
2,England,,71.43%,Pcnt Legs Won,2013
3,Belgium,,66.67%,Pcnt Legs Won,2013
4,Germany,,65.22%,Pcnt Legs Won,2013
5,Northern Ireland,,63.64%,Pcnt Legs Won,2013
6,Netherlands,,61.9%,Pcnt Legs Won,2013
7,Scotland,,58.33%,Pcnt Legs Won,2013
8,Australia,,57.89%,Pcnt Legs Won,2013
9,Ireland,,54.55%,Pcnt Legs Won,2013
10,Finland,,52%,Pcnt Legs Won,2013
11,Spain,,50%,Pcnt Legs Won,2013
12,South Africa,,48.15%,Pcnt Legs Won,2013
13,Croatia,,47.83%,Pcnt Legs Won,2013
14,Poland,,45.45%,Pcnt Legs Won,2013
15,Japan,,45.45%,Pcnt Legs Won,2013
16,Canada,,41.67%,Pcnt Legs Won,2013
17,United States,,41.18%,Pcnt Legs Won,2013
18,Austria,,37.5%,Pcnt Legs Won,2013
19,Sweden,,37.5%,Pcnt Legs Won,2013
20,Denmark,,35.71%,Pcnt Legs Won,2013
21,New Zealand,,33.33%,Pcnt Legs Won,2013
22,Italy,,23.08%,Pcnt Legs Won,2013
23,Gibraltar,,16.67%,Pcnt Legs Won,2013
24,Hungary,,9.09%,Pcnt Legs Won,2013
1,Nándor Bezzeg,HUN,100%,Pcnt Legs Won,2016
2,Scott MacKenzie,,100%,Pcnt Legs Won,2016
3,Austria,,100%,Pcnt Legs Won,2016
4,Gerwyn Price,WAL,90%,Pcnt Legs Won,2016
5,John Part,CAN,83.33%,Pcnt Legs Won,2016
6,Belgium,,83.33%,Pcnt Legs Won,2016
7,Singapore,,83.33%,Pcnt Legs Won,2016
8,Cor Dekker,NOR,80%,Pcnt Legs Won,2016
9,Kim Huybrechts,BEL,77.78%,Pcnt Legs Won,2016
10,Robert Thornton,SCO,77.78%,Pcnt Legs Won,2016
11,Phil Taylor,ENG,77.42%,Pcnt Legs Won,2016
12,Mick McGowan,,75%,Pcnt Legs Won,2016
13,Northern Ireland,,71.43%,Pcnt Legs Won,2016
14,Norway,,71.43%,Pcnt Legs Won,2016
15,Canada,,69.23%,Pcnt Legs Won,2016
16,Simon Whitlock,AUS,66.67%,Pcnt Legs Won,2016
17,Daryl Gurney,NIR,66.67%,Pcnt Legs Won,2016
18,Adrian Lewis,ENG,64.29%,Pcnt Legs Won,2016
19,Australia,,63.16%,Pcnt Legs Won,2016
20,Hungary,,62.5%,Pcnt Legs Won,2016
21,China,,62.5%,Pcnt Legs Won,2016
22,Philippines,,62.5%,Pcnt Legs Won,2016
23,Scotland,,62.5%,Pcnt Legs Won,2016
24,Netherlands,,61.9%,Pcnt Legs Won,2016
25,Rowby-John Rodriguez,AUT,61.54%,Pcnt Legs Won,2016
26,Raymond van Barneveld,NED,58.54%,Pcnt Legs Won,2016
27,Wales,,58.33%,Pcnt Legs Won,2016
28,Harith Lim,SNG,55.56%,Pcnt Legs Won,2016
29,Ireland,,55.56%,Pcnt Legs Won,2016
30,Michael van Gerwen,NED,55.26%,Pcnt Legs Won,2016
31,Gary Anderson,SCO,54.55%,Pcnt Legs Won,2016
32,Per Laursen,DEN,54.55%,Pcnt Legs Won,2016
33,Cody Harris,NZL,50%,Pcnt Legs Won,2016
34,Boris Koltsov,RUS,50%,Pcnt Legs Won,2016
35,Mensur Suljović,AUT,50%,Pcnt Legs Won,2016
36,William O'Connor,IRL,50%,Pcnt Legs Won,2016
37,Toni Alcinas,ESP,50%,Pcnt Legs Won,2016
38,Max Hopp,GER,50%,Pcnt Legs Won,2016
39,Cristo Reyes,ESP,50%,Pcnt Legs Won,2016
40,Daniel Jensen,DEN,50%,Pcnt Legs Won,2016
41,Michal Kocik,,50%,Pcnt Legs Won,2016
42,Larry Butler,USA,50%,Pcnt Legs Won,2016
43,Thanawat Gaweenuntavong,THA,50%,Pcnt Legs Won,2016
44,Gilbert Ulang,,50%,Pcnt Legs Won,2016
45,England,,46.67%,Pcnt Legs Won,2016
46,Denmark,,45.45%,Pcnt Legs Won,2016
47,Spain,,44.44%,Pcnt Legs Won,2016
48,Paul Lim,SNG,44.44%,Pcnt Legs Won,2016
49,Hong Kong,,44.44%,Pcnt Legs Won,2016
50,Brendan Dolan,NIR,42.86%,Pcnt Legs Won,2016
1,Nándor Bezzeg,HUN,100%,Pcnt Legs Won,2016
2,Scott MacKenzie,,100%,Pcnt Legs Won,2016
3,Austria,,100%,Pcnt Legs Won,2016
4,Gerwyn Price,WAL,90%,Pcnt Legs Won,2016
5,John Part,CAN,83.33%,Pcnt Legs Won,2016
6,Belgium,,83.33%,Pcnt Legs Won,2016
7,Singapore,,83.33%,Pcnt Legs Won,2016
8,Cor Dekker,NOR,80%,Pcnt Legs Won,2016
9,Kim Huybrechts,BEL,77.78%,Pcnt Legs Won,2016
10,Robert Thornton,SCO,77.78%,Pcnt Legs Won,2016
11,Phil Taylor,ENG,77.42%,Pcnt Legs Won,2016
12,Mick McGowan,,75%,Pcnt Legs Won,2016
13,Northern Ireland,,71.43%,Pcnt Legs Won,2016
14,Norway,,71.43%,Pcnt Legs Won,2016
15,Canada,,69.23%,Pcnt Legs Won,2016
16,Simon Whitlock,AUS,66.67%,Pcnt Legs Won,2016
17,Daryl Gurney,NIR,66.67%,Pcnt Legs Won,2016
18,Adrian Lewis,ENG,64.29%,Pcnt Legs Won,2016
19,Australia,,63.16%,Pcnt Legs Won,2016
20,Hungary,,62.5%,Pcnt Legs Won,2016
21,China,,62.5%,Pcnt Legs Won,2016
22,Philippines,,62.5%,Pcnt Legs Won,2016
23,Scotland,,62.5%,Pcnt Legs Won,2016
24,Netherlands,,61.9%,Pcnt Legs Won,2016
25,Rowby-John Rodriguez,AUT,61.54%,Pcnt Legs Won,2016
26,Raymond van Barneveld,NED,58.54%,Pcnt Legs Won,2016
27,Wales,,58.33%,Pcnt Legs Won,2016
28,Harith Lim,SNG,55.56%,Pcnt Legs Won,2016
29,Ireland,,55.56%,Pcnt Legs Won,2016
30,Michael van Gerwen,NED,55.26%,Pcnt Legs Won,2016
31,Gary Anderson,SCO,54.55%,Pcnt Legs Won,2016
32,Per Laursen,DEN,54.55%,Pcnt Legs Won,2016
33,Cody Harris,NZL,50%,Pcnt Legs Won,2016
34,Boris Koltsov,RUS,50%,Pcnt Legs Won,2016
35,Mensur Suljović,AUT,50%,Pcnt Legs Won,2016
36,William O'Connor,IRL,50%,Pcnt Legs Won,2016
37,Toni Alcinas,ESP,50%,Pcnt Legs Won,2016
38,Max Hopp,GER,50%,Pcnt Legs Won,2016
39,Cristo Reyes,ESP,50%,Pcnt Legs Won,2016
40,Daniel Jensen,DEN,50%,Pcnt Legs Won,2016
41,Michal Kocik,,50%,Pcnt Legs Won,2016
42,Larry Butler,USA,50%,Pcnt Legs Won,2016
43,Thanawat Gaweenuntavong,THA,50%,Pcnt Legs Won,2016
44,Gilbert Ulang,,50%,Pcnt Legs Won,2016
45,England,,46.67%,Pcnt Legs Won,2016
46,Denmark,,45.45%,Pcnt Legs Won,2016
47,Spain,,44.44%,Pcnt Legs Won,2016
48,Paul Lim,SNG,44.44%,Pcnt Legs Won,2016
49,Hong Kong,,44.44%,Pcnt Legs Won,2016
50,Brendan Dolan,NIR,42.86%,Pcnt Legs Won,2016
1,Daryl Gurney,NIR,100%,Pcnt Legs Won,2017
2,Patrick Rey,SUI,100%,Pcnt Legs Won,2017
3,Netherlands,,85%,Pcnt Legs Won,2017
4,Michael van Gerwen,NED,83.33%,Pcnt Legs Won,2017
5,Mensur Suljović,AUT,81.25%,Pcnt Legs Won,2017
6,Per Laursen,DEN,75%,Pcnt Legs Won,2017
7,Russia,,75%,Pcnt Legs Won,2017
8,Canada,,71.43%,Pcnt Legs Won,2017
9,Belgium,,69.23%,Pcnt Legs Won,2017
10,England,,69.23%,Pcnt Legs Won,2017
11,Dyson Parody,GIB,66.67%,Pcnt Legs Won,2017
12,Dave Chisnall,ENG,66.67%,Pcnt Legs Won,2017
13,Kim Huybrechts,BEL,65.38%,Pcnt Legs Won,2017
14,Max Hopp,GER,65%,Pcnt Legs Won,2017
15,Singapore,,64.71%,Pcnt Legs Won,2017
16,Austria,,63.64%,Pcnt Legs Won,2017
17,Mark Webster,WAL,63.33%,Pcnt Legs Won,2017
18,Greece,,62.5%,Pcnt Legs Won,2017
19,Ireland,,62.5%,Pcnt Legs Won,2017
20,John Michael,GRE,62.5%,Pcnt Legs Won,2017
21,South Africa,,62.5%,Pcnt Legs Won,2017
22,Paul Lim,SNG,59.09%,Pcnt Legs Won,2017
23,Boris Koltsov,RUS,58.82%,Pcnt Legs Won,2017
24,Adrian Lewis,ENG,58.33%,Pcnt Legs Won,2017
25,Harith Lim,SNG,58.33%,Pcnt Legs Won,2017
26,John Part,CAN,57.14%,Pcnt Legs Won,2017
27,Ronny Huybrechts,BEL,56%,Pcnt Legs Won,2017
28,Diogo Portela,BRA,55.56%,Pcnt Legs Won,2017
29,Brazil,,55.56%,Pcnt Legs Won,2017
30,William O'Connor,IRL,54.55%,Pcnt Legs Won,2017
31,Cristo Reyes,ESP,53.85%,Pcnt Legs Won,2017
32,Krzysztof Ratajski,POL,50%,Pcnt Legs Won,2017
33,Gerwyn Price,WAL,50%,Pcnt Legs Won,2017
34,Daniel Larsson,SWE,50%,Pcnt Legs Won,2017
35,Marko Kantele,FIN,50%,Pcnt Legs Won,2017
36,Leung Kai Fan,HKG,50%,Pcnt Legs Won,2017
37,Haruki Muramatsu,JPN,50%,Pcnt Legs Won,2017
38,Kim Viljanen,FIN,50%,Pcnt Legs Won,2017
39,United States,,50%,Pcnt Legs Won,2017
40,Attapol Eupakaree,THA,50%,Pcnt Legs Won,2017
41,Raymond van Barneveld,NED,48.98%,Pcnt Legs Won,2017
42,Rowby-John Rodriguez,AUT,47.37%,Pcnt Legs Won,2017
43,Aleksandr Oreshkin,RUS,47.37%,Pcnt Legs Won,2017
44,Larry Butler,USA,46.15%,Pcnt Legs Won,2017
45,Mick McGowan,,45.45%,Pcnt Legs Won,2017
46,Martin Schindler,GER,44.44%,Pcnt Legs Won,2017
47,Finland,,44.44%,Pcnt Legs Won,2017
48,Denmark,,44.44%,Pcnt Legs Won,2017
49,Northern Ireland,,44.44%,Pcnt Legs Won,2017
50,Switzerland,,44.44%,Pcnt Legs Won,2017
1,Daryl Gurney,NIR,100%,Pcnt Legs Won,2017
2,Patrick Rey,SUI,100%,Pcnt Legs Won,2017
3,Netherlands,,85%,Pcnt Legs Won,2017
4,Michael van Gerwen,NED,83.33%,Pcnt Legs Won,2017
5,Mensur Suljović,AUT,81.25%,Pcnt Legs Won,2017
6,Per Laursen,DEN,75%,Pcnt Legs Won,2017
7,Russia,,75%,Pcnt Legs Won,2017
8,Canada,,71.43%,Pcnt Legs Won,2017
9,Belgium,,69.23%,Pcnt Legs Won,2017
10,England,,69.23%,Pcnt Legs Won,2017
11,Dyson Parody,GIB,66.67%,Pcnt Legs Won,2017
12,Dave Chisnall,ENG,66.67%,Pcnt Legs Won,2017
13,Kim Huybrechts,BEL,65.38%,Pcnt Legs Won,2017
14,Max Hopp,GER,65%,Pcnt Legs Won,2017
15,Singapore,,64.71%,Pcnt Legs Won,2017
16,Austria,,63.64%,Pcnt Legs Won,2017
17,Mark Webster,WAL,63.33%,Pcnt Legs Won,2017
18,Greece,,62.5%,Pcnt Legs Won,2017
19,Ireland,,62.5%,Pcnt Legs Won,2017
20,John Michael,GRE,62.5%,Pcnt Legs Won,2017
21,South Africa,,62.5%,Pcnt Legs Won,2017
22,Paul Lim,SNG,59.09%,Pcnt Legs Won,2017
23,Boris Koltsov,RUS,58.82%,Pcnt Legs Won,2017
24,Adrian Lewis,ENG,58.33%,Pcnt Legs Won,2017
25,Harith Lim,SNG,58.33%,Pcnt Legs Won,2017
26,John Part,CAN,57.14%,Pcnt Legs Won,2017
27,Ronny Huybrechts,BEL,56%,Pcnt Legs Won,2017
28,Diogo Portela,BRA,55.56%,Pcnt Legs Won,2017
29,Brazil,,55.56%,Pcnt Legs Won,2017
30,William O'Connor,IRL,54.55%,Pcnt Legs Won,2017
31,Cristo Reyes,ESP,53.85%,Pcnt Legs Won,2017
32,Krzysztof Ratajski,POL,50%,Pcnt Legs Won,2017
33,Gerwyn Price,WAL,50%,Pcnt Legs Won,2017
34,Daniel Larsson,SWE,50%,Pcnt Legs Won,2017
35,Marko Kantele,FIN,50%,Pcnt Legs Won,2017
36,Leung Kai Fan,HKG,50%,Pcnt Legs Won,2017
37,Haruki Muramatsu,JPN,50%,Pcnt Legs Won,2017
38,Kim Viljanen,FIN,50%,Pcnt Legs Won,2017
39,United States,,50%,Pcnt Legs Won,2017
40,Attapol Eupakaree,THA,50%,Pcnt Legs Won,2017
41,Raymond van Barneveld,NED,48.98%,Pcnt Legs Won,2017
42,Rowby-John Rodriguez,AUT,47.37%,Pcnt Legs Won,2017
43,Aleksandr Oreshkin,RUS,47.37%,Pcnt Legs Won,2017
44,Larry Butler,USA,46.15%,Pcnt Legs Won,2017
45,Mick McGowan,,45.45%,Pcnt Legs Won,2017
46,Martin Schindler,GER,44.44%,Pcnt Legs Won,2017
47,Finland,,44.44%,Pcnt Legs Won,2017
48,Denmark,,44.44%,Pcnt Legs Won,2017
49,Northern Ireland,,44.44%,Pcnt Legs Won,2017
50,Switzerland,,44.44%,Pcnt Legs Won,2017
1,Netherlands,,90%,Pcnt Legs Won,2018
2,Finland,,83.33%,Pcnt Legs Won,2018
3,Canada,,83.33%,Pcnt Legs Won,2018
4,Brazil,,83.33%,Pcnt Legs Won,2018
5,Mensur Suljović,AUT,80%,Pcnt Legs Won,2018
6,Michael van Gerwen,NED,76.47%,Pcnt Legs Won,2018
7,Raymond van Barneveld,NED,71.43%,Pcnt Legs Won,2018
8,John Part,CAN,70%,Pcnt Legs Won,2018
9,Belgium,,69.23%,Pcnt Legs Won,2018
10,Jonny Clayton,WAL,66.67%,Pcnt Legs Won,2018
11,Daryl Gurney,NIR,66.67%,Pcnt Legs Won,2018
12,Germany,,64.29%,Pcnt Legs Won,2018
13,Australia,,64%,Pcnt Legs Won,2018
14,South Africa,,62.5%,Pcnt Legs Won,2018
15,Kim Huybrechts,BEL,60%,Pcnt Legs Won,2018
16,Krzysztof Ratajski,POL,60%,Pcnt Legs Won,2018
17,Boris Koltsov,RUS,60%,Pcnt Legs Won,2018
18,Dimitri Van den Bergh,BEL,59.26%,Pcnt Legs Won,2018
19,Peter Wright,SCO,58.97%,Pcnt Legs Won,2018
20,Kyle Anderson,AUS,58.33%,Pcnt Legs Won,2018
21,Rob Cross,ENG,57.69%,Pcnt Legs Won,2018
22,Paul Lim,SNG,56.25%,Pcnt Legs Won,2018
23,Scotland,,55.56%,Pcnt Legs Won,2018
24,Japan,,55.56%,Pcnt Legs Won,2018
25,Wales,,55.56%,Pcnt Legs Won,2018
26,England,,52.94%,Pcnt Legs Won,2018
27,Martin Schindler,GER,52.63%,Pcnt Legs Won,2018
28,Gary Anderson,SCO,51.22%,Pcnt Legs Won,2018
29,Toni Alcinas,ESP,50%,Pcnt Legs Won,2018
30,Karel Sedláček,CZE,50%,Pcnt Legs Won,2018
31,Warren Parry,NZL,50%,Pcnt Legs Won,2018
32,Kim Viljanen,FIN,50%,Pcnt Legs Won,2018
33,Dennis Nilsson,SWE,50%,Pcnt Legs Won,2018
34,Seigo Asada,JPN,50%,Pcnt Legs Won,2018
35,Tamas Alexits,,50%,Pcnt Legs Won,2018
36,Spain,,50%,Pcnt Legs Won,2018
37,Attapol Eupakaree,THA,50%,Pcnt Legs Won,2018
38,Switzerland,,50%,Pcnt Legs Won,2018
39,Simon Whitlock,AUS,48.72%,Pcnt Legs Won,2018
40,Northern Ireland,,46.67%,Pcnt Legs Won,2018
