Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,0-1,,501,450,0,51,Clayton J.,Rock J.
1,0-1,,442,450,59,0,Clayton J.,Rock J.
2,0-1,,442,350,0,100,Clayton J.,Rock J.
3,0-1,,383,350,59,0,Clayton J.,Rock J.
4,0-1,,383,218,0,132,Clayton J.,Rock J.
5,0-1,,287,218,96,0,Clayton J.,Rock J.
6,0-1,,287,126,0,92,Clayton J.,Rock J.
7,0-1,,227,126,60,0,Clayton J.,Rock J.
8,0-1,,227,72,0,54,Clayton J.,Rock J.
9,0-1,,167,72,60,0,Clayton J.,Rock J.
10,0-1,,167,40,0,32,Clayton J.,Rock J.
11,0-1,,123,40,44,0,Clayton J.,Rock J.
0,0-2,VERLORENER ANWURF Home,361,501,140,0,Clayton J.,Rock J.
1,0-2,VERLORENER ANWURF Home,361,460,0,41,Clayton J.,Rock J.
2,0-2,VERLORENER ANWURF Home,265,460,96,0,Clayton J.,Rock J.
3,0-2,VERLORENER ANWURF Home,265,320,0,140,Clayton J.,Rock J.
4,0-2,VERLORENER ANWURF Home,160,320,105,0,Clayton J.,Rock J.
5,0-2,VERLORENER ANWURF Home,160,263,0,57,Clayton J.,Rock J.
6,0-2,VERLORENER ANWURF Home,20,263,140,0,Clayton J.,Rock J.
7,0-2,VERLORENER ANWURF Home,20,142,0,121,Clayton J.,Rock J.
8,0-2,VERLORENER ANWURF Home,10,142,10,0,Clayton J.,Rock J.
0,1-2,VERLORENER ANWURF Away,501,458,0,43,Clayton J.,Rock J.
1,1-2,VERLORENER ANWURF Away,361,458,140,0,Clayton J.,Rock J.
2,1-2,VERLORENER ANWURF Away,361,398,0,60,Clayton J.,Rock J.
3,1-2,VERLORENER ANWURF Away,264,398,97,0,Clayton J.,Rock J.
4,1-2,VERLORENER ANWURF Away,264,317,0,81,Clayton J.,Rock J.
5,1-2,VERLORENER ANWURF Away,124,317,140,0,Clayton J.,Rock J.
6,1-2,VERLORENER ANWURF Away,124,221,0,96,Clayton J.,Rock J.
7,1-2,VERLORENER ANWURF Away,36,221,88,0,Clayton J.,Rock J.
8,1-2,VERLORENER ANWURF Away,36,116,0,105,Clayton J.,Rock J.
0,1-3,VERLORENER ANWURF Home,361,501,140,0,Clayton J.,Rock J.
1,1-3,VERLORENER ANWURF Home,361,361,0,140,Clayton J.,Rock J.
2,1-3,VERLORENER ANWURF Home,303,361,58,0,Clayton J.,Rock J.
3,1-3,VERLORENER ANWURF Home,303,243,0,118,Clayton J.,Rock J.
4,1-3,VERLORENER ANWURF Home,244,243,59,0,Clayton J.,Rock J.
5,1-3,VERLORENER ANWURF Home,244,147,0,96,Clayton J.,Rock J.
6,1-3,VERLORENER ANWURF Home,144,147,100,0,Clayton J.,Rock J.
7,1-3,VERLORENER ANWURF Home,144,58,0,89,Clayton J.,Rock J.
8,1-3,VERLORENER ANWURF Home,48,58,96,0,Clayton J.,Rock J.
0,2-3,VERLORENER ANWURF Away,501,455,0,46,Clayton J.,Rock J.
