Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,0-1,VERLORENER ANWURF Home,404,501,97,0,Littler L.,Anderson G.
1,0-1,VERLORENER ANWURF Home,404,401,0,100,Littler L.,Anderson G.
2,0-1,VERLORENER ANWURF Home,344,401,60,0,Littler L.,Anderson G.
3,0-1,VERLORENER ANWURF Home,344,261,0,140,Littler L.,Anderson G.
4,0-1,VERLORENER ANWURF Home,303,261,41,0,Littler L.,Anderson G.
5,0-1,VERLORENER ANWURF Home,303,140,0,121,Littler L.,Anderson G.
6,0-1,VERLORENER ANWURF Home,132,140,171,0,Littler L.,Anderson G.
7,0-1,VERLORENER ANWURF Home,132,40,0,100,Littler L.,Anderson G.
8,0-1,VERLORENER ANWURF Home,40,40,92,0,Littler L.,Anderson G.
0,0-2,,501,410,0,91,Littler L.,Anderson G.
1,0-2,,367,410,134,0,Littler L.,Anderson G.
2,0-2,,367,352,0,58,Littler L.,Anderson G.
3,0-2,,227,352,140,0,Littler L.,Anderson G.
4,0-2,,227,254,0,98,Littler L.,Anderson G.
5,0-2,,127,254,100,0,Littler L.,Anderson G.
6,0-2,,127,134,0,120,Littler L.,Anderson G.
7,0-2,,72,134,55,0,Littler L.,Anderson G.
8,0-2,,72,40,0,94,Littler L.,Anderson G.
9,0-2,,40,40,32,0,Littler L.,Anderson G.
0,1-2,,405,501,96,0,Littler L.,Anderson G.
1,1-2,,405,401,0,100,Littler L.,Anderson G.
2,1-2,,265,401,140,0,Littler L.,Anderson G.
3,1-2,,265,306,0,95,Littler L.,Anderson G.
4,1-2,,207,306,58,0,Littler L.,Anderson G.
5,1-2,,207,210,0,96,Littler L.,Anderson G.
6,1-2,,67,210,140,0,Littler L.,Anderson G.
7,1-2,,67,115,0,95,Littler L.,Anderson G.
0,1-3,,501,444,0,57,Littler L.,Anderson G.
1,1-3,,364,444,137,0,Littler L.,Anderson G.
2,1-3,,364,364,0,80,Littler L.,Anderson G.
