Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,0-1,VERLORENER ANWURF Home,442,501,59,0,Littler L.,Humphries L.
1,0-1,VERLORENER ANWURF Home,442,442,0,59,Littler L.,Humphries L.
2,0-1,VERLORENER ANWURF Home,314,442,128,0,Littler L.,Humphries L.
3,0-1,VERLORENER ANWURF Home,314,302,0,140,Littler L.,Humphries L.
4,0-1,VERLORENER ANWURF Home,80,164,234,138,Littler L.,Humphries L.
5,0-1,VERLORENER ANWURF Home,80,72,0,92,Littler L.,Humphries L.
6,0-1,VERLORENER ANWURF Home,20,72,60,0,Littler L.,Humphries L.
0,0-2,,501,361,0,140,Littler L.,Humphries L.
1,0-2,,444,361,57,0,Littler L.,Humphries L.
2,0-2,,444,301,0,60,Littler L.,Humphries L.
3,0-2,,344,301,100,0,Littler L.,Humphries L.
4,0-2,,344,167,0,134,Littler L.,Humphries L.
5,0-2,,204,167,140,0,Littler L.,Humphries L.
6,0-2,,204,36,0,131,Littler L.,Humphries L.
7,0-2,,104,36,100,0,Littler L.,Humphries L.
8,0-2,,104,9,0,27,Littler L.,Humphries L.
9,0-2,,20,9,84,0,Littler L.,Humphries L.
0,1-2,,361,501,140,0,Littler L.,Humphries L.
1,1-2,,361,416,0,85,Littler L.,Humphries L.
2,1-2,,181,416,180,0,Littler L.,Humphries L.
3,1-2,,181,316,0,100,Littler L.,Humphries L.
4,1-2,,138,316,43,0,Littler L.,Humphries L.
5,1-2,,138,257,0,59,Littler L.,Humphries L.
6,1-2,,80,257,58,0,Littler L.,Humphries L.
7,1-2,,80,161,0,96,Littler L.,Humphries L.
8,1-2,,20,161,60,0,Littler L.,Humphries L.
9,1-2,,20,66,0,95,Littler L.,Humphries L.
0,1-3,,501,456,0,45,Littler L.,Humphries L.
1,1-3,,442,456,59,0,Littler L.,Humphries L.
2,1-3,,442,397,0,59,Littler L.,Humphries L.
3,1-3,,390,397,52,0,Littler L.,Humphries L.
4,1-3,,390,257,0,140,Littler L.,Humphries L.
5,1-3,,332,257,58,0,Littler L.,Humphries L.
6,1-3,,332,197,0,60,Littler L.,Humphries L.
7,1-3,,273,197,59,0,Littler L.,Humphries L.
8,1-3,,273,98,0,99,Littler L.,Humphries L.
9,1-3,,215,98,58,0,Littler L.,Humphries L.
10,1-3,,215,40,0,58,Littler L.,Humphries L.
11,1-3,,134,40,81,0,Littler L.,Humphries L.
0,1-4,VERLORENER ANWURF Home,376,501,125,0,Littler L.,Humphries L.
1,1-4,VERLORENER ANWURF Home,376,405,0,96,Littler L.,Humphries L.
2,1-4,VERLORENER ANWURF Home,279,405,97,0,Littler L.,Humphries L.
3,1-4,VERLORENER ANWURF Home,279,271,0,134,Littler L.,Humphries L.
4,1-4,VERLORENER ANWURF Home,179,271,100,0,Littler L.,Humphries L.
5,1-4,VERLORENER ANWURF Home,179,214,0,57,Littler L.,Humphries L.
6,1-4,VERLORENER ANWURF Home,90,214,89,0,Littler L.,Humphries L.
7,1-4,VERLORENER ANWURF Home,90,114,0,100,Littler L.,Humphries L.
8,1-4,VERLORENER ANWURF Home,30,114,60,0,Littler L.,Humphries L.
9,1-4,VERLORENER ANWURF Home,30,56,0,58,Littler L.,Humphries L.
10,1-4,VERLORENER ANWURF Home,5,56,25,0,Littler L.,Humphries L.
11,1-4,VERLORENER ANWURF Home,5,20,0,36,Littler L.,Humphries L.
12,1-4,VERLORENER ANWURF Home,2,20,3,0,Littler L.,Humphries L.
0,1-5,,501,365,0,136,Littler L.,Humphries L.
1,1-5,,367,365,134,0,Littler L.,Humphries L.
2,1-5,,367,188,0,177,Littler L.,Humphries L.
3,1-5,,227,188,140,0,Littler L.,Humphries L.
4,1-5,,227,8,0,180,Littler L.,Humphries L.
5,1-5,,170,8,57,0,Littler L.,Humphries L.
0,2-5,,364,501,137,0,Littler L.,Humphries L.
1,2-5,,364,361,0,140,Littler L.,Humphries L.
2,2-5,,264,361,100,0,Littler L.,Humphries L.
3,2-5,,264,227,0,134,Littler L.,Humphries L.
4,2-5,,170,227,94,0,Littler L.,Humphries L.
5,2-5,,170,90,0,137,Littler L.,Humphries L.
6,2-5,,105,90,65,0,Littler L.,Humphries L.
7,2-5,,105,25,0,65,Littler L.,Humphries L.
0,2-6,,501,361,0,140,Littler L.,Humphries L.
1,2-6,,364,361,137,0,Littler L.,Humphries L.
2,2-6,,364,181,0,180,Littler L.,Humphries L.
3,2-6,,224,181,140,0,Littler L.,Humphries L.
4,2-6,,224,36,0,145,Littler L.,Humphries L.
5,2-6,,84,36,140,0,Littler L.,Humphries L.
0,3-6,,361,501,140,0,Littler L.,Humphries L.
1,3-6,,361,408,0,93,Littler L.,Humphries L.
2,3-6,,303,408,58,0,Littler L.,Humphries L.
3,3-6,,303,325,0,83,Littler L.,Humphries L.
4,3-6,,170,325,133,0,Littler L.,Humphries L.
5,3-6,,170,145,0,180,Littler L.,Humphries L.
0,4-6,VERLORENER ANWURF Away,501,442,0,59,Littler L.,Humphries L.
1,4-6,VERLORENER ANWURF Away,418,442,83,0,Littler L.,Humphries L.
2,4-6,VERLORENER ANWURF Away,418,302,0,140,Littler L.,Humphries L.
3,4-6,VERLORENER ANWURF Away,238,302,180,0,Littler L.,Humphries L.
4,4-6,VERLORENER ANWURF Away,238,162,0,140,Littler L.,Humphries L.
5,4-6,VERLORENER ANWURF Away,178,162,60,0,Littler L.,Humphries L.
6,4-6,VERLORENER ANWURF Away,178,57,0,105,Littler L.,Humphries L.
7,4-6,VERLORENER ANWURF Away,40,57,138,0,Littler L.,Humphries L.
8,4-6,VERLORENER ANWURF Away,40,40,0,17,Littler L.,Humphries L.
0,5-6,,361,501,140,0,Littler L.,Humphries L.
1,5-6,,361,361,0,140,Littler L.,Humphries L.
2,5-6,,221,361,140,0,Littler L.,Humphries L.
3,5-6,,221,221,0,140,Littler L.,Humphries L.
4,5-6,,164,221,57,0,Littler L.,Humphries L.
5,5-6,,164,87,0,134,Littler L.,Humphries L.
0,5-7,,501,405,0,96,Littler L.,Humphries L.
1,5-7,,419,405,82,0,Littler L.,Humphries L.
2,5-7,,419,265,0,140,Littler L.,Humphries L.
3,5-7,,323,265,96,0,Littler L.,Humphries L.
4,5-7,,323,207,0,58,Littler L.,Humphries L.
5,5-7,,263,207,60,0,Littler L.,Humphries L.
6,5-7,,263,36,0,171,Littler L.,Humphries L.
7,5-7,,126,36,137,0,Littler L.,Humphries L.
0,6-7,,321,501,180,0,Littler L.,Humphries L.
1,6-7,,321,401,0,100,Littler L.,Humphries L.
2,6-7,,181,401,140,0,Littler L.,Humphries L.
3,6-7,,181,261,0,140,Littler L.,Humphries L.
4,6-7,,47,261,134,0,Littler L.,Humphries L.
5,6-7,,47,121,0,140,Littler L.,Humphries L.
0,6-8,,501,401,0,100,Littler L.,Humphries L.
1,6-8,,405,401,96,0,Littler L.,Humphries L.
2,6-8,,405,267,0,134,Littler L.,Humphries L.
3,6-8,,305,267,100,0,Littler L.,Humphries L.
4,6-8,,305,186,0,81,Littler L.,Humphries L.
5,6-8,,131,186,174,0,Littler L.,Humphries L.
6,6-8,,131,86,0,100,Littler L.,Humphries L.
7,6-8,,76,86,55,0,Littler L.,Humphries L.
0,7-8,,361,501,140,0,Littler L.,Humphries L.
1,7-8,,361,367,0,134,Littler L.,Humphries L.
2,7-8,,261,367,100,0,Littler L.,Humphries L.
3,7-8,,261,233,0,134,Littler L.,Humphries L.
4,7-8,,136,233,125,0,Littler L.,Humphries L.
5,7-8,,136,170,0,63,Littler L.,Humphries L.
0,7-9,,501,321,0,180,Littler L.,Humphries L.
1,7-9,,442,321,59,0,Littler L.,Humphries L.
2,7-9,,442,221,0,100,Littler L.,Humphries L.
3,7-9,,314,221,128,0,Littler L.,Humphries L.
4,7-9,,314,81,0,140,Littler L.,Humphries L.
5,7-9,,214,81,100,0,Littler L.,Humphries L.
6,7-9,,214,32,0,49,Littler L.,Humphries L.
7,7-9,,125,32,89,0,Littler L.,Humphries L.
