Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,0-1,,501,459,0,42,Littler L.,Aspinall N.
1,0-1,,362,459,139,0,Littler L.,Aspinall N.
2,0-1,,362,405,0,54,Littler L.,Aspinall N.
3,0-1,,268,405,94,0,Littler L.,Aspinall N.
4,0-1,,268,271,0,134,Littler L.,Aspinall N.
5,0-1,,170,271,98,0,Littler L.,Aspinall N.
6,0-1,,170,230,0,41,Littler L.,Aspinall N.
7,0-1,,110,230,60,0,Littler L.,Aspinall N.
8,0-1,,110,90,0,140,Littler L.,Aspinall N.
9,0-1,,20,90,90,0,Littler L.,Aspinall N.
10,0-1,,20,5,0,85,Littler L.,Aspinall N.
11,0-1,,10,5,10,0,Littler L.,Aspinall N.
0,1-1,,367,501,134,0,Littler L.,Aspinall N.
1,1-1,,367,418,0,83,Littler L.,Aspinall N.
2,1-1,,187,418,180,0,Littler L.,Aspinall N.
3,1-1,,187,322,0,96,Littler L.,Aspinall N.
4,1-1,,148,322,39,0,Littler L.,Aspinall N.
5,1-1,,148,197,0,125,Littler L.,Aspinall N.
6,1-1,,56,197,92,0,Littler L.,Aspinall N.
7,1-1,,56,138,0,59,Littler L.,Aspinall N.
0,2-1,VERLORENER ANWURF Away,501,367,0,134,Littler L.,Aspinall N.
1,2-1,VERLORENER ANWURF Away,406,367,95,0,Littler L.,Aspinall N.
2,2-1,VERLORENER ANWURF Away,406,271,0,96,Littler L.,Aspinall N.
3,2-1,VERLORENER ANWURF Away,272,271,134,0,Littler L.,Aspinall N.
4,2-1,VERLORENER ANWURF Away,272,188,0,83,Littler L.,Aspinall N.
5,2-1,VERLORENER ANWURF Away,137,188,135,0,Littler L.,Aspinall N.
6,2-1,VERLORENER ANWURF Away,137,94,0,94,Littler L.,Aspinall N.
7,2-1,VERLORENER ANWURF Away,20,94,117,0,Littler L.,Aspinall N.
8,2-1,VERLORENER ANWURF Away,20,16,0,78,Littler L.,Aspinall N.
0,3-1,,321,501,180,0,Littler L.,Aspinall N.
1,3-1,,321,380,0,121,Littler L.,Aspinall N.
2,3-1,,279,380,42,0,Littler L.,Aspinall N.
3,3-1,,279,240,0,140,Littler L.,Aspinall N.
4,3-1,,99,240,180,0,Littler L.,Aspinall N.
5,3-1,,99,60,0,180,Littler L.,Aspinall N.
0,3-2,,501,376,0,125,Littler L.,Aspinall N.
1,3-2,,364,376,137,0,Littler L.,Aspinall N.
2,3-2,,364,294,0,82,Littler L.,Aspinall N.
3,3-2,,271,294,93,0,Littler L.,Aspinall N.
4,3-2,,271,211,0,83,Littler L.,Aspinall N.
5,3-2,,208,211,63,0,Littler L.,Aspinall N.
6,3-2,,208,152,0,59,Littler L.,Aspinall N.
7,3-2,,68,152,140,0,Littler L.,Aspinall N.
8,3-2,,68,50,0,102,Littler L.,Aspinall N.
9,3-2,,20,50,48,0,Littler L.,Aspinall N.
0,3-3,VERLORENER ANWURF Home,420,501,81,0,Littler L.,Aspinall N.
1,3-3,VERLORENER ANWURF Home,420,321,0,180,Littler L.,Aspinall N.
2,3-3,VERLORENER ANWURF Home,360,321,60,0,Littler L.,Aspinall N.
3,3-3,VERLORENER ANWURF Home,360,201,0,120,Littler L.,Aspinall N.
4,3-3,VERLORENER ANWURF Home,264,201,96,0,Littler L.,Aspinall N.
5,3-3,VERLORENER ANWURF Home,264,141,0,60,Littler L.,Aspinall N.
6,3-3,VERLORENER ANWURF Home,164,141,100,0,Littler L.,Aspinall N.
7,3-3,VERLORENER ANWURF Home,164,52,0,89,Littler L.,Aspinall N.
8,3-3,VERLORENER ANWURF Home,70,52,94,0,Littler L.,Aspinall N.
9,3-3,VERLORENER ANWURF Home,70,8,0,44,Littler L.,Aspinall N.
10,3-3,VERLORENER ANWURF Home,25,8,45,0,Littler L.,Aspinall N.
0,4-3,VERLORENER ANWURF Away,501,324,0,177,Littler L.,Aspinall N.
1,4-3,VERLORENER ANWURF Away,441,324,60,0,Littler L.,Aspinall N.
2,4-3,VERLORENER ANWURF Away,441,246,0,78,Littler L.,Aspinall N.
3,4-3,VERLORENER ANWURF Away,261,246,180,0,Littler L.,Aspinall N.
4,4-3,VERLORENER ANWURF Away,261,148,0,98,Littler L.,Aspinall N.
5,4-3,VERLORENER ANWURF Away,166,148,95,0,Littler L.,Aspinall N.
6,4-3,VERLORENER ANWURF Away,166,99,0,49,Littler L.,Aspinall N.
7,4-3,VERLORENER ANWURF Away,32,99,134,0,Littler L.,Aspinall N.
8,4-3,VERLORENER ANWURF Away,32,16,0,83,Littler L.,Aspinall N.
0,5-3,,361,501,140,0,Littler L.,Aspinall N.
1,5-3,,361,418,0,83,Littler L.,Aspinall N.
2,5-3,,265,418,96,0,Littler L.,Aspinall N.
3,5-3,,265,333,0,85,Littler L.,Aspinall N.
4,5-3,,132,333,133,0,Littler L.,Aspinall N.
5,5-3,,132,237,0,96,Littler L.,Aspinall N.
6,5-3,,72,237,60,0,Littler L.,Aspinall N.
7,5-3,,72,141,0,96,Littler L.,Aspinall N.
8,5-3,,20,141,52,0,Littler L.,Aspinall N.
9,5-3,,20,36,0,105,Littler L.,Aspinall N.
0,6-3,VERLORENER ANWURF Away,501,444,0,57,Littler L.,Aspinall N.
1,6-3,VERLORENER ANWURF Away,361,444,140,0,Littler L.,Aspinall N.
2,6-3,VERLORENER ANWURF Away,361,304,0,140,Littler L.,Aspinall N.
3,6-3,VERLORENER ANWURF Away,303,304,58,0,Littler L.,Aspinall N.
4,6-3,VERLORENER ANWURF Away,303,204,0,100,Littler L.,Aspinall N.
5,6-3,VERLORENER ANWURF Away,204,204,99,0,Littler L.,Aspinall N.
6,6-3,VERLORENER ANWURF Away,204,104,0,100,Littler L.,Aspinall N.
7,6-3,VERLORENER ANWURF Away,24,104,180,0,Littler L.,Aspinall N.
8,6-3,VERLORENER ANWURF Away,24,20,0,84,Littler L.,Aspinall N.
0,0-1,,501,361,0,140,Cross R.,Aspinall N.
1,0-1,,364,361,137,0,Cross R.,Aspinall N.
2,0-1,,364,304,0,57,Cross R.,Aspinall N.
3,0-1,,187,304,177,0,Cross R.,Aspinall N.
4,0-1,,187,204,0,100,Cross R.,Aspinall N.
5,0-1,,16,204,171,0,Cross R.,Aspinall N.
6,0-1,,16,160,0,44,Cross R.,Aspinall N.
7,0-1,,16,160,0,0,Cross R.,Aspinall N.
8,0-1,,16,40,0,120,Cross R.,Aspinall N.
9,0-1,,8,40,8,0,Cross R.,Aspinall N.
0,0-2,VERLORENER ANWURF Home,376,501,125,0,Cross R.,Aspinall N.
1,0-2,VERLORENER ANWURF Home,376,441,0,60,Cross R.,Aspinall N.
2,0-2,VERLORENER ANWURF Home,283,441,93,0,Cross R.,Aspinall N.
3,0-2,VERLORENER ANWURF Home,283,261,0,180,Cross R.,Aspinall N.
4,0-2,VERLORENER ANWURF Home,231,261,52,0,Cross R.,Aspinall N.
5,0-2,VERLORENER ANWURF Home,231,164,0,97,Cross R.,Aspinall N.
