Vorige Position,Aktuelle Position,,Name,Nationalität,Preisgeld
1,1,↔,"Taylor, Phil",England,£1.081.888
2,2,↔,"Wade, James",England,£311.075
3,3,↔,"Barneveld, Raymond van",Netherlands,£279.437
4,4,↔,"Whitlock, Simon",Australia,£206.950
5,5,↔,"Lewis, Adrian",England,£199.979
6,6,↔,"King, Mervyn",England,£186.879
7,7,↔,"Jenkins, Terry",England,£181.857
8,8,↔,"Baxter, Ronnie",England,£178.842
9,9,↔,"Lloyd, Colin",England,£170.422
11,10,↑,"Walsh, Mark",England,£168.171
10,11,↓,"Anderson, Gary",Scotland,£162.450
12,12,↔,"Hamilton, Andy",England,£155.980
13,13,↔,"Jones, Wayne",England,£150.122
14,14,↔,"Osborne, Colin",England,£146.471
15,15,↔,"Newton, Wesley",England,£144.939
16,16,↔,"Nicholson, Paul",Australia,£142.254
17,17,↔,"Stompé, Co",Netherlands,£137.239
18,18,↔,"Painter, Kevin",England,£136.079
19,19,↔,"Caven, Jamie",England,£126.918
20,20,↔,"Voort, Vincent van der",Netherlands,£124.537
21,21,↔,"Thornton, Robert",Scotland,£123.003
22,22,↔,"Priestley, Dennis",England,£120.459
23,23,↔,"Tabern, Alan",England,£114.276
24,24,↔,"Beaton, Steve",England,£112.385
25,25,↔,"Webster, Mark",Wales,£109.142
26,26,↔,"Klaasen, Jelle",Netherlands,£107.471
27,27,↔,"Smith, Andy",England,£101.633
28,28,↔,"Dudbridge, Mark",England,£100.672
29,29,↔,"Ovens, Denis",England,£100.057
30,30,↔,"Bates, Barrie",Wales,£81.771
31,31,↔,"Gerwen, Michael van",Netherlands,£78.079
32,32,↔,"Part, John",Canada,£67.786
33,33,↔,"Eccles, Tony",England,£58.471
35,34,↑,"Mardle, Wayne",England,£51.771
34,35,↓,"Dolan, Brendan",Northern Ireland,£51.200
36,36,↔,"McDine, Kevin",England,£51.021
37,37,↔,"Brown, Steve",England,£44.329
38,38,↔,"Manley, Peter",England,£44.207
39,39,↔,"Wright, Peter",Scotland,£41.321
40,40,↔,"Jenkins, Andy",England,£38.568
41,41,↔,"Hine, Steve",England,£37.564
42,42,↔,"Shepherd, Kirk",England,£36.520
43,43,↔,"Maish, Steve",England,£34.335
44,44,↔,"Smith, Dennis",England,£34.285
45,45,↔,"Scholten, Roland",Netherlands,£32.992
46,46,↔,"Roy, Alex",England,£32.233
47,47,↔,"Clark, Matt",England,£29.371
48,48,↔,"Ayres, Tony",England,£28.400
49,49,↔,"Monk, Colin",England,£25.918
50,50,↔,"Suljovic, Mensur",Austria,£24.733
51,51,↔,"Magowan, John",Northern Ireland,£23.700
51,52,↓,"Rodriguez, Carlos",Spain,£23.200
53,53,↔,"Young, Darin",USA,£21.971
54,54,↔,"Pipe, Justin",England,£20.400
56,55,↑,"Farmer, Steve",England,£18.500
55,56,↓,"Thompson, Chris",England,£18.300
57,57,↔,"Barnard, Michael",England,£16.900
59,58,↑,"Fullwell, Nick",England,£16.100
58,59,↓,"Heydon, Nigel",England,£16.000
60,60,↔,"McGowan, Mick",Ireland,£15.783
61,61,↔,"Gray, Adrian",England,£15.629
62,62,↔,"Burnett, Richie",Wales,£15.000
63,63,↔,"Johnson, Darren",England,£14.700
65,64,↑,"Blundell, Louis",England,£14.300
64,65,↓,"Welge, Andree",Germany,£14.200
66,66,↔,"Artut, Jyhan",Germany,£13.500
67,67,↔,"Grubb, Steve",England,£13.450
68,68,↔,"Lawrence, Mark",England,£13.400
69,69,↔,"Mason, Chris",England,£13.233
70,70,↔,"Frost, Mark",England,£13.100
71,71,↔,"Evans, Steve",Wales,£12.933
73,72,↑,"Cullen, Joe",England,£12.300
72,73,↓,"Davis, Bill",USA,£12.121
74,74,↔,"Duo, Dylan",Gibraltar,£11.800
75,75,↔,"Atwood, Wayne",Wales,£10.800
75,76,↓,"O'Connor, William",Ireland,£10.500
77,77,↔,"Turner, Martyn",England,£10.300
78,78,↔,"MacNeil, Ken",Canada,£10.121
79,79,↔,"Burnett, Scott",USA,£9.521
80,80,↔,"Laursen, Per",Denmark,£9.200
81,81,↔,"Monk, Arron",England,£8.800
81,82,↓,"Roith, Bernd",Germany,£8.300
84,83,↑,"O'Neill, Aodhagan",Ireland,£8.200
83,84,↓,"Mawson, Gary",USA,£8.071
86,85,↑,"Stephenson, Mark",England,£8.050
85,86,↓,"Welding, Gary",England,£7.900
87,87,↔,"Komula, Jarkko",Finland,£7.700
87,87,↔,"Seyler, Tomas",Germany,£7.700
92,89,↑,"Smith, Michael",England,£7.600
91,90,↑,"Hylton, Mark",England,£7.400
89,91,↓,"Hazel, Phillip",New Zealand,£7.200
89,91,↓,"McBrearty, Felix",Northern Ireland,£7.200
92,93,↓,"Honey, Dave",England,£6.800
94,94,↔,"Sams, Lionel",England,£6.700
95,95,↔,"Caris, Magnus",Sweden,£6.500
96,96,↔,"Fatum, David",USA,£6.421
97,97,↔,"Kantele, Marko",Finland,£6.300
97,97,↔,"Parry, Warren",New Zealand,£6.300
99,99,↔,"Bezzeg, Nandor",Hungary,£6.200
100,100,↔,"Alcinas, Antonio",Spain,£6.100
104,100,↑,"Hardy, Stephen",England,£6.100
101,102,↓,"Kijamet, Osmann",Slovenia,£6.000
101,102,↓,"Muramatsu, Haruki",Japan,£6.000
101,102,↓,"Perez, Christian",Philippines,£6.000
105,105,↔,"Smith, Dave",England,£5.900
107,105,↑,"White, Ian",England,£5.900
109,107,↑,"Ladley, Dave",England,£5.800
106,108,↓,"Clark, Jason",Scotland,£5.633
108,109,↓,"Dobson, Kenny",England,£5.400
112,110,↑,"Dowling, Kevin",England,£5.333
109,111,↓,"Dobromyslova, Anastasia",Russia,£5.300
109,111,↓,"Dutton, Stuart",England,£5.300
113,113,↔,"Riihonen, Par",Sweden,£5.000
113,114,↓,"Askew, Dave",England,£4.800
113,114,↓,"Rand, Scott",England,£4.800
117,116,↑,"Barton, James",England,£4.700
116,117,↓,"Randell, Tony",England,£4.600
118,118,↔,"Rosenauer, Michael",Germany,£4.300
119,119,↔,"Hudson, Peter",England,£4.100
120,120,↔,"Cox, Mark",England,£3.800
121,121,↔,"Williams, Lee",England,£3.700
122,122,↔,"Francis, Les",South Africa,£3.500
122,122,↔,"Kciuk, Krzysztof",Poland,£3.500
122,122,↔,"Konchikov, Roman",Russia,£3.500
122,122,↔,"Madhoo, Norman",Guyana,£3.500
122,122,↔,"Ruiz, Francisco",Spain,£3.500
128,127,↑,"Padgett, Matt",England,£3.400
127,128,↓,"Eastwood, Gary",England,£3.300
128,129,↓,"Jodrill, Mark",England,£3.200
130,130,↔,"White, Chris",Canada,£3.100
131,131,↔,"Puls, Marko",Germany,£2.929
134,132,↑,"Jopling, Ian",England,£2.900
132,133,↓,"Okken, Johnny",Netherlands,£2.800
133,134,↓,"Quantock, John",England,£2.750
134,135,↓,"Kuczynski, John",USA,£2.700
134,135,↓,"McFarlane, Ian",England,£2.700
134,135,↓,"Relf, Andy",England,£2.700
138,138,↔,"Masurka, Mario",Germany,£2.633
139,139,↔,"Langendorf, Maik",Austria,£2.600
139,139,↔,"Pecjak, Sebastijan",Slovenia,£2.600
143,141,↑,"Allen, Sam",England,£2.500
146,141,↑,"Webster, Darren",England,£2.500
141,143,↓,"Birch, Nigel",England,£2.400
145,143,↑,"Latham, Darren",England,£2.400
146,143,↑,"Michels, Mareno",Netherlands,£2.400
141,143,↓,"Roncero, Braulio",Netherlands,£2.400
143,147,↓,"Musson, Steve",England,£2.300
148,148,↔,"Mink, Wim",Netherlands,£2.000
149,149,↔,"Craven, Simon",England,£1.900
149,149,↔,"Mansell, Michael",Northern Ireland,£1.900
159,151,↑,"Atkins, Jamie",England,£1.800
151,151,↔,"Blades, Gary",England,£1.800
151,151,↔,"Lever, Ian",England,£1.800
151,151,↔,"Temple, Terry",England,£1.800
166,151,↑,"Whitworth, Geoff",England,£1.800
154,156,↓,"Harris, Kevin",England,£1.750
155,157,↓,"Bulen, Patrick",Belgium,£1.700
155,157,↓,"Cunningham, Simon",England,£1.700
163,157,↑,"Mann, Jimmy",England,£1.700
155,157,↓,"Weaver, Darren",England,£1.700
158,161,↓,"Lim, Paul",USA,£1.650
159,162,↓,"Huybrechts,Kim",Belgium,£1.600
159,162,↓,"Rowley, Paul",England,£1.600
159,162,↓,"Sterk, Andries",Netherlands,£1.600
163,165,↓,"Maes, Rocco",Belgium,£1.500
163,165,↓,"Parker, Robbie",England,£1.500
166,167,↓,"Hutchings, Andy",England,£1.400
166,167,↓,"Kralt, Willem",Netherlands,£1.400
166,167,↓,"Newland, Robbie",England,£1.400
166,167,↓,"Parody, Dyson",Gibraltar,£1.400
171,171,↔,"Callaby, Andy",England,£1.300
178,171,↑,"Iedema,Chris",Netherlands,£1.300
171,171,↔,"Martin, Peter",Slovakia,£1.300
171,171,↔,"Williams, Paul",England,£1.300
174,175,↓,"Reed,Sean",Australia,£1.250
175,176,↓,"Overdijk, Christan van",Netherlands,£1.200
175,176,↓,"Ratajski, Krzsystof",Poland,£1.200
175,176,↓,"Vuyst, Didier de",Belgium,£1.200
178,179,↓,"Gonzales, Julio Barbero",Spain,£1.100
178,179,↓,"Kloenhammer, Michael",Germany,£1.100
178,179,↓,"Michael, John",Greece,£1.100
195,182,↑,"Alford, Robert",Wales,£1.000
182,182,↔,"Allsopp, Dean",England,£1.000
182,182,↔,"Andersen, Vladimir",Denmark,£1.000
182,182,↔,"Carter, Mark",England,£1.000
182,182,↔,"Roach, Brian",Australia,£1.000
186,187,↓,"Rice, Colin",Germany,£933
187,188,↓,"Sinnaeve, Bob",Canada,£921
188,189,↓,"Allen, Chris",England,£900
188,189,↓,"Modra, Rob",Australia,£900
188,189,↓,"Pettarini, Sergio",Italy,£900
188,189,↓,"Prizeman, Craig",Australia,£900
188,189,↓,"Ridd, Preston",New Zealand,£900
188,189,↓,"Tichowitsch, Shane",Australia,£900
194,195,↓,"Switzer, Dave",Canada,£821
195,196,↓,"Archer, Jon",England,£800
195,196,↓,"Blundell, Tony",England,£800
195,196,↓,"Fordham, Andy",England,£800
195,196,↓,"Pearce, Andy",England,£800
195,196,↓,"Renkema, Erwin",Netherlands,£800
195,196,↓,"Snook, Ross",Canada,£800
202,202,↔,"Münch, Kevin",Germany,£733
203,203,↔,"Liscsey, Anton",England,£700
203,203,↔,"Olson,Dan",Canada,£700
203,203,↔,"Vos, Gino",Netherlands,£700
206,206,↔,"Honner, Johann",Germany,£629
207,207,↔,"Balzer, Marko",Germany,£600
232,207,↑,"Burt, Simon",England,£600
207,207,↔,"Coyne, David",Ireland,£600
207,207,↔,"Federico, George",Gibraltar,£600
207,207,↔,"Frost, Trevor",England,£600
207,207,↔,"Jouannet, Barry",Australia,£600
207,207,↔,"Martin, Tom",England,£600
207,207,↔,"Martin, Tony",England,£600
207,207,↔,"Mawer, Daz",England,£600
207,207,↔,"Pace, Patrick",England,£600
207,207,↔,"Pinhorne, Danny",England,£600
207,207,↔,"Schutsch, Dieter",USA,£600
207,207,↔,"Zander, Barry",Netherlands,£600
207,207,↔,"Zapata, Henry",Gibraltar,£600
220,221,↓,"Kapucian, Martin",Czech Republic,£533
220,221,↓,"Nedic, Sladan",Germany,£533
222,223,↓,"Bartels,Robert-Jan",Netherlands,£500
222,223,↓,"Convery, Gerry",Canada,£500
222,223,↓,"Helder, Michel",Netherlands,£500
222,223,↓,"Pas, Benito van de",Netherlands,£500
222,223,↓,"Vogt, Ingo",Germany,£500
222,223,↓,"Vollmer, Axel",Germany,£500
222,223,↓,"Vreede, Ryan de",Netherlands,£500
229,230,↓,"Snider, Davis",USA,£450
230,231,↓,"Joe, Donny",USA,£442
231,232,↓,"Lauby, Dan",USA,£421
232,233,↓,"Allen, Peter",England,£400
232,233,↓,"Atwill, Ron",England,£400
232,233,↓,"Bennett, Alan",Ireland,£400
232,233,↓,"Bottrell, Phil",Australia,£400
232,233,↓,"Bromberg,Stacy",USA,£400
232,233,↓,"Butler,Larry",USA,£400
232,233,↓,"Costa, Javier Pia",Spain,£400
232,233,↓,"Critchett, Ian",England,£400
232,233,↓,"Depaynos,Nico",USA,£400
232,233,↓,"Downs,Sean",USA,£400
232,233,↓,"Drtil, Pavel",Czech Republic,£400
232,233,↓,"Hendriks,Jerry",Netherlands,£400
232,233,↓,"Herrington,Ryan*",England,£400
232,233,↓,"Jones, Mark",England,£400
232,233,↓,"Kornath,Karsten",Germany,£400
232,233,↓,"Kröckel, Andy",Germany,£400
232,233,↓,"Long, Jim",Canada,£400
232,233,↓,"Loos, Patrick",Netherlands,£400
232,233,↓,"Mendoza, Celestino Munoz",Spain,£400
232,233,↓,"Noble, Jeff",Canada,£400
232,233,↓,"O'Donnell, Ray",Australia,£400
232,233,↓,"Orsouw, Hermie van",Netherlands,£400
300,233,↑,"Pearson, Andy",England,£400
300,233,↑,"Pearson, Steve",England,£400
232,233,↓,"Perales, Jose Antonio Justicia",Spain,£400
232,233,↓,"Restovic,Tonci",Croatia,£400
232,233,↓,"Rooney, Keith",Ireland,£400
232,233,↓,"Schnier, Hannes",Austria,£400
232,233,↓,"Startin, Brian",England,£400
300,233,↑,"Tiller, Mark",England,£400
232,233,↓,"Veljic,Isen",USA,£400
232,233,↓,"Warriner-Little, Alan",England,£400
232,233,↓,"Weyman, Jerry",Australia,£400
232,233,↓,"Wylie, Geoff",Northern Ireland,£400
264,267,↓,"Avci, Ali",Germany,£333
264,267,↓,"Haut, Detlev",Germany,£333
264,267,↓,"Martin, Lars",Germany,£333
264,267,↓,"Pfaff, Hans",Germany,£333
264,267,↓,"Tupuschis, Olaf",Germany,£333
269,272,↓,"Dixon, Gordon",USA,£321
269,272,↓,"Nielsen, Mark",Canada,£321
271,274,↓,"Asmussen, Peter",Australia,£300
271,274,↓,"Barlow, Jayson",Canada,£300
271,274,↓,"Carver,Ray",USA,£300
271,274,↓,"Corriveau,Dano",Canada,£300
271,274,↓,"Crampton, Tony",Australia,£300
271,274,↓,"Cruz, Francisco Javier Gonzales",Spain,£300
271,274,↓,"Fagg,Jeremy",Australia,£300
271,274,↓,"Heinsoe, Nils",Denmark,£300
271,274,↓,"Krcmar, Boris",Croatia,£300
271,274,↓,"Ljubic, Pero",Austria,£300
271,274,↓,"Miller, Bernie",Canada,£300
271,274,↓,"Neighbour, Paul",Australia,£300
271,274,↓,"Newman, Jim",USA,£300
271,274,↓,"Padget,Steve",New Zealand,£300
271,274,↓,"Platt,David",Australia,£300
271,274,↓,"Schaumann, Peter",USA,£300
271,274,↓,"Seifert, Swen",Germany,£300
271,274,↓,"Tremblay, Martin",Canada,£300
271,274,↓,"Venken,Davyd",Belgium,£300
271,274,↓,"West, Steve",Netherlands,£300
271,274,↓,"Whittington, Don",Australia,£300
271,274,↓,"Wilson, Andrew",Canada,£300
293,296,↓,"Brandon, Jason",USA,£221
293,296,↓,"Pankow, Chuck",USA,£221
293,296,↓,"Panuncialman, Stephen",USA,£221
293,296,↓,"Staney, Brian",USA,£221
293,296,↓,"Vanti, Joe da",USA,£221
293,296,↓,"Whitt, Dave",USA,£221
293,296,↓,"Zimmerman, Dan",USA,£221
300,303,↓,"Ahmet, Dave",England,£200
300,303,↓,"Aitken, Bill",Australia,£200
300,303,↓,"Anderson,Mark",Australia,£200
300,303,↓,"Anthony, Paul",England,£200
300,303,↓,"Aufmhoff, Jorg",Germany,£200
300,303,↓,"Baillie, Roy",Northern Ireland,£200
300,303,↓,"Bennett,Andrew",USA,£200
300,303,↓,"Bevan, Martyn",England,£200
300,303,↓,"Biemans, Bobby",Netherlands,£200
300,303,↓,"Boehm, Doug",Canada,£200
300,303,↓,"Bosano, Amos",Gibraltar,£200
300,303,↓,"Bourque, Sylvain",Canada,£200
300,303,↓,"Boussen, Sean",Canada,£200
300,303,↓,"Boyle, Anthony",Ireland,£200
300,303,↓,"Bracken,John",Ireland,£200
300,303,↓,"Breasley, Dave",Australia,£200
300,303,↓,"Brenneman,Shawn",Canada,£200
300,303,↓,"Broek, Peter van der",Netherlands,£200
300,303,↓,"Broton, Justin",Gibraltar,£200
300,303,↓,"Brown,Stuart",Canada,£200
300,303,↓,"Bunyard, John",Australia,£200
300,303,↓,"Burger, Dietmar",Austria,£200
300,303,↓,"Burkhardt, Volker",Austria,£200
300,303,↓,"Byrne, Keith",Ireland,£200
300,303,↓,"Carey,Eamon",Ireland,£200
300,303,↓,"Carman, Andre",Canada,£200
300,303,↓,"Carrero, Rafael Ortega",Spain,£200
300,303,↓,"Cavanagh, Ernie",Canada,£200
300,303,↓,"Clark, Tony",England,£200
