Vorige Position,Aktuelle Position,Name,Nationalität,Preisgeld
1,1,"Taylor, Phil",England,"£748,350"
2,2,"van Gerwen, Michael",Netherlands,"£540,650"
3,3,"Lewis, Adrian",England,"£437,400"
4,4,"Whitlock, Simon",Australia,"£311,300"
5,5,"Hamilton, Andy",England,"£295,700"
6,6,"Wade, James",England,"£265,000"
7,7,"Chisnall,Dave",England,"£256,300"
8,8,"Newton, Wesley",England,"£205,200"
9,9,"Thornton, Robert",Scotland,"£204,400"
10,10,"van Barneveld, Raymond",Netherlands,"£200,100"
11,11,"Pipe, Justin",England,"£197,600"
12,12,"Huybrechts,Kim",Belgium,"£186,000"
15,13,"Dolan, Brendan",Northern Ireland,"£161,400"
14,14,"King, Mervyn",England,"£155,400"
17,15,"Jenkins, Terry",England,"£148,300"
16,16,"Wright, Peter",Scotland,"£145,500"
18,17,"Anderson, Gary",Scotland,"£140,550"
21,18,"White, Ian",England,"£134,650"
19,19,"Baxter, Ronnie",England,"£132,300"
20,20,"Nicholson, Paul",Australia,"£125,500"
13,21,"Painter, Kevin",England,"£123,700"
22,22,"Beaton, Steve",England,"£121,650"
23,23,"Caven, Jamie",England,"£116,400"
24,24,"Lloyd, Colin",England,"£110,700"
25,25,"Part, John",Canada,"£100,800"
27,26,"Smith, Andy",England,"£86,500"
28,27,"Burnett, Richie",Wales,"£85,000"
30,28,"van der Voort, Vincent",Netherlands,"£76,800"
26,29,"Webster, Mark",Wales,"£71,950"
29,30,"Walsh, Mark",England,"£71,800"
31,31,"Jones, Wayne",England,"£68,850"
32,32,"Smith, Michael",England,"£65,900"
35,33,"Kellett, Stuart",England,"£61,100"
36,34,"Klaasen, Jelle",Netherlands,"£60,650"
33,35,"Osborne, Colin",England,"£57,450"
37,36,"Cullen, Joe",England,"£49,100"
38,37,"Winstanley, Dean",England,"£47,650"
34,38,"Rand, Scott",England,"£43,350"
39,39,"Monk, Arron",England,"£40,200"
40,40,"Webster, Darren",England,"£36,400"
44,41,"Mansell,Micky",Northern Ireland,"£32,900"
42,42,"Ovens, Denis",England,"£32,550"
48,43,"Lewis,Jamie",Wales,"£32,400"
45,44,"Suljovic, Mensur",Austria,"£32,050"
46,45,"Huybrechts, Ronny",Belgium,"£31,700"
41,46,"Brown, Steve",England,"£30,150"
49,47,"Hubbard,James",England,"£28,650"
47,48,"Henderson,John",Scotland,"£28,550"
50,49,"Richardson,James",England,"£28,250"
50,49,"Smith, Dennis",England,"£28,250"
43,51,"Stompé, Co",Netherlands,"£27,850"
53,52,"Bowles, John",England,"£26,400"
52,53,"Tabern, Alan",England,"£24,750"
54,54,"Caris, Magnus",Sweden,"£24,650"
55,55,"Priestley, Dennis",England,"£24,600"
56,56,"Jenkins, Andy",England,"£23,950"
57,57,"Hudson, Peter",England,"£21,850"
58,58,"Scholten, Roland",Netherlands,"£21,450"
59,59,"Farmer, Steve",England,"£20,900"
60,60,"Hendriks, Jerry",Netherlands,"£20,800"
61,61,"Dudbridge, Mark",England,"£20,700"
62,62,"Heydon, Nigel",England,"£19,450"
63,63,"Finnan,Connie",Ireland,"£19,100"
65,64,"Haines, Johnny",England,"£17,250"
65,64,"Vos, Gino",Netherlands,"£17,250"
67,66,"Jones, Mark",England,"£16,700"
68,67,"Smith, Ross",England,"£16,250"
64,68,"Hylton, Mark",England,"£16,000"
69,69,"O'Connor, William",Ireland,"£14,750"
70,70,"Temple,Terry",England,"£13,400"
71,71,"Fullwell, Nick",England,"£13,250"
71,71,"McDine,Kevin",England,"£13,250"
73,73,"Gray, Adrian",England,"£12,200"
74,74,"Gilding, Andrew",England,"£12,000"
74,74,"Walker, Jim",Scotland,"£12,000"
76,76,Evans.Ricky,England,"£11,550"
77,77,"West, Steve",England,"£11,000"
78,78,"Barnard, Michael",England,"£10,750"
79,79,"West, Tony",England,"£10,250"
80,80,"Griffiths,Shaun",England,"£10,050"
81,81,"Edgar,Matthew",England,"£9,950"
82,82,"Howson, Richie",England,"£9,700"
83,83,"Roy, Alex",England,"£9,500"
84,84,"Alcinas, Antonio",Spain,"£9,250"
85,85,"Gurney,Daryl",Northern Ireland,"£9,150"
86,86,"Artut, Jyhan",Germany,"£9,100"
87,87,"Robinson,Jamie",England,"£8,650"
88,88,"Hankey, Ted",England,"£8,550"
89,89,"Pallett,David",England,"£8,450"
90,90,"Seyler,Tomas",Germany,"£8,250"
91,91,"Cox, Mark",England,"£7,750"
92,92,"Clark, Matt",England,"£7,400"
93,93,"Murnan, Joe",England,"£7,200"
94,94,"Amos,Paul",England,"£7,050"
95,95,"Michels, Mareno",Netherlands,"£7,000"
96,96,"Cousins, Gareth",England,"£6,750"
96,96,"Hopp,Max",Germany,"£6,750"
98,98,"Roith, Bernd",Germany,"£6,500"
99,99,"Brown,Keegan",England,"£6,150"
99,99,"Palfreyman,Joey",England,"£6,150"
101,101,"Dowling,Kevin",England,"£5,650"
102,102,"Johnson,Darren",England,"£5,550"
103,103,"Haavisto,Jani",Finland,"£5,500"
104,104,"Stephen, Keith J",Scotland,"£5,400"
104,104,"Van De Rijck, Kurt",Belgium,"£5,400"
106,106,"Komula,Jarkko",Finland,"£5,250"
107,107,"Frost,Mark",England,"£4,950"
108,108,"Payne,Josh",England,"£4,650"
109,109,"de Geus, Leon",Netherlands,"£4,450"
109,109,"MacNeil,Ken",Canada,"£4,450"
111,111,"Hogg,Jason",Scotland,"£4,400"
111,111,"Robinson,Reece",England,"£4,400"
113,113,"Fowler, Colin",England,"£4,300"
113,113,"Hine, Steve",England,"£4,300"
115,115,"Hunt, Adam",England,"£4,150"
116,116,"Jackson,Campbell",Northern Ireland,"£4,050"
117,117,"Hardy, Stephen",England,"£4,000"
118,118,"Littleton, Tony",England,"£3,800"
119,119,"Palfreyman, Lee",England,"£3,650"
120,120,"Scott, John",England,"£3,550"
121,121,"Aubrey,Chris",England,"£3,500"
121,121,"Pass, Gareth",England,"£3,500"
123,123,"Todd,Mick",England,"£3,450"
124,124,"Sudale,Ricky",England,"£3,400"
125,125,"Lawrence,Mark",England,"£3,350"
126,126,"Padgett, Matt",England,"£3,200"
127,127,"Meaney,Paddy",Ireland,"£3,150"
128,128,"Shepherd,Kirk",England,"£3,100"
129,129,"Whittingham,Darren",England,"£2,950"
130,130,"Russell,Dan",England,"£2,900"
131,131,"Barham,Paul",England,"£2,850"
132,132,"Grubb, Steve",England,"£2,650"
133,133,"Jiwa,Prakash",India,"£2,600"
134,134,"Langendorf,Maik",Austria,"£2,500"
135,135,"Dennant, Matthew",England,"£2,350"
136,136,"Maish,Steve",England,"£2,200"
137,137,"Hurtz,Michael",Germany,"£2,000"
137,137,"Thomas,Kevin",Wales,"£2,000"
139,139,"Brown,Darren",England,"£1,950"
139,139,"Moss,Ian",England,"£1,950"
141,141,"Parsons,Andy",England,"£1,850"
142,142,"Dewsbury,Marc",England,"£1,700"
143,143,"de Vreede,Ryan",Netherlands,"£1,650"
143,143,"Harrington,Ryan",England,"£1,650"
145,145,"Rooney,Keith",Ireland,"£1,600"
146,146,"Derrett, Alan",England,"£1,550"
147,147,"Pearce,Andy",England,"£1,500"
