Aktuelle Position,Name,Preisgeld
1,Michael van Gerwen,"£1,453,500"
2,Rob Cross,"£750,750"
3,Peter Wright,"£742,500"
4,Gary Anderson,"£640,000"
5,Daryl Gurney,"£552,250"
6,Gerwyn Price,"£399,750"
7,Mensur Suljovic,"£391,750"
8,Simon Whitlock,"£352,750"
9,James Wade,"£344,000"
10,Michael Smith,"£330,500"
11,Ian White,"£291,750"
12,Dave Chisnall,"£267,750"
13,Darren Webster,"£264,750"
14,Joe Cullen,"£244,000"
15,Jonny Clayton,"£234,750"
16,Adrian Lewis,"£232,750"
17,Raymond van Barneveld,"£225,750"
18,Stephen Bunting,"£202,250"
19,Mervyn King,"£194,250"
20,Steve Beaton,"£190,250"
21,Kim Huybrechts,"£184,000"
22,Steve West,"£176,750"
23,John Henderson,"£174,750"
24,Jelle Klaasen,"£173,250"
25,Alan Norris,"£162,250"
26,James Wilson,"£160,500"
27,Kyle Anderson,"£156,250"
28,Jamie Lewis,"£145,750"
29,Jermaine Wattimena,"£141,000"
30,Benito van de Pas,"£140,750"
31,Cristo Reyes,"£139,500"
32,Max Hopp,"£136,750"
33,Robert Thornton,"£127,000"
34,Justin Pipe,"£119,000"
35,Dimitri Van den Bergh,"£118,250"
36,Chris Dobey,"£115,000"
37,Vincent van der Voort,"£114,000"
38,Steve Lennon,"£113,000"
39,Richard North,"£108,500"
40,Keegan Brown,"£103,250"
41,Mark Webster,"£97,250"
42,Ricky Evans,"£91,750"
43,Jan Dekker,"£89,750"
44,Jeffrey de Zwaan,"£87,000"
45,Brendan Dolan,"£85,750"
46,Martin Schindler,"£85,500"
47,Danny Noppert,"£82,000"
48,Christian Kist,"£81,000"
49,Ron Meulenkamp,"£77,500"
50,William O'Connor,"£74,500"
51,James Richardson,"£74,250"
52,Ronny Huybrechts,"£73,750"
53,Josh Payne,"£72,750"
54,Krzysztof Ratajski,"£70,500"
55,Toni Alcinas,"£65,000"
56,Kevin Painter,"£63,750"
57,Zoran Lerchbacher,"£61,000"
58,Andrew Gilding,"£55,000"
59,Corey Cadby,"£54,500"
60,Peter Jacques,"£52,250"
61,Ryan Searle,"£52,000"
62,Jeffrey de Graaf,"£52,000"
63,Mickey Mansell,"£48,000"
64,Paul Nicholson,"£45,750"
65,Robbie Green,"£43,250"
66,Gabriel Clemens,"£40,750"
67,Rowby-John Rodriguez,"£40,500"
68,Jamie Caven,"£40,500"
69,Darren Johnson,"£39,750"
70,Devon Petersen,"£38,000"
71,Terry Jenkins,"£36,750"
72,Joe Murnan,"£35,250"
73,Nathan Aspinall,"£33,000"
74,Ryan Joyce,"£32,750"
75,Kirk Shepherd,"£31,500"
76,Robert Owen,"£30,750"
77,Chris Quantock,"£30,750"
78,Madars Razma,"£30,250"
79,Jimmy Hendriks,"£28,500"
80,Stephen Burton,"£26,250"
81,Michael Barnard,"£26,250"
82,Scott Taylor,"£26,000"
83,Ritchie Edhouse,"£25,000"
84,Simon Stevenson,"£24,750"
85,Mick McGowan,"£24,750"
86,Matthew Edgar,"£24,250"
87,David Pallett,"£24,250"
88,Steve Hine,"£23,750"
89,Jamie Bain,"£23,750"
90,Luke Humphries,"£21,750"
91,Alan Tabern,"£21,500"
92,Ross Smith,"£21,250"
93,Wayne Jones,"£18,750"
94,Richie Burnett,"£18,500"
95,Robert Marijanovic,"£17,750"
96,Paul Rowley,"£17,750"
97,John Part,"£16,000"
98,Adam Hunt,"£15,500"
99,Cameron Menzies,"£14,500"
100,Luke Woodhouse,"£14,250"
101,Jason Lowe,"£14,000"
102,Ryan Meikle,"£14,000"
103,Aden Kirk,"£13,750"
104,Andy Boulton,"£13,750"
105,Maik Langendorf,"£13,750"
106,Jamie Hughes,"£13,000"
107,Dirk van Duijvenbode,"£12,250"
108,Darius Labanauskas,"£12,000"
109,Ronnie Baxter,"£10,250"
110,Tytus Kanik,"£10,000"
111,Peter Hudson,"£9,500"
112,Dawson Murschell,"£9,000"
113,Arron Monk,"£8,500"
114,Jarred Cole,"£8,250"
115,Bradley Brooks,"£8,250"
116,Michael Rasztovits,"£8,250"
117,Davy Van Baelen,"£7,500"
118,Ted Evetts,"£7,500"
119,Mark Wilson,"£7,500"
120,Jason Cullen,"£7,250"
121,Ross Twell,"£7,000"
122,Jose Justicia,"£7,000"
123,Ryan Harrington,"£6,750"
124,Adam Huckvale,"£6,750"
125,Prakash Jiwa,"£6,750"
126,Vincent Kamphuis,"£6,500"
127,Lee Bryant,"£6,500"
128,Dave Prins,"£6,250"
129,Yordi Meeuwisse,"£6,000"
130,George Killington,"£5,750"
131,Nathan Rafferty,"£5,750"
132,Mario Robbe,"£5,750"
133,Dragutin Horvat,"£5,000"
134,Tony Newell,"£4,750"
135,Marko Kantele,"£4,250"
136,Barry Lynn,"£4,250"
137,Mike De Decker,"£4,250"
138,Gary Eastwood,"£4,000"
139,René Eidams,"£4,000"
140,David Evans,"£4,000"
141,Diogo Portela,"£3,750"
142,John Goldie,"£3,750"
143,Robert Rickwood,"£3,750"
144,Kevin Burness,"£3,500"
145,Martin Atkins (Wigan),"£3,500"
146,Barrie Bates,"£3,250"
147,Mark Dudbridge,"£3,250"
148,Rusty-Jake Rodriguez,"£3,250"
149,Cody Harris,"£3,250"
150,Sven Groen,"£3,250"
151,Terry Temple,"£3,000"
152,Kevin Münch,"£3,000"
153,Matt Padgett,"£3,000"
154,Simon Preston,"£3,000"
155,John Norman Jnr,"£3,000"
156,Scott Darbyshire,"£3,000"
157,Christian Bunse,"£3,000"
158,Hannes Schnier,"£3,000"
159,Daniel Larsson,"£3,000"
160,Boris Koltsov,"£2,500"
161,Dennis Nilsson,"£2,500"
162,Jim Brown,"£2,500"
163,Stuart Kellett,"£2,000"
164,Tobias Müller,"£2,000"
165,Maik Kuivenhoven,"£2,000"
166,René Berndt,"£2,000"
167,Rhys Griffin,"£1,750"
168,Mike Norton,"£1,750"
169,Carl Wilkinson,"£1,750"
170,Geert Nentjes,"£1,750"
171,Eddie Dootson,"£1,250"
172,Michael Plooy,"£1,250"
173,Nico Blum,"£1,250"
174,Ricky Williams,"£1,250"
175,Mark Walsh,"£1,250"
176,Steffen Siepmann,"£1,000"
177,Matthew Dennant,"£1,000"
178,Magnus Caris,"£1,000"
179,Patrik Kovacs,"£1,000"
180,Karel Sedlacek,"£1,000"
181,Christopher Hänsch,"£1,000"
182,Per Laursen,"£1,000"
183,Antony Lopez,"£1,000"
184,Tony Dawkins,"£1,000"
185,Michael Rosenauer,"£1,000"
186,Mareno Michels,"£1,000"
187,Roxy-James Rodriguez,"£1,000"
188,Thomas Junghans,"£1,000"
189,Lee Evans,"£1,000"
190,Andy Jenkins,"£1,000"
191,Royden Lam,"£1,000"
192,John Davey,"£1,000"
193,Ricardo Pietreczko,"£1,000"
194,Brian Lokken,"£1,000"
195,Roy Asquez,"£1,000"
196,Clayton Otton,"£1,000"
197,Johan Engstrom,"£1,000"
198,Mats Gies,"£1,000"
199,Simeon Heinz,"£1,000"
200,Dietmar Burger,"£1,000"
201,Bastian Pietschnig,"£1,000"
202,Alex Steinbauer,"£1,000"
203,Tamas Alexits,"£1,000"
204,Christian Goedl,"£1,000"
205,Brett Claydon,£750
206,Jeff Smith,£750
207,Jim Walker,£750
208,Richie Corner,£750
209,Rees Hall,£750
210,Martin Lukeman,£750
211,Nicholas Bell,£750
212,Stefan Nilles,£750
213,Kevin Garcia,£750
214,Lee Budgen,£500
215,Ben Burton,£500
216,Mark Frost,£500
217,Ryan Murray,£500
218,Dave Ladley,£500
219,Harry Ward,£500
220,Mark Lawrence,£250
221,Curtis Hammond,£250
222,Ryan De Vreede,£250
223,Jay Foreman,£250
224,Christopher Bent,£250
225,Bernd Roith,£250
226,Scott Dale,£250
227,Josh McCarthy,£250
228,Peter Mitchell,£250
229,Brian Raman,£250
230,Kevin Simm,£250
231,Charlie Jackson,£250
232,Niall Culleton,£250
233,Callan Rydz,£250
234,Shayne Burgess,£250
235,Darren Beveridge,£250
