Austragungsland,Australien,Belgien,Deutschland,England,Kanada,Niederlande,Nordirland,Polen,Portugal,Schottland,Vereinigte Staaten,Wales,Österreich,Total
Australia,1,0,0,13,1,1,0,0,0,0,0,0,0,16
Austria,0,0,0,4,0,6,0,0,0,0,0,3,1,14
Belgium,0,0,0,3,0,1,0,0,0,0,0,1,0,5
Czechia,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Denmark,0,0,0,1,0,0,0,0,0,0,0,0,1,2
Germany,0,0,0,23,0,21,0,1,0,8,0,5,1,63
Gibraltar,0,0,0,3,0,3,0,1,0,0,0,1,0,8
Hungary,0,0,0,2,0,1,0,0,0,0,0,1,0,5
Ireland,0,0,0,11,0,3,1,0,0,1,0,0,0,16
Netherlands,0,0,0,4,0,7,0,0,0,0,0,1,0,12
Switzerland,0,0,1,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,0,1,0,55,1,26,1,0,1,9,1,7,0,102
United States,0,0,0,11,1,1,0,0,0,0,0,0,0,13
Total,1,1,1,130,3,70,2,2,1,19,1,19,3,258
